Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 7)","('flink_taskmanager_job_task_numRecordsInPerSecond', 8)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 8)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,1
5,0.0,,,,,,,,,664.0,,,,,,,,,0.0,0.0,22446.0,99.0,1
10,0.0,,,,,,,,,339.0,,,,,,,,,0.0,0.0,22446.0,98.0,1
15,0.0,,,,,,,,,232.0,,,,,,,,,0.0,0.0,22446.0,76.0,1
20,0.0,,,,,,,,,177.0,,,,,,,,,0.0,0.0,22446.0,94.0,1
25,409.6333333333,,,,,,,,,251.0,,,,,,,,,0.0,0.0,527721.0,2099.0,1
30,1192.3333333333,,,,,,,,,355.0,,,,,,,,,107.0,96.0,2676755.0,1896.0,1
35,2145.95,,,,,,,,,422.0,,,,,,,,,173.0,171.0,3739303.0,1098.0,1
40,4432.15,,,,,,,,,494.0,,,,,,,,,256.0,263.0,6232994.0,1096.0,1
45,5166.43333333,,,,,,,,,551.0,,,,,,,,,337.0,348.0,7847121.0,1361.0,1
50,5166.43333333,,,,,,,,,551.0,,,,,,,,,337.0,348.0,10414183.0,4996.0,1
55,8676.66666666,,,,,,,,,596.0,,,,,,,,,511.0,523.0,12164275.0,1848.0,1
60,8676.66666666,,,,,,,,,632.0,,,,,,,,,511.0,523.0,6327603.0,1049.0,1
65,10841.66666666,,,,,,,,,663.0,,,,,,,,,704.0,719.0,7691546.0,1094.0,1
70,10841.66666666,,,,,,,,,691.0,,,,,,,,,704.0,719.0,2637376.0,770.0,1
75,10841.66666666,,,,,,,,,773.0,,,,,,,,,787.0,803.0,2637376.0,770.0,1
80,12998.383333329999,,,,,,,,,855.0,,,,,,,,,945.0,971.0,6410286.0,943.0,1
85,13280.533333329999,,,,,,,,,938.0,,,,,,,,,1000.0,1000.0,6084420.0,4799.0,1
90,14486.116666659998,,,,,,,,,975.0,,,,,,,,,1000.0,1000.0,2428553.0,787.0,1
95,15704.06666666,,,,,,,,,986.0,,,,,,,,,1000.0,1000.0,7699757.0,1269.0,1
100,15704.06666666,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,7076403.0,2794.0,1
105,14040.56666666,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,3315504.0,4462.0,1
