Parallelism,Throughput,ThroughputStdErr,BusyTime,BusyTimeStdErr,Predictions
0,0.0,0.0,,,
1,14483.6461240281,501.4140521940606,912.5697674418604,22.068355510853067,
2,26089.29574467542,884.905202525517,877.6827956989247,4.037922794751236,32600.0
3,38930.83722221274,1258.0624847528095,817.7296296296297,5.478264557652686,47680.0
4,46432.36874998753,1489.3215120241973,750.4176136363636,8.308225616053644,57906.0
5,52641.37314813444,1809.8611077031803,676.5022222222221,9.328521640351866,64084.0
6,60461.3366278894,2138.9232025850156,624.8720930232558,9.626642473673051,74476.0
7,62150.58409959627,2025.0811370375573,579.1412151067324,5.505874449735062,76265.0
8,72596.94233714242,2464.616006423457,565.9094827586207,7.064721850703961,77792.0
9,76422.67030300459,2047.1930727542463,556.9777777777778,3.2261268891074284,73296.0
