Parallelism,Throughput,ThroughputStdErr,BusyTime,BusyTimeStdErr,Predictions
0,0.0,0.0,,,
1,12272.519811318049,620.9299735488828,940.2549019607843,17.689270715671988,
2,22081.47060605472,1157.760336834418,834.5833333333334,7.60133586465548,28308.0
3,33014.86944443659,1878.914348104961,776.2901234567901,16.2901107001206,43998.0
4,39560.3304487071,1948.803560990517,742.7019230769231,6.272142870365498,51096.0
5,44217.39150942061,2474.810926762611,669.4603773584906,12.3102501781676,58723.0
6,49035.145757560575,2713.808018332101,636.4575757575757,10.128804282012798,67621.0
7,58255.18533331609,3229.029243894079,591.3914285714286,11.914965934676012,72221.0
8,62908.18562089513,3692.581635129727,591.6176470588235,6.9854097098835535,78686.0
9,64738.425333312014,3576.9096227714836,544.3733333333333,9.384453526977472,93642.0
