Parallelism,Mean,StdErr,Predictions
0,0.0,0.0,
1,27990.917777774794,1994.3280422242929,
2,55594.89246031131,2048.39312758811,75386.0
3,67694.91588234332,2348.739174065006,107962.0
4,64005.72112401894,2639.9478895284947,78139.0
5,85694.46506022601,3306.739511327588,82591.0
6,96901.15981306507,2748.309424221781,103259.0
7,99351.71547616995,4222.174694496412,118399.0
8,107898.99547322738,4064.1675023074445,
9,115260.51260681119,3425.2316160027194,
10,103737.55614032151,3423.660142938087,
11,134854.27844441295,4451.907249828103,
12,120897.80470081989,4136.524043465123,
13,122640.73744585026,4190.55964760043,
14,141734.67061399523,4876.773350575006,
15,140767.5060605628,4812.30651698161,
16,134957.17365587087,6018.421750053402,
