Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 0)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
355,24310.883333330003,,,,,,1000.0,,,,,,961.0,1381.0,343.0,1
360,24294.9,,,,,,1000.0,,,,,,960.0,1381.0,316.0,1
365,24249.183333330002,,,,,,1000.0,,,,,,960.0,1381.0,359.0,1
370,24238.066666659997,,,,,,1000.0,,,,,,961.0,1381.0,402.0,1
375,24263.73333333,,,,,,1000.0,,,,,,959.0,1381.0,329.0,1
380,,,,,,,,,,,,,0.0,1381.0,332.0,0
385,0.0,,,,,,1000.0,,,,,,0.0,1381.0,375.0,1
390,,,,,,,,,,,,,,1381.0,333.0,0
395,,,,,,,,,,,,,,,,0
435,,0.0,,,,,,,,,,,,,,1
440,0.0,0.0,,,,,1000.0,1000.0,,,,,0.0,-1.0,-1.0,2
445,0.0,520.6166666666,,,,,1000.0,247.0,,,,,0.0,-1.0,-1.0,2
450,433.9166666666,1940.1833333332997,,,,,519.0,479.0,,,,,443.0,1381.0,459.0,2
455,1869.8,3607.68333333,,,,,760.0,574.0,,,,,666.0,1381.0,395.0,2
460,3531.5,5232.86666667,,,,,840.0,615.0,,,,,746.0,1381.0,356.0,2
465,5154.93333333,6846.4,,,,,880.0,639.0,,,,,778.0,1381.0,495.0,2
470,6750.11666666,8532.81666666,,,,,904.0,663.0,,,,,792.0,1381.0,366.0,2
475,8420.83333333,10076.6,,,,,920.0,677.0,,,,,804.0,1381.0,329.0,2
480,9968.41666666,11505.96666666,,,,,932.0,676.0,,,,,816.0,1381.0,413.0,2
485,11433.96666666,13112.75,,,,,940.0,682.0,,,,,825.0,1381.0,586.0,2
490,13025.98333333,14721.18333333,,,,,947.0,689.0,,,,,828.0,1381.0,399.0,2
495,14654.75,16473.85,,,,,952.0,698.0,,,,,834.0,1381.0,367.0,2
500,16387.1,18230.016666659998,,,,,957.0,707.0,,,,,839.0,1381.0,359.0,2
505,18153.38333333,19383.566666659997,,,,,960.0,750.0,,,,,845.0,1381.0,359.0,2
510,19388.83333333,19638.7,,,,,1000.0,755.0,,,,,882.0,1381.0,398.0,2
515,19615.46666666,19394.41666666,,,,,1000.0,745.0,,,,,880.0,1381.0,372.0,2
520,19395.816666659997,19523.08333333,,,,,1000.0,749.0,,,,,870.0,1381.0,556.0,2
525,19528.63333333,19662.983333329998,,,,,1000.0,758.0,,,,,872.0,1381.0,407.0,2
530,19684.18333333,19751.03333333,,,,,1000.0,764.0,,,,,875.0,1381.0,361.0,2
535,19785.36666666,19847.483333329998,,,,,1000.0,762.0,,,,,877.0,1381.0,364.0,2
540,19868.983333329998,20097.05,,,,,1000.0,770.0,,,,,875.0,1381.0,356.0,2
545,20076.05,20283.58333333,,,,,1000.0,776.0,,,,,872.0,1381.0,478.0,2
550,20302.16666666,20417.33333333,,,,,1000.0,779.0,,,,,874.0,1381.0,417.0,2
555,20415.58333333,20485.86666666,,,,,1000.0,781.0,,,,,873.0,1381.0,383.0,2
560,20503.58333333,20509.65,,,,,1000.0,782.0,,,,,873.0,1381.0,348.0,2
565,20505.11666666,20639.0,,,,,1000.0,785.0,,,,,871.0,1381.0,371.0,2
570,20636.25,20778.85,,,,,1000.0,790.0,,,,,871.0,1381.0,359.0,2
575,20791.9,21062.13333333,,,,,1000.0,801.0,,,,,872.0,1381.0,322.0,2
580,21065.266666659998,21036.566666659997,,,,,1000.0,801.0,,,,,879.0,1381.0,321.0,2
585,21024.78333333,21066.88333333,,,,,1000.0,797.0,,,,,880.0,1381.0,337.0,2
590,21050.9,21082.6,,,,,1000.0,794.0,,,,,882.0,1381.0,385.0,2
595,21096.1,21261.85,,,,,1000.0,802.0,,,,,877.0,1381.0,360.0,2
600,21251.983333329998,21334.5,,,,,1000.0,804.0,,,,,882.0,1381.0,479.0,2
605,21360.5,21333.88333333,,,,,1000.0,807.0,,,,,883.0,1381.0,340.0,2
610,21334.36666666,21407.0,,,,,1000.0,810.0,,,,,881.0,1381.0,363.0,2
615,21399.03333333,21392.91666666,,,,,1000.0,810.0,,,,,881.0,1381.0,314.0,2
620,21366.63333333,21316.11666666,,,,,1000.0,813.0,,,,,882.0,1381.0,365.0,2
625,21346.25,21324.33333333,,,,,1000.0,813.0,,,,,886.0,1381.0,369.0,2
630,21331.96666666,21315.58333333,,,,,1000.0,814.0,,,,,884.0,1381.0,316.0,2
635,21323.8,21427.16666666,,,,,1000.0,819.0,,,,,886.0,1381.0,339.0,2
640,21425.36666666,21497.33333333,,,,,1000.0,821.0,,,,,890.0,1381.0,377.0,2
645,21508.9,21509.36666666,,,,,1000.0,822.0,,,,,886.0,1381.0,372.0,2
650,21507.55,21482.566666659997,,,,,1000.0,833.0,,,,,881.0,1381.0,374.0,2
655,21498.36666666,21529.61666666,,,,,1000.0,836.0,,,,,885.0,1381.0,369.0,2
660,21533.45,21544.78333333,,,,,1000.0,838.0,,,,,884.0,1381.0,365.0,2
665,21534.96666666,21454.05,,,,,1000.0,832.0,,,,,884.0,1381.0,365.0,2
670,21450.91666666,21364.66666666,,,,,1000.0,829.0,,,,,883.0,1381.0,363.0,2
675,21372.95,21379.68333333,,,,,1000.0,829.0,,,,,885.0,1381.0,314.0,2
680,21409.75,21486.86666666,,,,,1000.0,828.0,,,,,880.0,1381.0,365.0,2
685,21467.33333333,21451.1,,,,,1000.0,826.0,,,,,879.0,1381.0,359.0,2
690,21459.2,21439.316666659997,,,,,1000.0,827.0,,,,,881.0,1381.0,339.0,2
695,21442.63333333,21440.6,,,,,1000.0,827.0,,,,,882.0,1381.0,383.0,2
700,21420.316666659997,21362.66666666,,,,,1000.0,824.0,,,,,882.0,1381.0,377.0,2
