Parallelism,Throughput_min,Throughput_max,Throughput_mean
2,33764.19666666,48355.32477476865,38366.72310525676
4,58407.39166665441,81357.45833332058,66800.59308860337
6,78096.4013157679,108672.6595959412,90019.46531364255
8,93971.95161287484,131349.36722219535,110356.78537990074
