,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1701951510000,14565.116666659998,14589.91666666,,,,,
1701951515000,15093.25,14865.616666659998,,,,,
1701951520000,14333.033333329999,14282.8,,,,,
1701951525000,14905.05,14576.05,,,,,
1701951530000,14529.116666659998,14518.55,,,,,
1701951535000,14992.48333333,14559.766666659998,,,,,
1701951540000,14518.18333333,14422.883333329999,,,,,
1701951545000,14791.05,14594.4,,,,,
1701951550000,15246.58333333,14822.466666659999,,,,,
1701951555000,15560.56666666,15374.73333333,,,,,
1701951560000,14756.18333333,14764.9,,,,,
1701951565000,15282.31666666,15097.93333333,,,,,
1701951570000,15032.266666659998,14715.31666666,,,,,
1701951575000,15118.95,15129.93333333,,,,,
1701951580000,15382.45,15074.15,,,,,
1701951585000,15344.4,15280.133333329999,,,,,
1701951590000,15256.9,14812.16666666,,,,,
1701951595000,15351.533333329999,15412.3,,,,,
1701951600000,15369.75,15133.05,,,,,
1701951605000,15286.48333333,15211.883333329999,,,,,
1701951610000,15198.98333333,15011.75,,,,,
1701951615000,15537.7,15436.85,,,,,
1701951620000,15464.116666659998,15020.08333333,,,,,
1701951625000,15054.33333333,15100.966666659999,,,,,
1701951630000,15550.65,15292.85,,,,,
1701951635000,15598.66666666,15376.716666659999,,,,,
1701951640000,15316.2,15076.05,,,,,
1701951645000,15345.05,15165.06666666,,,,,
1701951650000,15400.266666659998,15206.366666659998,,,,,
1701951655000,15123.91666666,14897.73333333,,,,,
1701951660000,15398.08333333,15144.766666659998,,,,,
1701951665000,15455.73333333,15160.48333333,,,,,
1701951670000,15347.0,15151.31666666,,,,,
1701951675000,15392.716666659999,15197.93333333,,,,,
1701951680000,15355.06666666,15256.95,,,,,
1701951685000,,,,,,,
1701951725000,,,0.0,,,,
1701951730000,0.0,0.0,0.0,,,,
1701951735000,0.0,0.0,0.0,,,,
1701951740000,10.583333333333,11.6,2.066666666666,,,,
1701951745000,10.583333333333,147.45,146.3666666666,,,,
1701951750000,362.25,363.0333333333,368.7666666666,,,,
1701951755000,761.6833333333,797.4666666666,809.8833333333,,,,
1701951760000,1422.9,1474.7666666666,1468.8,,,,
1701951765000,2165.3,2338.8,2306.4,,,,
1701951770000,3110.7166666666,3147.0833333333,3203.1833333332997,,,,
1701951775000,4338.95,4274.81666667,4228.71666667,,,,
1701951780000,4991.66666667,5084.0,5014.1,,,,
1701951785000,6175.85,5989.35,5904.41666667,,,,
1701951790000,7260.28333333,7180.96666666,7143.733333329999,,,,
1701951795000,8042.35,7945.83333333,7870.9,,,,
1701951800000,9058.3,8860.5,8801.55,,,,
1701951805000,10363.76666666,9934.51666666,9794.283333329999,,,,
1701951810000,11129.16666666,10863.01666666,10730.43333333,,,,
1701951815000,11395.18333333,11252.91666666,11073.11666666,,,,
1701951820000,11903.31666666,11566.16666666,11483.68333333,,,,
1701951825000,12308.31666666,11691.91666666,11528.1,,,,
1701951830000,12218.2,11811.16666666,11710.216666659999,,,,
1701951835000,11848.283333329999,11632.48333333,11478.71666666,,,,
1701951840000,12510.25,12162.33333333,11991.016666659998,,,,
1701951845000,12402.55,12073.73333333,11902.533333329999,,,,
1701951850000,12677.1,12166.31666666,11944.6,,,,
1701951855000,12614.23333333,12137.23333333,11977.016666659998,,,,
1701951860000,12526.75,12211.033333329999,11985.98333333,,,,
1701951865000,12205.0,11861.766666659998,11901.133333329999,,,,
1701951870000,12262.73333333,11875.16666666,11904.7,,,,
1701951875000,12904.33333333,12373.266666659998,12199.05,,,,
1701951880000,12597.1,12164.16666666,12122.133333329999,,,,
1701951885000,12458.06666666,12324.65,12200.7,,,,
1701951890000,12814.65,12492.73333333,12339.23333333,,,,
1701951895000,12952.48333333,12651.55,12452.33333333,,,,
1701951900000,12863.216666659999,12477.533333329999,12328.35,,,,
1701951905000,12820.366666659998,12472.45,12378.0,,,,
1701951910000,12723.766666659998,12394.65,12212.283333329999,,,,
1701951915000,13264.966666659999,12945.0,12716.48333333,,,,
1701951920000,13438.16666666,12954.85,12783.783333329999,,,,
1701951925000,13632.716666659999,13256.633333329999,12854.23333333,,,,
1701951930000,13685.966666659999,13315.35,12906.05,,,,
1701951935000,13526.81666666,13064.3,12878.6,,,,
1701951940000,13523.4,13191.65,12938.43333333,,,,
1701951945000,13324.766666659998,12938.216666659999,12715.7,,,,
1701951950000,13044.9,12615.966666659999,12455.08333333,,,,
1701951955000,13586.16666666,12983.6,12803.35,,,,
1701951960000,13498.516666659998,12949.716666659999,12766.08333333,,,,
1701951965000,13581.1,13431.016666659998,13173.75,,,,
1701951970000,13828.383333329999,13467.05,13273.31666666,,,,
1701951975000,13591.56666666,13167.95,12985.81666666,,,,
1701951980000,13407.55,13158.65,12972.35,,,,
1701951985000,13125.41666666,12997.6,12835.783333329999,,,,
1701951990000,13189.5,13045.5,12861.55,,,,
1701951995000,13291.73333333,13145.383333329999,12964.8,,,,
1701952000000,13584.383333329999,13373.466666659999,13035.116666659998,,,,
1701952005000,13904.366666659998,13367.283333329999,13405.766666659998,,,,
1701952010000,14209.98333333,13794.3,13631.7,,,,
1701952015000,14141.35,13746.55,13600.216666659999,,,,
1701952020000,14026.3,13611.133333329999,13462.783333329999,,,,
1701952025000,14104.18333333,13455.516666659998,13276.766666659998,,,,
1701952030000,13956.25,13600.216666659999,13412.1,,,,
1701952035000,14018.65,13644.133333329999,13431.033333329999,,,,
1701952040000,13866.18333333,13425.06666666,13237.91666666,,,,
1701952045000,13971.56666666,13590.133333329999,13394.41666666,,,,
1701952050000,13970.81666666,13323.33333333,13391.05,,,,
1701952055000,14087.45,13499.883333329999,13319.08333333,,,,
1701952060000,13956.48333333,13350.55,13158.016666659998,,,,
1701952065000,13934.783333329999,13582.23333333,13163.016666659998,,,,
1701952070000,13670.883333329999,13345.75,13071.0,,,,
1701952075000,13586.68333333,13210.31666666,12985.383333329999,,,,
1701952080000,13540.85,13175.8,12973.9,,,,
1701952085000,13181.41666666,12843.4,12769.966666659999,,,,
1701952090000,13065.216666659999,12665.45,12502.866666659998,,,,
1701952095000,13177.95,12945.23333333,12894.266666659998,,,,
1701952100000,13894.66666666,13469.66666666,13273.15,,,,
1701952105000,13709.533333329999,13327.45,13203.033333329999,,,,
1701952110000,14006.66666666,13682.65,13321.616666659998,,,,
1701952115000,13783.33333333,13459.05,13266.45,,,,
1701952120000,13901.05,13513.15,13330.533333329999,,,,
1701952125000,13879.216666659999,13435.48333333,13252.866666659998,,,,
1701952130000,14102.883333329999,13892.716666659999,13560.383333329999,,,,
1701952135000,13819.43333333,13674.31666666,13478.266666659998,,,,
1701952140000,14088.4,13807.0,13590.366666659998,,,,
1701952145000,14613.633333329999,14301.75,14093.383333329999,,,,
1701952150000,14267.75,14105.9,13898.1,,,,
1701952155000,14527.08333333,13979.633333329999,13755.95,,,,
1701952160000,14193.966666659999,13967.75,13793.31666666,,,,
1701952165000,14652.216666659999,14056.1,13800.58333333,,,,
1701952170000,14337.18333333,13909.98333333,13714.283333329999,,,,
1701952175000,13867.23333333,13461.93333333,13440.2,,,,
1701952180000,14179.75,14036.6,13859.15,,,,
1701952185000,,,,,,,
1701952230000,0.0,,0.0,0.0,,,
1701952235000,0.0,0.0,0.0,0.0,,,
