,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timestamp,,,,,,,,,,,,,,,
1737807050000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807055000,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,13.0,37.0,1.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807060000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6545000.0,3.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807065000,9.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,100.0,43.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807070000,9.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,58869000.0,433.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807075000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,218412000.0,60.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807080000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,17847000.0,60.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807085000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,6.0,198.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807090000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,8694000.0,111.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807095000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,111.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807100000,10.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,10.0,1.0,132.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807105000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,6894000.0,125.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807110000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,125.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807115000,9.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,1.0,113.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807120000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,8352000.0,105.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807125000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,105.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807130000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,105.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807135000,9.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,2.0,116.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807140000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,275.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807145000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,275.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807150000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,263.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807155000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,1.0,91.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807160000,4.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,4.0,0.0,87.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807165000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2574000.0,100.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
