,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2
Timestamp,,,
1736780245000,1000.0,,
1736780250000,1000.0,,
1736780255000,939.0,,
1736780260000,853.0,,
1736780265000,834.0,,
1736780270000,848.0,,
1736780275000,848.0,,
1736780280000,848.0,,
1736780285000,848.0,,
1736780290000,848.0,,
1736780295000,848.0,,
1736780300000,848.0,,
1736780305000,848.0,,
1736780310000,848.0,,
1736780315000,894.0,,
1736780320000,971.0,,
1736780325000,1000.0,,
1736780330000,1000.0,,
1736780335000,1000.0,,
1736780340000,1000.0,,
1736780345000,1000.0,,
1736780350000,1000.0,,
1736780355000,1000.0,,
1736780360000,1000.0,,
1736780365000,1000.0,,
1736780370000,1000.0,,
1736780375000,1000.0,,
1736780380000,1000.0,,
1736780385000,1000.0,,
1736780390000,1000.0,,
1736780395000,1000.0,,
1736780400000,1000.0,,
1736780405000,1000.0,,
1736780410000,1000.0,,
1736780415000,1000.0,,
1736780420000,1000.0,,
1736780425000,1000.0,,
1736780430000,1000.0,,
1736780435000,1000.0,,
1736780440000,1000.0,,
1736780445000,1000.0,,
1736780450000,1000.0,,
1736780455000,1000.0,,
1736780460000,,,
1736780520000,,1000.0,
1736780525000,,930.0,
1736780530000,1000.0,813.0,
1736780535000,1000.0,722.0,
1736780540000,932.0,646.0,
1736780545000,839.0,590.0,
1736780550000,848.0,548.0,
1736780555000,848.0,475.0,
1736780560000,848.0,400.0,
1736780565000,848.0,333.0,
1736780570000,848.0,288.0,
1736780575000,848.0,220.0,
1736780580000,848.0,167.0,
1736780585000,848.0,146.0,
1736780590000,848.0,166.0,
1736780595000,848.0,193.0,
1736780600000,900.0,243.0,
1736780605000,983.0,288.0,
1736780610000,1000.0,316.0,
1736780615000,1000.0,348.0,
1736780620000,1000.0,367.0,
1736780625000,1000.0,415.0,
1736780630000,1000.0,460.0,
1736780635000,1000.0,528.0,
1736780640000,1000.0,581.0,
1736780645000,1000.0,569.0,
1736780650000,1000.0,576.0,
1736780655000,1000.0,576.0,
1736780660000,1000.0,611.0,
1736780665000,1000.0,636.0,
1736780670000,1000.0,635.0,
1736780675000,1000.0,619.0,
1736780680000,1000.0,647.0,
1736780685000,1000.0,620.0,
1736780690000,1000.0,575.0,
1736780695000,1000.0,557.0,
1736780700000,1000.0,557.0,
1736780705000,1000.0,631.0,
1736780710000,1000.0,688.0,
1736780715000,1000.0,745.0,
1736780720000,1000.0,745.0,
1736780725000,1000.0,735.0,
1736780730000,1000.0,736.0,
1736780735000,1000.0,731.0,
1736780740000,1000.0,759.0,
1736780745000,1000.0,804.0,
1736780750000,,,
1736780810000,,1000.0,
1736780815000,,938.0,
1736780820000,,820.0,1000.0
1736780825000,995.0,726.0,1000.0
1736780830000,896.0,651.0,955.0
1736780835000,890.0,602.0,871.0
1736780840000,875.0,571.0,855.0
1736780845000,872.0,523.0,867.0
1736780850000,797.0,463.0,867.0
1736780855000,758.0,390.0,867.0
1736780860000,749.0,351.0,867.0
1736780865000,749.0,321.0,859.0
1736780870000,749.0,305.0,847.0
1736780875000,675.0,299.0,847.0
1736780880000,626.0,298.0,847.0
1736780885000,624.0,339.0,847.0
1736780890000,665.0,364.0,881.0
1736780895000,680.0,393.0,954.0
1736780900000,703.0,410.0,970.0
1736780905000,706.0,431.0,938.0
1736780910000,781.0,492.0,938.0
1736780915000,820.0,532.0,936.0
1736780920000,830.0,571.0,936.0
1736780925000,830.0,602.0,944.0
1736780930000,830.0,618.0,956.0
1736780935000,904.0,611.0,942.0
1736780940000,952.0,639.0,897.0
1736780945000,958.0,650.0,850.0
1736780950000,999.0,700.0,827.0
1736780955000,1000.0,716.0,804.0
1736780960000,1000.0,734.0,790.0
1736780965000,1000.0,715.0,783.0
1736780970000,1000.0,684.0,738.0
1736780975000,1000.0,717.0,740.0
1736780980000,1000.0,709.0,740.0
1736780985000,1000.0,705.0,734.0
1736780990000,1000.0,705.0,734.0
1736780995000,1000.0,726.0,727.0
1736781000000,1000.0,740.0,725.0
1736781005000,1000.0,719.0,725.0
1736781010000,1000.0,694.0,703.0
1736781015000,1000.0,708.0,724.0
1736781020000,1000.0,705.0,711.0
1736781025000,,,
