Parallelism,Throughput_min,Throughput_max,Throughput_mean
52,194288.54345237516,240836.11091953423,219576.25520186004
104,223689.52828282493,259411.106060602,240115.44944128432
112,210955.87521367145,264086.0873737342,230903.64595497889
120,215725.0566666625,293760.10430107074,241605.8337490998
