Parallelism,region,"('Throughput_OUT', 'mean')","('Throughput_OUT', 'std')","('Throughput_IN', 'mean')","('Throughput_IN', 'std')",Predictions
1,1,15885.14322916427,10117.171436517585,39142.90468749672,9888.045196043908,
2,1,20289.930147055587,6056.987993581217,79168.65441176161,5859.813359692651,87638.0
3,1,11496.624242422524,6327.311285329112,109669.50479797667,8027.341017438099,131217.0
4,1,16044.259090906666,6614.072200919524,133418.37979797606,15338.739651011556,139796.0
