,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2
Timestamp,,,
1736781185000,0.0,,
1736781190000,0.0,,
1736781195000,0.0,,
1736781200000,0.0,,
1736781205000,0.0,,
1736781210000,0.0,,
1736781215000,0.0,,
1736781220000,54.4666666667,,
1736781225000,54.4666666667,,
1736781230000,181.2166666666,,
1736781235000,296.43333333329997,,
1736781240000,412.95,,
1736781245000,624.75,,
1736781250000,808.0166666665999,,
1736781255000,1001.8833333333,,
1736781260000,1302.9166666666,,
1736781265000,1762.0333333332999,,
1736781270000,2197.0,,
1736781275000,2662.85,,
1736781280000,3055.7,,
1736781285000,3115.8,,
1736781290000,3235.4333333333,,
1736781295000,3672.4166666700003,,
1736781300000,3816.63333333,,
1736781305000,3604.8333333299997,,
1736781310000,3447.9166666700003,,
1736781315000,3874.75,,
1736781320000,3950.85,,
1736781325000,4149.6,,
1736781330000,4279.85,,
1736781335000,4405.11666667,,
1736781340000,4974.66666667,,
1736781345000,5728.83333333,,
1736781350000,6046.96666667,,
1736781355000,5994.38333333,,
1736781360000,6537.48333333,,
1736781365000,6569.13333333,,
1736781370000,6542.78333333,,
1736781375000,5922.08333333,,
1736781380000,5544.95,,
1736781385000,4887.08333333,,
1736781390000,4321.86666667,,
1736781395000,3730.75,,
1736781400000,3024.2333333333004,,
1736781405000,2313.2833333333,,
1736781410000,,,
1736781435000,,0.0,
1736781440000,0.0,0.0,
1736781445000,0.0,0.0,
1736781450000,0.0,0.0,
1736781455000,0.0,0.0,
1736781460000,0.0,0.0,
1736781465000,0.0,0.0,
1736781470000,0.0,0.0,
1736781475000,0.0,0.0,
1736781480000,0.0,0.0,
1736781485000,0.0,0.0,
1736781490000,0.0,0.0,
1736781495000,1.033333333333,11.066666666666,
1736781500000,16.766666666666,42.25,
1736781505000,84.4833333333,152.2,
1736781510000,206.3333333333,312.25,
1736781515000,392.1,547.7,
1736781520000,611.1833333333,675.25,
1736781525000,629.4833333332999,716.4166666665999,
1736781530000,788.25,1016.3833333333,
1736781535000,1154.65,1379.5833333333,
1736781540000,1505.2666666666,1707.3166666666,
1736781545000,1785.0333333332999,2029.6666666666,
1736781550000,2204.15,2431.8666666666,
1736781555000,2690.1,2940.1833333333,
1736781560000,3161.1666666666,3140.4666666666,
