,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2
Timestamp,,,
1736781195000,1000.0,,
1736781200000,995.0,,
1736781205000,895.0,,
1736781210000,824.0,,
1736781215000,774.0,,
1736781220000,755.0,,
1736781225000,755.0,,
1736781230000,755.0,,
1736781235000,755.0,,
1736781240000,755.0,,
1736781245000,755.0,,
1736781250000,755.0,,
1736781255000,755.0,,
1736781260000,759.0,,
1736781265000,843.0,,
1736781270000,917.0,,
1736781275000,982.0,,
1736781280000,1000.0,,
1736781285000,1000.0,,
1736781290000,1000.0,,
1736781295000,1000.0,,
1736781300000,1000.0,,
1736781305000,1000.0,,
1736781310000,1000.0,,
1736781315000,1000.0,,
1736781320000,1000.0,,
1736781325000,1000.0,,
1736781330000,1000.0,,
1736781335000,1000.0,,
1736781340000,1000.0,,
1736781345000,1000.0,,
1736781350000,1000.0,,
1736781355000,1000.0,,
1736781360000,1000.0,,
1736781365000,1000.0,,
1736781370000,1000.0,,
1736781375000,1000.0,,
1736781380000,1000.0,,
1736781385000,1000.0,,
1736781390000,1000.0,,
1736781395000,1000.0,,
1736781400000,1000.0,,
1736781405000,1000.0,,
1736781410000,,,
1736781475000,,1000.0,
1736781480000,1000.0,894.0,
1736781485000,997.0,794.0,
1736781490000,885.0,711.0,
1736781495000,818.0,652.0,
1736781500000,834.0,605.0,
1736781505000,848.0,530.0,
1736781510000,848.0,457.0,
1736781515000,848.0,394.0,
1736781520000,848.0,382.0,
1736781525000,848.0,299.0,
1736781530000,848.0,247.0,
1736781535000,848.0,190.0,
1736781540000,848.0,213.0,
1736781545000,850.0,237.0,
1736781550000,935.0,268.0,
1736781555000,1000.0,293.0,
1736781560000,1000.0,352.0,
1736781565000,1000.0,428.0,
1736781570000,1000.0,495.0,
1736781575000,1000.0,472.0,
1736781580000,1000.0,399.0,
1736781585000,1000.0,434.0,
1736781590000,1000.0,479.0,
1736781595000,1000.0,481.0,
1736781600000,1000.0,496.0,
1736781605000,1000.0,534.0,
1736781610000,1000.0,565.0,
1736781615000,1000.0,575.0,
1736781620000,1000.0,557.0,
1736781625000,1000.0,532.0,
1736781630000,1000.0,533.0,
1736781635000,1000.0,619.0,
1736781640000,1000.0,656.0,
1736781645000,1000.0,694.0,
1736781650000,1000.0,666.0,
1736781655000,1000.0,691.0,
1736781660000,1000.0,724.0,
1736781665000,1000.0,705.0,
1736781670000,1000.0,684.0,
1736781675000,1000.0,681.0,
1736781680000,1000.0,692.0,
1736781685000,1000.0,667.0,
1736781690000,1000.0,651.0,
1736781695000,1000.0,651.0,
1736781700000,1000.0,700.0,
1736781705000,1000.0,710.0,
1736781710000,1000.0,,
1736781715000,,,
1736781780000,,1000.0,
1736781785000,997.0,937.0,
1736781790000,892.0,863.0,1000.0
1736781795000,900.0,813.0,1000.0
1736781800000,909.0,771.0,991.0
1736781805000,917.0,710.0,972.0
1736781810000,917.0,672.0,921.0
1736781815000,917.0,672.0,892.0
1736781820000,917.0,649.0,877.0
1736781825000,838.0,565.0,877.0
1736781830000,800.0,535.0,877.0
1736781835000,800.0,535.0,877.0
1736781840000,800.0,505.0,877.0
1736781845000,802.0,504.0,877.0
1736781850000,880.0,530.0,876.0
1736781855000,883.0,553.0,871.0
1736781860000,883.0,608.0,850.0
1736781865000,883.0,625.0,852.0
1736781870000,883.0,622.0,884.0
1736781875000,883.0,586.0,878.0
1736781880000,883.0,553.0,846.0
1736781885000,962.0,591.0,798.0
1736781890000,1000.0,621.0,744.0
1736781895000,1000.0,584.0,729.0
1736781900000,1000.0,599.0,719.0
1736781905000,1000.0,647.0,685.0
1736781910000,1000.0,689.0,686.0
1736781915000,1000.0,722.0,691.0
1736781920000,1000.0,725.0,721.0
1736781925000,1000.0,768.0,709.0
1736781930000,1000.0,768.0,723.0
1736781935000,1000.0,763.0,709.0
1736781940000,1000.0,791.0,711.0
1736781945000,1000.0,814.0,712.0
1736781950000,1000.0,787.0,765.0
1736781955000,1000.0,774.0,752.0
1736781960000,1000.0,735.0,710.0
1736781965000,1000.0,706.0,693.0
1736781970000,1000.0,706.0,639.0
1736781975000,1000.0,706.0,636.0
1736781980000,1000.0,698.0,636.0
1736781985000,1000.0,,659.0
1736781990000,,,
