,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Timestamp,,,,,,,,,,,,,,,,,,
1736791865000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,6911.0,19881000.0,,3482.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791870000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,63270000.0,74.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791875000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,7.0,62.0,2091.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791880000,9.0,20.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,193770000.0,2510000.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791885000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,209043000.0,88.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791890000,9.0,19.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,43.0,100.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791895000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,48636000.0,119.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791900000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,3933000.0,119.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791905000,9.0,19.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,15.0,294.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791910000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,4086000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791915000,9.0,19.0,,2.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791920000,1.0,15.0,,0.0,0.0,0.0,6.0,0.0,,0.0,9.0,1.0,0.0,223.0,,4.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791925000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,5940000.0,112.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791930000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,112.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791935000,9.0,19.0,,0.0,0.0,0.0,10.0,0.0,,0.0,10.0,9.0,2304000.0,296470000.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791940000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,14949000.0,201.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791945000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,201.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791950000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,201.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791955000,9.0,19.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,5.0,105.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791960000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791965000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791970000,9.0,19.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,2.0,190.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791975000,9.0,19.0,,0.0,0.0,0.0,9.0,0.0,,0.0,9.0,9.0,2.0,105.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791980000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,4176000.0,779.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791985000,9.0,21.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,9504000.0,125.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791990000,9.0,21.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,125.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736791995000,9.0,20.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,1.0,158.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736792000000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,25551000.0,112.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736792005000,9.0,19.0,,2.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,2304000.0,112.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736792010000,9.0,20.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,7.0,154.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736792015000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,13149000.0,111.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736792020000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,2304000.0,111.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
