Timestamp,flink_jobmanager_job_lastCheckpointSize
0,22637.0
5,22637.0
10,22637.0
15,323232.0
20,901412.0
25,4727030.0
30,8913886.0
35,17940100.0
40,17940100.0
45,25760647.0
50,25760647.0
55,25760647.0
60,13593337.0
65,13593337.0
70,13593337.0
75,10407513.0
80,13830125.0
85,13830125.0
90,20314371.0
95,20314371.0
100,22003514.0
105,10558787.0
110,10558787.0
115,8894388.0
120,23870665.0
125,36393814.0
130,25770427.0
135,25770427.0
140,34361234.0
145,34361234.0
150,33195437.0
155,18754083.0
160,18754083.0
165,23781456.0
170,23781456.0
175,24543337.0
180,21316285.0
185,9361346.0
190,24436521.0
195,21722821.0
200,21722821.0
205,33033642.0
210,28462470.0
215,28462470.0
220,22537161.0
225,22537161.0
230,20938836.0
235,20938836.0
240,20938836.0
245,
