,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737521025000,0.0
1737521030000,0.0
1737521035000,0.0
1737521040000,0.0
1737521045000,271.7833333333
1737521050000,314.6666666666
1737521055000,7417.4
1737521060000,14605.25
1737521065000,16238.33333333
1737521070000,20296.55
1737521075000,26916.433333330002
1737521080000,29444.9
1737521085000,39465.28333333
1737521090000,39465.28333333
1737521095000,46687.71666666
1737521100000,51619.63333333
1737521105000,51347.85
1737521110000,52103.05
1737521115000,53169.71666666
1737521120000,45981.86666666
1737521125000,44677.983333330005
1737521130000,47070.63333333
1737521135000,40450.75
1737521140000,39937.466666659995
1737521145000,29917.083333330003
1737521150000,33169.18333333
1737521155000,33641.56666666
1737521160000,34887.9
1737521165000,40614.3
1737521170000,46336.1
1737521175000,45353.966666659995
1737521180000,52769.8
1737521185000,55031.016666660005
1737521190000,48792.016666660005
1737521195000,54482.56666666
1737521200000,52467.38333333
1737521205000,53127.43333333
1737521210000,49875.33333333
1737521215000,42180.51666666
1737521220000,40170.9
1737521225000,41954.08333333
1737521230000,43374.8
1737521235000,41997.03333333
1737521240000,40257.31666666
1737521245000,43734.63333333
1737521250000,49901.6
1737521255000,49428.56666666
1737521260000,49428.56666666
1737521265000,54977.18333333
1737521270000,
