Parallelism,Throughput,ThroughputStdErr,BusyTime,BusyTimeStdErr,Predictions
0,0.0,0.0,,,
1,14167.654166663748,499.82273931261864,916.1022727272727,21.983864526694997,
2,25249.268297095787,842.773503039805,857.9239130434783,6.778143278110502,31286.0
3,38857.609925084456,1129.6226120119172,820.059925093633,2.130757409647149,46252.0
4,45995.99014335701,1666.7640228082348,754.3220430107526,6.0361585564118565,52840.0
5,54426.04351850285,1731.9555800894666,702.8866666666667,5.57285400207067,69106.0
6,61631.47840907309,2027.52885587578,647.6344696969697,8.233893557315122,71578.0
7,68767.22088120703,2192.1673922170517,611.2561576354681,6.9023187780053465,83921.0
8,74921.54531832924,2532.1164502037254,609.9676966292135,5.56306751483164,87504.0
9,83691.1627272454,2152.5764109496886,588.160606060606,5.4846551273400825,96815.0
