Parallelism,Throughput_min,Throughput_max,Throughput_mean
1,32335.91153845923,40539.44774774432,36157.21555093255
2,63796.87031249375,71350.96052630895,67113.16214841352
3,88788.17239582313,95220.23124999032,92373.47275055361
4,106240.55892855702,122073.58709676194,115855.37918713398
