,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1737108275000,1000.0,1000.0,,,,,,
1737108280000,0.0,0.0,,,,,,
1737108285000,55.0,33.0,,,,,,
1737108290000,137.0,69.0,,,,,,
1737108295000,347.0,225.0,,,,,,
1737108300000,468.0,346.0,,,,,,
1737108305000,555.0,418.0,,,,,,
1737108310000,617.0,476.0,,,,,,
1737108315000,665.0,540.0,,,,,,
1737108320000,699.0,582.0,,,,,,
1737108325000,729.0,602.0,,,,,,
1737108330000,753.0,638.0,,,,,,
1737108335000,774.0,654.0,,,,,,
1737108340000,861.0,722.0,,,,,,
1737108345000,932.0,793.0,,,,,,
1737108350000,990.0,865.0,,,,,,
1737108355000,992.0,863.0,,,,,,
1737108360000,996.0,877.0,,,,,,
1737108365000,997.0,895.0,,,,,,
1737108370000,990.0,907.0,,,,,,
1737108375000,990.0,899.0,,,,,,
1737108380000,992.0,906.0,,,,,,
1737108385000,993.0,924.0,,,,,,
1737108390000,993.0,916.0,,,,,,
1737108395000,993.0,908.0,,,,,,
1737108400000,992.0,913.0,,,,,,
1737108405000,992.0,900.0,,,,,,
1737108410000,992.0,898.0,,,,,,
1737108415000,992.0,915.0,,,,,,
1737108420000,992.0,915.0,,,,,,
1737108425000,992.0,901.0,,,,,,
1737108430000,1000.0,904.0,,,,,,
1737108435000,1000.0,892.0,,,,,,
1737108440000,1000.0,892.0,,,,,,
1737108445000,1000.0,876.0,,,,,,
