,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength
,Sink:_Sink
,0
Timestamp,
1722072480000,1.0
1722072485000,1.0
1722072490000,1.0
1722072495000,1.0
1722072500000,1.0
1722072505000,1.0
1722072510000,1.0
1722072515000,1.0
1722072520000,1.0
1722072525000,2.0
1722072530000,1.0
1722072535000,1.0
1722072540000,3.0
1722072545000,1.0
1722072550000,4.0
1722072555000,1.0
1722072560000,1.0
1722072565000,4.0
1722072570000,
1722072575000,1.0
1722072580000,1.0
1722072585000,0.0
1722072590000,1.0
1722072595000,
1722072620000,0.0
1722072625000,1.0
1722072630000,2.0
1722072635000,1.0
1722072640000,10.0
1722072645000,1.0
1722072650000,1.0
1722072655000,1.0
1722072660000,10.0
1722072665000,1.0
1722072670000,1.0
1722072675000,1.0
1722072680000,10.0
1722072685000,1.0
1722072690000,1.0
1722072695000,1.0
1722072700000,10.0
1722072705000,1.0
1722072710000,1.0
1722072715000,1.0
1722072720000,10.0
1722072725000,1.0
1722072730000,1.0
1722072735000,2.0
1722072740000,1.0
1722072745000,3.0
1722072750000,1.0
1722072755000,1.0
1722072760000,1.0
1722072765000,1.0
1722072770000,2.0
1722072775000,1.0
1722072780000,1.0
1722072785000,1.0
1722072790000,1.0
1722072795000,1.0
1722072800000,1.0
1722072805000,1.0
1722072810000,1.0
1722072815000,1.0
1722072820000,1.0
1722072825000,2.0
1722072830000,1.0
1722072835000,1.0
1722072840000,1.0
1722072845000,1.0
1722072850000,1.0
1722072855000,1.0
1722072860000,1.0
1722072865000,1.0
1722072870000,1.0
1722072875000,1.0
1722072880000,1.0
1722072885000,1.0
1722072890000,1.0
1722072895000,1.0
1722072900000,1.0
1722072905000,1.0
1722072910000,1.0
1722072915000,1.0
1722072920000,1.0
1722072925000,1.0
1722072930000,
1722072935000,2.0
1722072940000,
1722072970000,0.0
1722072975000,1.0
1722072980000,1.0
1722072985000,1.0
1722072990000,1.0
1722072995000,1.0
1722073000000,1.0
1722073005000,4.0
1722073010000,1.0
1722073015000,1.0
1722073020000,1.0
1722073025000,1.0
1722073030000,1.0
1722073035000,2.0
1722073040000,5.0
1722073045000,3.0
1722073050000,1.0
1722073055000,1.0
1722073060000,1.0
1722073065000,5.0
1722073070000,1.0
1722073075000,1.0
1722073080000,1.0
1722073085000,4.0
1722073090000,1.0
1722073095000,2.0
1722073100000,1.0
1722073105000,1.0
1722073110000,1.0
1722073115000,1.0
1722073120000,1.0
1722073125000,1.0
1722073130000,1.0
1722073135000,1.0
1722073140000,1.0
1722073145000,1.0
1722073150000,1.0
1722073155000,1.0
1722073160000,1.0
1722073165000,1.0
1722073170000,6.0
1722073175000,1.0
1722073180000,1.0
1722073185000,1.0
1722073190000,1.0
1722073195000,1.0
1722073200000,1.0
1722073205000,1.0
1722073210000,1.0
1722073215000,3.0
1722073220000,1.0
1722073225000,1.0
1722073230000,1.0
1722073235000,1.0
1722073240000,1.0
1722073245000,1.0
1722073250000,1.0
1722073255000,1.0
1722073260000,1.0
1722073265000,1.0
1722073270000,
1722073275000,1.0
1722073280000,
1722073310000,0.0
1722073315000,1.0
1722073320000,1.0
1722073325000,1.0
1722073330000,1.0
1722073335000,1.0
1722073340000,1.0
1722073345000,1.0
1722073350000,2.0
1722073355000,1.0
1722073360000,1.0
1722073365000,1.0
1722073370000,1.0
1722073375000,1.0
1722073380000,1.0
1722073385000,1.0
1722073390000,1.0
1722073395000,1.0
1722073400000,1.0
1722073405000,1.0
1722073410000,1.0
1722073415000,1.0
1722073420000,1.0
1722073425000,1.0
1722073430000,1.0
1722073435000,1.0
1722073440000,1.0
1722073445000,1.0
1722073450000,1.0
1722073455000,1.0
1722073460000,1.0
1722073465000,1.0
1722073470000,1.0
1722073475000,1.0
1722073480000,1.0
1722073485000,1.0
1722073490000,1.0
1722073495000,1.0
1722073500000,1.0
1722073505000,1.0
1722073510000,1.0
1722073515000,1.0
1722073520000,1.0
1722073525000,1.0
1722073530000,1.0
1722073535000,1.0
1722073540000,1.0
1722073545000,2.0
1722073550000,1.0
1722073555000,1.0
1722073560000,1.0
1722073565000,1.0
1722073570000,3.0
1722073575000,1.0
1722073580000,1.0
1722073585000,1.0
1722073590000,1.0
1722073595000,1.0
1722073600000,1.0
1722073605000,1.0
1722073610000,1.0
1722073615000,1.0
1722073620000,1.0
1722073625000,1.0
1722073630000,1.0
1722073635000,1.0
1722073640000,1.0
1722073645000,1.0
1722073650000,
1722073680000,0.0
1722073685000,1.0
1722073690000,2.0
1722073695000,1.0
1722073700000,2.0
1722073705000,1.0
1722073710000,1.0
1722073715000,1.0
1722073720000,1.0
1722073725000,1.0
1722073730000,1.0
1722073735000,1.0
1722073740000,1.0
1722073745000,1.0
1722073750000,1.0
1722073755000,1.0
1722073760000,1.0
1722073765000,1.0
1722073770000,1.0
1722073775000,1.0
1722073780000,1.0
1722073785000,1.0
1722073790000,1.0
1722073795000,1.0
1722073800000,1.0
1722073805000,1.0
1722073810000,1.0
1722073815000,1.0
1722073820000,1.0
1722073825000,1.0
1722073830000,1.0
1722073835000,1.0
1722073840000,1.0
1722073845000,1.0
1722073850000,1.0
1722073855000,1.0
1722073860000,1.0
1722073865000,1.0
1722073870000,1.0
1722073875000,1.0
1722073880000,1.0
1722073885000,1.0
1722073890000,1.0
1722073895000,1.0
1722073900000,1.0
1722073905000,1.0
1722073910000,1.0
1722073915000,1.0
1722073920000,1.0
1722073925000,1.0
1722073930000,1.0
1722073935000,1.0
1722073940000,1.0
1722073945000,1.0
1722073950000,1.0
1722073955000,1.0
1722073960000,1.0
1722073965000,1.0
1722073970000,1.0
1722073975000,1.0
1722073980000,1.0
1722073985000,1.0
1722073990000,1.0
1722073995000,
1722074025000,0.0
1722074030000,1.0
1722074035000,1.0
1722074040000,1.0
1722074045000,1.0
1722074050000,10.0
1722074055000,1.0
1722074060000,7.0
1722074065000,4.0
1722074070000,10.0
1722074075000,1.0
1722074080000,1.0
1722074085000,1.0
1722074090000,1.0
1722074095000,3.0
1722074100000,1.0
1722074105000,1.0
1722074110000,1.0
1722074115000,1.0
1722074120000,1.0
1722074125000,2.0
1722074130000,1.0
1722074135000,1.0
1722074140000,1.0
1722074145000,1.0
1722074150000,1.0
1722074155000,1.0
1722074160000,1.0
1722074165000,2.0
1722074170000,1.0
1722074175000,1.0
1722074180000,1.0
1722074185000,1.0
1722074190000,3.0
1722074195000,1.0
1722074200000,3.0
1722074205000,1.0
1722074210000,1.0
1722074215000,3.0
1722074220000,2.0
1722074225000,1.0
1722074230000,1.0
1722074235000,1.0
1722074240000,1.0
