,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
1722071710000,22597.78333333,22579.266666659998,22609.4,,,,,,,,
1722071715000,22549.8,22547.03333333,22540.18333333,,,,,,,,
1722071720000,22559.266666659998,22523.13333333,22523.1,,,,,,,,
1722071725000,22563.75,22508.16666666,22534.95,,,,,,,,
1722071730000,22527.816666659997,22486.4,22515.28333333,,,,,,,,
1722071735000,22455.66666666,22449.0,22479.85,,,,,,,,
1722071740000,22366.55,22386.25,22387.78333333,,,,,,,,
1722071745000,22355.21666666,22408.86666666,22393.43333333,,,,,,,,
1722071750000,22364.1,22427.9,22410.88333333,,,,,,,,
1722071755000,22377.71666666,22418.11666666,22419.63333333,,,,,,,,
1722071760000,22372.0,22387.36666666,22407.2,,,,,,,,
1722071765000,22333.233333329998,22381.316666659997,22367.2,,,,,,,,
1722071770000,22447.63333333,22402.53333333,22392.516666659998,,,,,,,,
1722071775000,22426.86666666,22431.08333333,22434.41666666,,,,,,,,
1722071780000,22438.016666659998,22429.733333329998,22453.83333333,,,,,,,,
1722071785000,22420.233333329998,22419.2,22428.86666666,,,,,,,,
1722071790000,22439.016666659998,22432.16666666,22365.28333333,,,,,,,,
1722071795000,22411.18333333,22417.15,22365.83333333,,,,,,,,
1722071800000,22428.58333333,22406.233333329998,22398.85,,,,,,,,
1722071805000,22397.96666666,22364.25,22381.016666659998,,,,,,,,
1722071810000,22373.68333333,22347.33333333,22353.18333333,,,,,,,,
1722071815000,22360.38333333,22375.4,22359.45,,,,,,,,
1722071820000,22377.96666666,22419.4,22371.7,,,,,,,,
1722071825000,22427.566666659997,22429.91666666,22400.36666666,,,,,,,,
1722071830000,22446.4,22445.9,22439.766666659998,,,,,,,,
1722071835000,22464.71666666,22467.733333329998,22458.8,,,,,,,,
1722071840000,22483.316666659997,22498.3,22476.66666666,,,,,,,,
1722071845000,22531.483333329998,22536.46666666,22508.38333333,,,,,,,,
1722071850000,22513.93333333,22554.6,22576.11666666,,,,,,,,
1722071855000,22583.1,22578.5,22624.733333329998,,,,,,,,
1722071860000,22633.53333333,22631.86666666,22631.96666666,,,,,,,,
1722071865000,22694.58333333,22671.066666659997,22656.85,,,,,,,,
1722071870000,22721.566666659997,22669.11666666,22702.71666666,,,,,,,,
1722071875000,22698.66666666,22635.38333333,22648.15,,,,,,,,
1722071880000,22671.1,22605.43333333,22620.11666666,,,,,,,,
1722071885000,22633.03333333,22627.71666666,22635.28333333,,,,,,,,
1722071890000,22591.41666666,22660.266666659998,22596.78333333,,,,,,,,
1722071895000,,,,,,,,,,,
1722071925000,0.0,0.0,0.0,0.0,,,,,,,
1722071930000,0.0,0.0,0.0,0.0,,,,,,,
1722071935000,1216.2666666666,1345.5666666666,1287.0333333333,1256.7,,,,,,,
1722071940000,2932.4166666665997,3132.0333333332997,3015.1333333333,2968.5166666665996,,,,,,,
1722071945000,4650.28333333,4794.96666667,4691.95,4678.15,,,,,,,
1722071950000,6359.983333329999,6543.316666670001,6432.66666667,6379.983333329999,,,,,,,
1722071955000,8072.36666666,8236.66666666,8143.78333333,8061.483333329999,,,,,,,
1722071960000,9804.96666666,9986.3,9878.58333333,9775.46666666,,,,,,,
1722071965000,11466.9,11595.66666666,11521.133333329999,11481.71666666,,,,,,,
1722071970000,13215.966666659999,13338.95,13217.75,13185.25,,,,,,,
1722071975000,14925.1,15066.06666666,14986.8,14906.766666659998,,,,,,,
1722071980000,16640.233333329998,16827.83333333,16705.08333333,16604.733333329998,,,,,,,
1722071985000,18370.21666666,18412.766666659998,18409.36666666,18302.8,,,,,,,
1722071990000,20027.733333329998,20162.65,20034.68333333,20004.6,,,,,,,
1722071995000,20550.86666666,20565.85,20545.41666666,20479.05,,,,,,,
1722072000000,20564.03333333,20557.7,20545.266666659998,20483.93333333,,,,,,,
1722072005000,20577.266666659998,20519.61666666,20587.15,20525.03333333,,,,,,,
1722072010000,20586.83333333,20506.71666666,20520.43333333,20543.66666666,,,,,,,
1722072015000,20605.016666659998,20575.55,20612.38333333,20607.28333333,,,,,,,
1722072020000,20618.233333329998,20623.816666659997,20621.233333329998,20638.91666666,,,,,,,
1722072025000,20713.15,20652.41666666,20700.63333333,20654.88333333,,,,,,,
1722072030000,20694.6,20695.4,20697.11666666,20695.88333333,,,,,,,
1722072035000,20715.066666659997,20741.53333333,20716.65,20709.3,,,,,,,
1722072040000,20668.93333333,20664.7,20680.3,20736.93333333,,,,,,,
1722072045000,20665.0,20768.21666666,20676.08333333,20778.46666666,,,,,,,
1722072050000,20782.88333333,20800.483333329998,20802.53333333,20807.38333333,,,,,,,
1722072055000,20779.45,20779.3,20778.95,20782.93333333,,,,,,,
1722072060000,20794.11666666,20769.21666666,20806.08333333,20802.483333329998,,,,,,,
1722072065000,20838.0,20798.316666659997,20825.65,20797.08333333,,,,,,,
1722072070000,20804.96666666,20812.61666666,20794.58333333,20799.91666666,,,,,,,
1722072075000,20834.61666666,20808.1,20803.516666659998,20792.93333333,,,,,,,
1722072080000,20813.316666659997,20786.86666666,20791.96666666,20781.53333333,,,,,,,
1722072085000,20815.13333333,20804.13333333,20818.61666666,20805.516666659998,,,,,,,
1722072090000,20801.71666666,20814.18333333,20794.65,20811.38333333,,,,,,,
1722072095000,20841.7,20795.6,20812.983333329998,20824.516666659998,,,,,,,
1722072100000,20901.93333333,20867.11666666,20882.1,20826.0,,,,,,,
1722072105000,20912.63333333,20824.66666666,20901.85,20814.38333333,,,,,,,
1722072110000,20836.58333333,20806.95,20794.03333333,20803.25,,,,,,,
1722072115000,20815.58333333,20800.96666666,20782.316666659997,20801.68333333,,,,,,,
1722072120000,20818.15,20801.0,20786.18333333,20777.65,,,,,,,
1722072125000,20722.38333333,20782.53333333,20742.61666666,20782.85,,,,,,,
1722072130000,20707.61666666,20767.1,20769.2,20791.016666659998,,,,,,,
1722072135000,20723.96666666,20813.03333333,20739.08333333,20810.983333329998,,,,,,,
1722072140000,20800.4,20813.5,20807.35,20828.1,,,,,,,
1722072145000,20813.4,20816.58333333,20819.483333329998,20814.96666666,,,,,,,
1722072150000,20817.233333329998,20817.1,20828.93333333,20823.45,,,,,,,
1722072155000,20805.53333333,20867.11666666,20835.88333333,20831.63333333,,,,,,,
1722072160000,20805.566666659997,20844.28333333,20812.733333329998,20846.08333333,,,,,,,
1722072165000,20821.766666659998,20875.43333333,20828.6,20870.16666666,,,,,,,
1722072170000,20871.233333329998,20884.7,20907.36666666,20896.316666659997,,,,,,,
1722072175000,20903.25,20953.61666666,20934.516666659998,20943.6,,,,,,,
1722072180000,20904.78333333,20902.9,20917.9,20981.8,,,,,,,
1722072185000,21006.983333329998,20975.38333333,21004.316666659997,20978.46666666,,,,,,,
1722072190000,21061.28333333,21017.61666666,21012.8,20986.05,,,,,,,
1722072195000,21061.3,21000.66666666,21040.53333333,20992.43333333,,,,,,,
1722072200000,21029.15,21011.15,21028.03333333,21004.66666666,,,,,,,
1722072205000,21013.58333333,21028.4,21014.78333333,21027.95,,,,,,,
1722072210000,21014.1,21013.36666666,21001.33333333,21005.36666666,,,,,,,
1722072215000,21007.78333333,20992.45,21001.816666659997,20991.71666666,,,,,,,
1722072220000,20948.71666666,20957.9,20954.7,20977.25,,,,,,,
1722072225000,20923.1,20959.75,20934.83333333,20954.8,,,,,,,
1722072230000,20969.13333333,,,,,,,,,,
1722072235000,,,,,,,,,,,
1722072260000,0.0,,0.0,,0.0,,,,,,
1722072265000,0.0,0.0,0.0,0.0,0.0,,,,,,
1722072270000,1160.8833333333,0.0,1255.7833333333,1184.9166666666,1125.3166666666,,,,,,
1722072275000,2992.4333333332997,1285.95,3055.5333333332997,2951.3666666665995,2917.6,,,,,,
1722072280000,4720.65,3125.75,4784.05,4649.25,4686.83333333,,,,,,
1722072285000,6481.66666667,4784.05,6511.933333329999,6395.03333333,6422.33333333,,,,,,
1722072290000,8258.4,6542.21666667,8244.25,8137.41666666,8162.96666666,,,,,,
1722072295000,9924.633333329999,8288.15,9964.133333329999,9856.48333333,9909.3,,,,,,
1722072300000,11703.16666666,10031.66666666,11725.7,11582.7,11692.56666666,,,,,,
1722072305000,13455.06666666,11743.15,13510.75,13448.48333333,13392.7,,,,,,
1722072310000,15241.06666666,13569.5,15310.16666666,15285.15,15219.883333329999,,,,,,
1722072315000,17088.85,15378.15,17198.93333333,17152.91666666,17038.4,,,,,,
1722072320000,18931.85,17228.38333333,19003.03333333,18975.53333333,18863.63333333,,,,,,
1722072325000,20760.7,19030.38333333,20822.21666666,20773.68333333,20670.483333329998,,,,,,
1722072330000,21425.91666666,20861.46666666,21373.65,21445.83333333,21403.3,,,,,,
1722072335000,21494.88333333,21421.66666666,21429.266666659998,21487.96666666,21426.53333333,,,,,,
1722072340000,21571.0,21419.066666659997,21546.316666659997,21609.7,21452.0,,,,,,
1722072345000,21597.316666659997,21546.33333333,21570.5,21651.18333333,21546.28333333,,,,,,
1722072350000,21613.96666666,21617.483333329998,21631.0,21726.65,21614.733333329998,,,,,,
1722072355000,21709.1,21711.91666666,21672.38333333,21774.83333333,21657.16666666,,,,,,
1722072360000,21716.6,21744.36666666,21700.33333333,21867.066666659997,21681.11666666,,,,,,
1722072365000,21814.0,21759.85,21733.15,21792.3,21806.65,,,,,,
1722072370000,21859.16666666,21763.483333329998,21758.066666659997,21781.66666666,21796.9,,,,,,
1722072375000,21874.233333329998,21789.21666666,21714.1,21753.11666666,21810.266666659998,,,,,,
1722072380000,21854.45,21789.53333333,21759.016666659998,21789.5,21810.46666666,,,,,,
1722072385000,21835.96666666,21804.733333329998,21783.566666659997,21809.483333329998,21809.016666659998,,,,,,
1722072390000,21838.68333333,21806.21666666,21823.766666659998,21782.61666666,21769.03333333,,,,,,
1722072395000,21798.5,21784.15,21782.4,21819.983333329998,21786.016666659998,,,,,,
1722072400000,21803.78333333,21803.28333333,21712.45,21825.766666659998,21785.86666666,,,,,,
1722072405000,21795.38333333,21776.35,21782.0,21796.233333329998,21781.5,,,,,,
1722072410000,21836.0,21776.733333329998,21800.8,21829.78333333,21803.53333333,,,,,,
1722072415000,21867.58333333,21790.316666659997,21866.66666666,21885.65,21827.016666659998,,,,,,
1722072420000,21806.566666659997,21842.83333333,21838.4,21766.766666659998,21818.066666659997,,,,,,
1722072425000,21651.233333329998,21784.066666659997,21693.233333329998,21649.08333333,21657.41666666,,,,,,
1722072430000,21410.63333333,21630.38333333,21466.3,21434.03333333,21478.11666666,,,,,,
1722072435000,21285.516666659998,21392.05,21354.88333333,21315.1,21341.816666659997,,,,,,
1722072440000,21122.15,21276.46666666,21161.71666666,21111.88333333,21169.28333333,,,,,,
1722072445000,20986.65,21118.7,20995.1,20967.0,21035.93333333,,,,,,
1722072450000,20827.983333329998,20960.41666666,20813.1,20807.46666666,20886.65,,,,,,
1722072455000,20629.516666659998,20800.733333329998,20658.6,20624.68333333,20715.3,,,,,,
1722072460000,20490.733333329998,20601.36666666,20560.18333333,20465.38333333,20595.25,,,,,,
1722072465000,20380.45,20523.38333333,20407.46666666,20384.1,20444.66666666,,,,,,
1722072470000,20209.9,20355.816666659997,20264.45,20199.1,20278.35,,,,,,
1722072475000,20084.266666659998,20175.71666666,20103.25,20041.11666666,20124.58333333,,,,,,
1722072480000,20027.6,20010.66666666,20005.516666659998,20005.3,19996.13333333,,,,,,
1722072485000,20001.46666666,20008.91666666,20005.96666666,20004.016666659998,20000.33333333,,,,,,
1722072490000,20056.28333333,20002.13333333,20074.516666659998,20057.766666659998,20026.45,,,,,,
1722072495000,20005.7,20069.28333333,20006.91666666,20000.016666659998,19999.983333329998,,,,,,
1722072500000,19992.78333333,20004.566666659997,20002.66666666,20006.15,20008.7,,,,,,
1722072505000,20001.55,19999.55,20001.93333333,20001.05,20001.016666659998,,,,,,
1722072510000,19998.5,20000.2,20004.5,19993.16666666,20002.3,,,,,,
1722072515000,20002.733333329998,19996.63333333,20013.46666666,20007.66666666,20016.33333333,,,,,,
1722072520000,19998.95,20015.83333333,20005.16666666,20006.45,20002.05,,,,,,
1722072525000,19987.43333333,20002.46666666,20005.566666659997,20001.28333333,19995.55,,,,,,
1722072530000,20004.35,20002.91666666,20000.13333333,20001.05,20000.53333333,,,,,,
1722072535000,20004.96666666,19997.483333329998,20002.266666659998,20002.766666659998,20009.83333333,,,,,,
1722072540000,19984.816666659997,20003.61666666,20007.1,20001.91666666,20004.03333333,,,,,,
1722072545000,19997.766666659998,20004.68333333,20001.63333333,20000.316666659997,20005.33333333,,,,,,
1722072550000,20002.266666659998,20000.68333333,20001.7,20002.36666666,20007.08333333,,,,,,
1722072555000,20000.21666666,20003.55,20004.11666666,20004.41666666,20000.91666666,,,,,,
1722072560000,20001.88333333,19999.983333329998,20012.41666666,20009.08333333,20009.16666666,,,,,,
1722072565000,19988.15,20008.91666666,20008.18333333,20009.483333329998,20008.0,,,,,,
1722072570000,,,0.0,,0.0,,,,,,
1722072575000,0.0,0.0,0.0,0.0,0.0,,,,,,
1722072580000,0.0,2625.1333333333,2556.95,2627.55,2593.85,,,,,,
1722072585000,2559.4666666666,0.0,0.0,,,,,,,,
1722072590000,0.0,,0.0,0.0,0.0,,,,,,
1722072595000,,,,,,,,,,,
1722072620000,0.0,0.0,,0.0,0.0,0.0,,,,,
1722072625000,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1722072630000,1068.4833333333,1112.15,1135.3666666666,1151.3333333333,1148.7666666666,1162.6666666666,,,,,
1722072635000,2786.3,2809.6666666666,2747.9666666666,2851.3,2863.2333333333,2871.85,,,,,
1722072640000,4471.81666667,4446.46666667,4333.4,4489.05,4491.43333333,4507.75,,,,,
1722072645000,6139.3,6107.1,5958.383333329999,6191.316666670001,6179.7,6183.433333329999,,,,,
1722072650000,7725.08333333,7725.1,7583.733333329999,7725.08333333,7725.08333333,7725.08333333,,,,,
1722072655000,9259.9,9274.6,9220.15,9331.21666666,9315.36666666,9313.033333329999,,,,,
1722072660000,10966.51666666,10965.033333329999,10849.73333333,11027.08333333,11020.5,11013.383333329999,,,,,
1722072665000,12613.91666666,12666.93333333,12528.98333333,12714.033333329999,12714.75,12728.18333333,,,,,
1722072670000,14352.516666659998,14352.516666659998,14225.4,14352.516666659998,14352.516666659998,14352.516666659998,,,,,
1722072675000,15957.4,15954.16666666,15897.15,16000.68333333,15988.15,16004.5,,,,,
1722072680000,17649.516666659998,17686.4,17577.03333333,17680.8,17700.25,17728.93333333,,,,,
1722072685000,19421.65,19391.733333329998,19281.21666666,19423.21666666,19452.41666666,19470.45,,,,,
1722072690000,20050.43333333,20006.78333333,19859.066666659997,19933.9,19970.15,19956.25,,,,,
1722072695000,19891.516666659998,19883.36666666,19869.483333329998,19876.75,19867.53333333,19872.5,,,,,
1722072700000,19883.066666659997,19873.2,19908.0,19872.15,19900.93333333,19883.11666666,,,,,
1722072705000,19892.53333333,19933.2,19908.18333333,19810.15,19882.53333333,19916.15,,,,,
1722072710000,19964.46666666,19964.46666666,19971.21666666,19964.46666666,19964.46666666,19964.46666666,,,,,
1722072715000,20011.35,20001.63333333,20021.43333333,19983.816666659997,20010.766666659998,20004.566666659997,,,,,
1722072720000,20054.816666659997,20064.1,20079.21666666,20001.316666659997,20045.21666666,20078.78333333,,,,,
1722072725000,20147.33333333,20079.18333333,20061.7,20035.46666666,20098.5,20092.4,,,,,
1722072730000,20031.93333333,20031.95,20022.28333333,20031.93333333,20031.93333333,20031.93333333,,,,,
1722072735000,20026.05,20032.0,20037.05,20013.16666666,20029.61666666,20040.96666666,,,,,
1722072740000,20069.66666666,20045.18333333,20029.46666666,20053.11666666,20066.5,20047.43333333,,,,,
1722072745000,19752.71666666,19779.1,19909.0,19776.28333333,19745.91666666,19732.53333333,,,,,
1722072750000,19442.2,19440.9,19581.066666659997,19504.566666659997,19465.66666666,19480.21666666,,,,,
1722072755000,19275.65,19254.83333333,19350.316666659997,19248.5,19245.78333333,19241.93333333,,,,,
1722072760000,18990.41666666,19019.9,19117.05,19004.53333333,18973.266666659998,18984.266666659998,,,,,
1722072765000,18696.35,18685.85,18875.33333333,18753.5,18688.65,18666.53333333,,,,,
1722072770000,18431.066666659997,18425.68333333,18573.766666659998,18452.4,18446.35,18461.316666659997,,,,,
1722072775000,18238.45,18228.11666666,18282.46666666,18217.21666666,18206.11666666,18219.733333329998,,,,,
1722072780000,17878.8,17864.5,17983.96666666,17892.18333333,17849.5,17839.1,,,,,
1722072785000,17526.983333329998,17536.516666659998,17711.45,17560.35,17496.38333333,17494.43333333,,,,,
1722072790000,17285.38333333,17276.516666659998,17434.016666659998,17304.71666666,17301.016666659998,17316.266666659998,,,,,
1722072795000,17080.28333333,17069.86666666,17144.43333333,17071.28333333,17065.03333333,17050.28333333,,,,,
1722072800000,16736.68333333,16709.483333329998,16854.66666666,16735.13333333,16701.78333333,16703.233333329998,,,,,
1722072805000,16670.0,16659.016666659998,16660.316666659997,16658.0,16658.983333329998,16665.5,,,,,
1722072810000,16666.4,16663.233333329998,16666.05,16666.566666659997,16665.05,16666.86666666,,,,,
1722072815000,16668.8,16668.266666659998,16666.5,16666.8,16666.8,16667.733333329998,,,,,
1722072820000,16665.03333333,16664.03333333,16664.93333333,16667.03333333,16666.68333333,16668.13333333,,,,,
1722072825000,16672.25,16668.03333333,16672.03333333,16666.88333333,16670.3,16665.35,,,,,
1722072830000,16666.55,16666.3,16671.9,16667.16666666,16673.2,16667.58333333,,,,,
1722072835000,16666.41666666,16665.483333329998,16666.86666666,16665.86666666,16665.86666666,16667.516666659998,,,,,
1722072840000,16669.55,16668.33333333,16664.61666666,16667.96666666,16669.18333333,16667.95,,,,,
1722072845000,16669.233333329998,16667.1,16666.83333333,16668.0,16663.35,16673.41666666,,,,,
