,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737224395000,1000.0
1737224400000,1000.0
1737224405000,0.0
1737224410000,0.0
1737224415000,48.0
1737224420000,286.0
1737224425000,429.0
1737224430000,524.0
1737224435000,592.0
1737224440000,643.0
1737224445000,682.0
1737224450000,714.0
1737224455000,740.0
1737224460000,762.0
1737224465000,877.0
1737224470000,961.0
1737224475000,1000.0
1737224480000,1000.0
1737224485000,1000.0
1737224490000,1000.0
1737224495000,1000.0
1737224500000,1000.0
1737224505000,1000.0
1737224510000,1000.0
1737224515000,1000.0
1737224520000,1000.0
1737224525000,1000.0
1737224530000,1000.0
1737224535000,1000.0
1737224540000,1000.0
1737224545000,1000.0
1737224550000,1000.0
1737224555000,1000.0
1737224560000,1000.0
1737224565000,1000.0
1737224570000,1000.0
1737224575000,1000.0
1737224580000,1000.0
1737224585000,1000.0
1737224590000,1000.0
1737224595000,1000.0
1737224600000,1000.0
1737224605000,1000.0
1737224610000,1000.0
1737224615000,1000.0
1737224620000,1000.0
1737224625000,1000.0
1737224630000,1000.0
1737224635000,1000.0
1737224640000,
