Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,1000.0,0.0,0.0,2157144.0,527.0,1
5,798.1,267.0,0.0,0.0,6780818.0,381.0,1
10,2673.0333333332997,309.0,5.0,0.0,12386526.0,518.0,1
15,7615.28333333,373.0,3.0,90.0,26454484.0,1006.0,1
20,14122.33333333,519.0,68.0,251.0,34553961.0,1633.0,1
25,16115.5,616.0,305.0,460.0,26907432.0,1196.0,1
30,19897.766666659998,680.0,436.0,547.0,33851509.0,1876.0,1
35,24103.316666659997,726.0,514.0,594.0,33851509.0,1876.0,1
40,26956.16666666,760.0,588.0,650.0,21794296.0,1079.0,1
45,33332.63333333,787.0,719.0,764.0,21794296.0,1079.0,1
50,39526.68333333,808.0,740.0,771.0,21794296.0,1079.0,1
55,39526.68333333,826.0,764.0,792.0,18347549.0,542.0,1
60,39526.68333333,840.0,783.0,809.0,17368261.0,449.0,1
65,46369.866666660004,901.0,1000.0,1000.0,17368261.0,449.0,1
70,44494.93333333,955.0,1000.0,1000.0,20927760.0,522.0,1
75,39552.68333333,997.0,1000.0,1000.0,18654420.0,501.0,1
80,38904.43333333,1000.0,1000.0,1000.0,18654420.0,501.0,1
85,36911.26666666,1000.0,1000.0,1000.0,24799609.0,697.0,1
90,37731.75,1000.0,1000.0,1000.0,24799609.0,697.0,1
95,34622.08333333,1000.0,1000.0,1000.0,23987476.0,6662.0,1
100,32325.333333330003,1000.0,1000.0,1000.0,18419400.0,479.0,1
105,26267.95,1000.0,1000.0,1000.0,15857376.0,1312.0,1
110,26488.3,1000.0,1000.0,1000.0,26570354.0,2152.0,1
115,32461.833333330003,1000.0,1000.0,1000.0,40322788.0,1059.0,1
120,38859.66666666,1000.0,1000.0,1000.0,40322788.0,1059.0,1
125,36364.83333333,1000.0,1000.0,1000.0,37419314.0,581.0,1
130,38704.03333333,1000.0,1000.0,1000.0,37419314.0,581.0,1
135,41884.7,1000.0,1000.0,1000.0,29759340.0,586.0,1
140,36365.08333333,1000.0,1000.0,1000.0,29759340.0,586.0,1
145,41900.56666666,1000.0,1000.0,1000.0,36990021.0,6928.0,1
150,37297.81666666,1000.0,1000.0,1000.0,30629815.0,686.0,1
155,42486.7,1000.0,1000.0,1000.0,30629815.0,686.0,1
160,41930.6,1000.0,1000.0,1000.0,31013835.0,7592.0,1
165,42706.85,1000.0,1000.0,1000.0,31013835.0,7592.0,1
170,36292.45,1000.0,1000.0,1000.0,10342021.0,361.0,1
175,30613.66666666,1000.0,1000.0,1000.0,13719005.0,661.0,1
180,30725.53333333,1000.0,1000.0,1000.0,18955588.0,1844.0,1
185,31411.016666659998,1000.0,1000.0,1000.0,18955588.0,1844.0,1
190,29071.816666659997,1000.0,1000.0,1000.0,13788629.0,405.0,1
195,27485.4,1000.0,1000.0,1000.0,13788629.0,405.0,1
200,31107.73333333,1000.0,1000.0,1000.0,17021832.0,409.0,1
205,25572.25,1000.0,1000.0,1000.0,17021832.0,409.0,1
210,31444.566666659997,1000.0,1000.0,1000.0,17021832.0,409.0,1
215,25159.8,1000.0,1000.0,1000.0,16179209.0,401.0,1
220,30934.71666666,1000.0,1000.0,1000.0,16179209.0,401.0,1
225,29839.383333330003,1000.0,1000.0,1000.0,24416299.0,8168.0,1
230,31104.25,1000.0,1000.0,1000.0,10954044.0,373.0,1
235,34983.33333333,1000.0,1000.0,1000.0,20569612.0,1342.0,1
240,36039.33333333,1000.0,1000.0,1000.0,20569612.0,1342.0,1
245,,,,,,,0
