Parallelism,Throughput_min,Throughput_max,Throughput_mean
52,195279.51130952084,240253.70178571125,210343.19060344686
104,207993.2874999965,253446.59687499644,228546.08440971872
107,162356.59166666307,217027.05656565307,192946.77562092344
110,151205.5099999963,199512.95777777405,180016.76266666298
