,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1706532720000,13486.633333329999,13828.466666659999,13144.633333329999,,,,
1706532725000,13469.43333333,13841.7,12937.016666659998,,,,
1706532730000,,,,,,,
1706532775000,,0.0,0.0,0.0,,,
1706532780000,0.0,0.0,0.0,0.0,,,
1706532785000,0.0,0.0,130.8333333333,0.0,,,
1706532790000,2.283333333333,128.9333333333,615.9166666666,76.6166666666,,,
1706532795000,531.4166666666,613.7666666666,1075.05,571.4666666666,,,
1706532800000,849.5333333333,1068.1833333333,1666.7666666666,1025.1,,,
1706532805000,1447.85,1658.05,2294.2166666666,1457.2333333333,,,
1706532810000,2118.0666666666,2281.2333333333,3379.33333333,2256.0333333332997,,,
1706532815000,3082.55,3359.66666667,4254.81666667,3089.2666666665996,,,
1706532820000,3860.46666667,4234.16666667,5282.41666667,4056.51666667,,,
1706532825000,5049.98333333,5264.81666667,6283.21666667,5182.78333333,,,
1706532830000,5903.483333329999,6249.433333329999,7401.883333329999,5928.866666670001,,,
1706532835000,6773.1,7368.51666666,8384.55,7065.6,,,
1706532840000,7974.65,8339.65,9420.45,8016.51666666,,,
1706532845000,8909.41666666,9370.45,10240.5,8952.43333333,,,
1706532850000,9898.41666666,10188.21666666,10786.26666666,10116.51666666,,,
1706532855000,10377.05,10728.56666666,11404.16666666,10633.18333333,,,
1706532860000,11213.21666666,11350.66666666,12013.2,11244.21666666,,,
1706532865000,11710.68333333,11951.6,12290.2,11950.58333333,,,
1706532870000,11969.68333333,12222.766666659998,12650.1,12080.56666666,,,
1706532875000,12113.15,12581.68333333,12628.4,12422.15,,,
1706532880000,12655.45,12564.266666659998,12767.15,12534.85,,,
1706532885000,12360.73333333,12689.516666659998,12937.33333333,12554.616666659998,,,
1706532890000,12573.9,12876.2,12727.95,12799.766666659998,,,
1706532895000,12909.966666659999,12658.616666659998,12814.65,12706.783333329999,,,
1706532900000,12515.266666659998,12749.616666659998,12901.366666659998,12816.966666659999,,,
1706532905000,12886.0,12825.766666659998,13132.33333333,12977.016666659998,,,
1706532910000,12845.116666659998,13064.41666666,13211.2,12904.43333333,,,
1706532915000,12921.95,13142.1,13372.68333333,12955.1,,,
1706532920000,12988.08333333,13297.883333329999,13348.4,12944.633333329999,,,
1706532925000,13027.18333333,13283.283333329999,13222.05,13061.66666666,,,
1706532930000,13105.23333333,13168.883333329999,13044.5,13016.8,,,
1706532935000,12909.45,12975.08333333,13377.216666659999,12982.31666666,,,
1706532940000,12790.35,13304.016666659998,13237.95,12856.98333333,,,
1706532945000,13134.55,13156.1,13218.15,12995.866666659998,,,
1706532950000,13121.033333329999,13144.95,13589.766666659998,13152.41666666,,,
1706532955000,12878.616666659998,13544.383333329999,13416.633333329999,13248.0,,,
1706532960000,13340.5,13535.33333333,13568.766666659998,13161.58333333,,,
1706532965000,12958.6,13507.766666659998,13488.95,13209.41666666,,,
1706532970000,13193.883333329999,13418.43333333,13363.4,13025.7,,,
1706532975000,13328.95,13378.06666666,13577.25,13161.68333333,,,
1706532980000,13074.016666659998,13506.366666659998,13519.3,13346.75,,,
1706532985000,13268.18333333,13444.31666666,13723.66666666,13177.65,,,
1706532990000,13192.45,13641.783333329999,13391.58333333,13294.15,,,
1706532995000,,,,,,,
1706533040000,0.0,0.0,0.0,0.0,0.0,,
1706533045000,0.0,0.0,0.0,0.0,0.0,,
1706533050000,238.4833333333,336.3666666666,320.4,330.9833333333,301.5833333333,,
1706533055000,406.6,414.0833333333,405.15,407.2833333333,395.0666666666,,
1706533060000,783.6666666666,788.7833333333,770.9833333333,772.6333333333,751.0833333333,,
1706533065000,1101.8333333333,1248.3,1151.05,1230.1833333333,1118.0,,
1706533070000,1831.75,1862.2333333333,1824.15,1834.8,1770.7333333333,,
1706533075000,2694.4333333332997,2726.8333333333,2669.45,2686.5833333333,2594.0666666666,,
1706533080000,3573.85,3602.01666667,3529.45,3559.38333333,3430.28333333,,
1706533085000,4520.46666667,4591.63333333,4454.25,4511.8,4294.11666667,,
1706533090000,5274.4,5350.71666667,5249.53333333,5262.55,5093.71666667,,
1706533095000,5922.25,6065.933333329999,5879.78333333,5894.8,5704.0,,
1706533100000,6785.95,7034.01666666,6887.4,6916.86666666,6686.633333329999,,
1706533105000,7707.0,7943.8,7607.58333333,7644.9,7398.05,,
1706533110000,8070.46666666,8312.95,8155.183333329999,8193.81666666,7937.06666666,,
1706533115000,8930.6,9095.18333333,8913.5,8966.21666666,8662.76666666,,
1706533120000,9601.68333333,9716.91666666,9550.31666666,9586.31666666,9267.95,,
1706533125000,10015.033333329999,10230.71666666,10097.91666666,10085.56666666,9817.73333333,,
1706533130000,10340.81666666,10452.0,10241.11666666,10295.883333329999,9926.75,,
