Parallelism,Mean,StdErr,Predictions
0,0.0,0.0,
1,11977.772972970717,758.4856550584939,
2,21628.387606832388,1440.3604727342426,30112.0
3,30551.981746024114,2002.2074950475767,42735.0
4,40261.92286820773,2703.767471315654,52411.0
5,42760.753252019735,2836.964020495544,65769.0
6,46584.214999984644,3237.8474347476595,67771.0
7,45543.59429823074,3234.5018807318093,73903.0
