,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1701946590000,0.0,,,,,,,
1701946595000,0.0,,,,,,,
1701946600000,0.0,,,,,,,
1701946605000,179.6333333333,,,,,,,
1701946610000,179.6333333333,,,,,,,
1701946615000,966.2833333333,,,,,,,
1701946620000,2558.7,,,,,,,
1701946625000,4376.85,,,,,,,
1701946630000,5897.8,,,,,,,
1701946635000,6998.56666666,,,,,,,
1701946640000,9424.86666666,,,,,,,
1701946645000,10466.55,,,,,,,
1701946650000,11340.31666666,,,,,,,
1701946655000,13642.95,,,,,,,
1701946660000,13898.05,,,,,,,
1701946665000,15423.23333333,,,,,,,
1701946670000,16605.36666666,,,,,,,
1701946675000,16466.11666666,,,,,,,
1701946680000,16563.516666659998,,,,,,,
1701946685000,15991.7,,,,,,,
1701946690000,15156.65,,,,,,,
1701946695000,15844.05,,,,,,,
1701946700000,14782.35,,,,,,,
1701946705000,14362.75,,,,,,,
1701946710000,15343.966666659999,,,,,,,
1701946715000,14627.68333333,,,,,,,
1701946720000,14810.033333329999,,,,,,,
1701946725000,14617.0,,,,,,,
1701946730000,14947.16666666,,,,,,,
1701946735000,15742.81666666,,,,,,,
1701946740000,14706.633333329999,,,,,,,
1701946745000,14691.75,,,,,,,
1701946750000,15214.283333329999,,,,,,,
1701946755000,15093.18333333,,,,,,,
1701946760000,15313.7,,,,,,,
1701946765000,15631.85,,,,,,,
1701946770000,14636.85,,,,,,,
1701946775000,14602.4,,,,,,,
1701946780000,15641.7,,,,,,,
1701946785000,15343.43333333,,,,,,,
1701946790000,14402.533333329999,,,,,,,
1701946795000,14523.18333333,,,,,,,
1701946800000,15348.5,,,,,,,
1701946805000,15889.35,,,,,,,
