,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3
Timestamp,,,,
1708175150000,0.0,,,
1708175155000,0.0,,,
1708175160000,0.0,,,
1708175165000,0.0,,,
1708175170000,0.0,,,
1708175175000,611.7666666666,,,
1708175180000,838.65,,,
1708175185000,838.65,,,
1708175190000,902.0333333333,,,
1708175195000,3416.26666667,,,
1708175200000,7678.7,,,
1708175205000,13696.48333333,,,
1708175210000,19088.4,,,
1708175215000,21339.88333333,,,
1708175220000,28796.35,,,
1708175225000,28796.35,,,
1708175230000,31661.3,,,
1708175235000,36460.86666666,,,
1708175240000,36233.98333333,,,
1708175245000,36233.98333333,,,
1708175250000,36170.6,,,
1708175255000,34560.25,,,
1708175260000,33155.36666666,,,
1708175265000,32536.73333333,,,
1708175270000,29682.41666666,,,
1708175275000,32407.5,,,
1708175280000,28892.13333333,,,
1708175285000,33579.01666666,,,
1708175290000,35073.46666666,,,
1708175295000,36371.85,,,
1708175300000,41176.75,,,
1708175305000,41176.75,,,
1708175310000,42646.15,,,
1708175315000,43890.38333333,,,
1708175320000,47116.23333333,,,
1708175325000,48014.36666666,,,
1708175330000,50217.53333333,,,
1708175335000,46842.91666666,,,
1708175340000,48670.23333333,,,
1708175345000,45037.13333333,,,
1708175350000,45353.81666666,,,
1708175355000,45742.05,,,
1708175360000,45169.65,,,
1708175365000,46265.51666666,,,
1708175370000,47360.0,,,
1708175375000,51373.9,,,
1708175380000,52415.08333333,,,
1708175385000,50640.96666666,,,
1708175390000,52737.55,,,
1708175395000,54356.63333333,,,
1708175400000,50636.0,,,
1708175405000,52602.05,,,
1708175410000,54418.61666666,,,
1708175415000,53153.4,,,
1708175420000,56570.28333333,,,
1708175425000,56319.91666666,,,
1708175430000,54797.3,,,
1708175435000,53698.28333333,,,
1708175440000,51538.6,,,
1708175445000,53857.6,,,
1708175450000,50351.75,,,
1708175455000,52727.51666666,,,
1708175460000,52553.86666666,,,
1708175465000,48579.56666666,,,
1708175470000,43797.68333333,,,
1708175475000,45231.4,,,
1708175480000,41510.11666666,,,
1708175485000,45917.66666666,,,
1708175490000,45583.75,,,
1708175495000,45663.05,,,
1708175500000,44306.15,,,
1708175505000,45767.33333333,,,
1708175510000,45380.63333333,,,
1708175515000,46185.53333333,,,
1708175520000,52185.8,,,
1708175525000,51399.65,,,
1708175530000,50897.43333333,,,
1708175535000,0.0,,,
1708175540000,0.0,,,
1708175545000,,,,
1708175550000,0.0,,,
1708175555000,168.8833333333,,,
1708175560000,,,,
1708175605000,0.0,,,
1708175610000,0.0,0.0,,
1708175615000,1.416666666666,1.816666666666,,
1708175620000,1115.3,1297.55,,
1708175625000,3870.68333333,4031.28333333,,
1708175630000,7257.13333333,6932.26666666,,
1708175635000,11959.73333333,12161.93333333,,
1708175640000,14874.7,15074.51666666,,
1708175645000,16872.35,16887.3,,
1708175650000,20163.48333333,20345.01666666,,
1708175655000,25263.2,25449.16666666,,
1708175660000,29698.33333333,29846.51666666,,
1708175665000,33281.68333333,33166.88333333,,
1708175670000,34756.58333333,34976.01666666,,
1708175675000,35970.53333333,35946.73333333,,
1708175680000,37404.83333333,37421.91666666,,
1708175685000,39205.18333333,39060.35,,
1708175690000,40060.65,40464.18333333,,
1708175695000,40079.38333333,40075.33333333,,
1708175700000,41554.63333333,41371.16666666,,
1708175705000,40305.08333333,40319.41666666,,
1708175710000,40954.4,40940.7,,
1708175715000,40465.36666666,40456.25,,
1708175720000,40817.38333333,40828.93333333,,
1708175725000,41601.85,41739.71666666,,
1708175730000,43158.13333333,43134.78333333,,
