,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737207530000,0.0
1737207535000,1209.95
1737207540000,2341.9833333333
1737207545000,7222.33333333
1737207550000,11011.2
1737207555000,16932.28333333
1737207560000,21291.21666666
1737207565000,23791.11666666
1737207570000,31107.7
1737207575000,31107.7
1737207580000,36619.78333333
1737207585000,41020.25
1737207590000,41020.25
1737207595000,44394.26666666
1737207600000,44764.41666666
1737207605000,40600.05
1737207610000,41805.966666659995
1737207615000,35884.88333333
1737207620000,37719.41666666
1737207625000,35219.51666666
1737207630000,29126.48333333
1737207635000,29440.85
1737207640000,30336.016666659998
1737207645000,33388.68333333
1737207650000,40804.66666666
1737207655000,42985.05
1737207660000,42896.6
1737207665000,48300.15
1737207670000,43305.36666666
1737207675000,45896.45
1737207680000,42394.216666659995
1737207685000,42394.216666659995
1737207690000,47372.116666660004
1737207695000,47057.75
1737207700000,41914.66666666
1737207705000,34461.53333333
1737207710000,28147.766666659998
1737207715000,29019.21666666
1737207720000,33124.58333333
1737207725000,33126.3
1737207730000,38952.38333333
1737207735000,41930.233333330005
1737207740000,39239.0
1737207745000,44835.483333330005
1737207750000,38634.03333333
1737207755000,44846.16666666
1737207760000,43582.0
1737207765000,44767.31666666
1737207770000,
