Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,1000.0,,0.0,0.0,-1.0,-1.0,1
5,0.0,,1000.0,,0.0,0.0,-1.0,-1.0,1
10,1547.1333333332998,,846.0,,382.0,219.0,6024098.0,518.0,1
15,4725.58333333,,662.0,,191.0,294.0,13875993.0,1118.0,1
20,5824.316666670001,,775.0,,387.0,514.0,19185965.0,2700.0,1
25,8245.98333333,,831.0,,731.0,805.0,9560394.0,1830.0,1
30,11895.31666666,,865.0,,780.0,812.0,16157943.0,4824.0,1
35,17654.61666666,,888.0,,911.0,935.0,18414108.0,908.0,1
40,18749.53333333,,904.0,,919.0,943.0,18414108.0,908.0,1
45,18927.95,,916.0,,1000.0,1000.0,7496480.0,616.0,1
50,25498.11666666,,925.0,,1000.0,1000.0,12619994.0,787.0,1
55,25498.11666666,,933.0,,1000.0,1000.0,12619994.0,787.0,1
60,25498.11666666,,939.0,,1000.0,1000.0,6736447.0,846.0,1
65,30899.1,,944.0,,1000.0,1000.0,10405367.0,614.0,1
70,30965.36666666,,957.0,,1000.0,1000.0,10405367.0,614.0,1
75,27786.91666666,,1000.0,,1000.0,1000.0,10405367.0,614.0,1
80,28644.583333330003,,1000.0,,1000.0,1000.0,11088451.0,782.0,1
85,30487.11666666,,1000.0,,1000.0,1000.0,11088451.0,782.0,1
90,26837.78333333,,1000.0,,1000.0,1000.0,11088451.0,782.0,1
95,21726.46666666,,1000.0,,1000.0,1000.0,10397283.0,3700.0,1
100,23350.383333330003,,1000.0,,1000.0,1000.0,16267891.0,858.0,1
105,28927.96666666,,1000.0,,1000.0,1000.0,16147673.0,1127.0,1
110,27981.75,,1000.0,,1000.0,1000.0,24187118.0,1083.0,1
115,32399.066666659997,,1000.0,,1000.0,1000.0,43412982.0,2181.0,1
120,34838.91666666,,1000.0,,1000.0,1000.0,43412982.0,2181.0,1
125,29437.933333330002,,1000.0,,1000.0,1000.0,26242849.0,1004.0,1
130,33471.56666666,,1000.0,,1000.0,1000.0,29559386.0,1191.0,1
135,33471.56666666,,1000.0,,1000.0,1000.0,29559386.0,1191.0,1
140,32173.28333333,,1000.0,,1000.0,1000.0,18135542.0,849.0,1
145,33454.95,,1000.0,,1000.0,1000.0,23344201.0,1085.0,1
150,33454.95,,1000.0,,1000.0,1000.0,23344201.0,1085.0,1
155,33204.25,,1000.0,,1000.0,1000.0,26220293.0,1192.0,1
160,35509.66666666,,1000.0,,1000.0,1000.0,24995488.0,1044.0,1
165,30071.316666659997,,1000.0,,1000.0,1000.0,24995488.0,1044.0,1
170,24839.1,,1000.0,,1000.0,1000.0,30499018.0,7582.0,1
175,20659.11666666,,1000.0,,1000.0,1000.0,30499018.0,7582.0,1
180,20957.18333333,,1000.0,,1000.0,1000.0,22637704.0,1092.0,1
185,23840.3,,1000.0,,1000.0,1000.0,13549513.0,2329.0,1
190,23576.6,,1000.0,,1000.0,1000.0,24400353.0,1223.0,1
195,29457.6,,1000.0,,1000.0,1000.0,34039528.0,1733.0,1
200,32555.21666666,,1000.0,,1000.0,1000.0,24359752.0,1120.0,1
205,29465.28333333,,1000.0,,1000.0,1000.0,33101045.0,3424.0,1
210,35027.38333333,,1000.0,,1000.0,1000.0,38303547.0,1586.0,1
215,34848.25,,1000.0,,1000.0,1000.0,38303547.0,1586.0,1
220,30316.066666659997,,1000.0,,1000.0,1000.0,37678185.0,10094.0,1
225,34024.4,,1000.0,,1000.0,1000.0,32531945.0,1616.0,1
230,34829.15,,1000.0,,1000.0,1000.0,32531945.0,1616.0,1
235,34591.81666666,,1000.0,,1000.0,1000.0,31311250.0,9879.0,1
240,32988.66666666,,1000.0,,1000.0,1000.0,31311250.0,9879.0,1
245,30118.7,,1000.0,,1000.0,1000.0,37320833.0,9952.0,1
250,28356.633333330003,,1000.0,,1000.0,1000.0,7613453.0,683.0,1
255,,,,,,,,,0
275,0.0,0.0,1000.0,1000.0,0.0,0.0,,,2
280,1994.5166666666,0.0,756.0,1000.0,605.0,483.0,-1.0,-1.0,2
285,5471.0,1093.2666666666,878.0,0.0,679.0,602.0,7523450.0,1905.0,2
290,10021.85,4086.05,919.0,176.0,701.0,650.0,18110473.0,1847.0,2
295,12703.91666666,7857.66666666,939.0,326.0,772.0,722.0,29801663.0,1407.0,2
