,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Timestamp,,,,,,,,,,,,,,,,,,
1736793695000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793700000,9.0,19.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,549.0,502.0,,2280.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793705000,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,16.0,9861000.0,,547.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793710000,9.0,19.0,,1.0,0.0,0.0,9.0,1.0,,0.0,9.0,9.0,84933000.0,489459.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793715000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,32013000.0,94.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793720000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,28620000.0,99.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793725000,9.0,19.0,,0.0,0.0,0.0,9.0,0.0,,0.0,9.0,9.0,11.0,208.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793730000,9.0,21.0,,1.0,0.0,0.0,11.0,1.0,,0.0,9.0,9.0,12708000.0,245.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793735000,9.0,21.0,,1.0,0.0,0.0,11.0,1.0,,0.0,9.0,9.0,2304000.0,245.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793740000,9.0,19.0,,0.0,0.0,0.0,9.0,0.0,,0.0,9.0,9.0,4.0,106.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793745000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2673000.0,106.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793750000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,106.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793755000,9.0,20.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,2.0,183.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793760000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,4473000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793765000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793770000,9.0,20.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,5.0,308.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793775000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,11196000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793780000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793785000,9.0,20.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,2304000.0,93031.0,,2814.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793790000,9.0,19.0,,0.0,0.0,0.0,9.0,0.0,,0.0,5.0,9.0,4.0,335.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793795000,9.0,20.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,3.0,113.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793800000,9.0,17.0,,0.0,0.0,0.0,7.0,0.0,,0.0,1.0,9.0,10.0,111.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793805000,9.0,19.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,12.0,375.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793810000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,43002000.0,183.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793815000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,3474000.0,183.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793820000,9.0,18.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,0.0,134.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793825000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,134.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793830000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,134.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793835000,9.0,20.0,,0.0,0.0,0.0,10.0,0.0,,0.0,9.0,9.0,6.0,105.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793840000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2934000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793845000,9.0,19.0,,1.0,0.0,0.0,10.0,1.0,,0.0,9.0,9.0,2304000.0,118.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736793850000,9.0,19.0,,0.0,0.0,0.0,9.0,0.0,,0.0,9.0,9.0,3.0,151.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
