Parallelism,Throughput,ThroughputStdErr,BusyTime,BusyTimeStdErr,BackpressureTime,BackpressureTimeStdErr
0,0.0,0.0,,,0.0,0.0
1,19086.1996376784,1129.5794692431296,798.6521739130435,49.74434847772982,806.695652173913,51.88068751307299
2,34537.01803277967,389.28964498824456,981.5983606557377,1.1348134746125496,1000.0,0.0
3,47487.30317459349,957.4805229552946,957.7407407407406,2.986063055805272,975.531746031746,15.86817336059665
4,60326.26323528,853.5220451472105,961.25,0.8667326520883349,953.990099009901,9.763716645768152
5,68554.75128203414,1650.18601966712,954.4799999999999,1.0493237044336656,931.1076923076923,3.0893306049545988
6,77495.01324784385,1938.079339038167,928.5,2.054724675260474,877.6666666666666,7.387471254513954
7,92388.16639782532,1375.111455523254,939.9377880184331,3.1860929676049787,856.2096774193549,3.033835133534511
8,103070.39392154307,889.1736452499612,898.825,4.377570525122599,501.0764705882353,40.87975404848375
