Parallelism,Throughput_min,Throughput_max,Throughput_mean
52,202825.53448275884,221515.8148809513,213313.19056239724
104,197710.16565656225,241742.0557291632,222299.40249999653
156,219324.2869791615,240957.1781249948,228200.35251577757
208,152209.16666665964,243115.00444443757,219090.75194264544
