,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1736613105000,0.0
1736613110000,1330.8166666666
1736613115000,2173.8833333333
1736613120000,8599.86666666
1736613125000,9798.31666666
1736613130000,13449.68333333
1736613135000,17130.816666659997
1736613140000,21364.11666666
1736613145000,25936.4
1736613150000,27030.2
1736613155000,32934.83333333
1736613160000,33141.08333333
1736613165000,34967.88333333
1736613170000,37467.88333333
1736613175000,36624.81666666
1736613180000,30198.833333330003
1736613185000,31759.0
1736613190000,31182.86666666
1736613195000,27501.73333333
1736613200000,23960.35
1736613205000,20354.66666666
1736613210000,24521.016666659998
1736613215000,22476.95
1736613220000,25403.4
1736613225000,28196.73333333
1736613230000,29426.86666666
1736613235000,31345.05
1736613240000,36494.9
1736613245000,38277.9
1736613250000,36249.28333333
1736613255000,41786.55
1736613260000,41271.51666666
1736613265000,41288.16666666
1736613270000,37419.25
1736613275000,33558.68333333
1736613280000,30425.98333333
1736613285000,
1736613385000,0.0
1736613390000,0.0
1736613395000,879.3166666666
1736613400000,2292.5666666666
1736613405000,6963.76666666
1736613410000,11808.1
1736613415000,16344.98333333
1736613420000,18016.85
1736613425000,23292.0
1736613430000,23292.0
1736613435000,28823.883333330003
1736613440000,28823.883333330003
1736613445000,28823.883333330003
1736613450000,30205.633333330003
1736613455000,33215.41666666
1736613460000,31802.16666666
1736613465000,27328.8
1736613470000,27601.75
1736613475000,23064.86666666
1736613480000,23561.516666659998
1736613485000,20917.36666666
1736613490000,24150.91666666
1736613495000,23724.316666659997
1736613500000,26460.566666659997
1736613505000,31039.083333330003
1736613510000,35105.25
1736613515000,36078.75
1736613520000,36078.75
1736613525000,37476.91666666
1736613530000,36663.483333330005
1736613535000,36663.483333330005
1736613540000,36176.6
1736613545000,37198.0
1736613550000,33964.45
1736613555000,29543.96666666
1736613560000,26807.71666666
1736613565000,25236.583333330003
1736613570000,
1736613660000,0.0
1736613665000,0.0
1736613670000,1353.8833333333
1736613675000,2261.6
1736613680000,6270.766666670001
1736613685000,8559.133333329999
1736613690000,12425.633333329999
1736613695000,14616.1
1736613700000,19857.566666659997
1736613705000,19857.566666659997
1736613710000,22123.53333333
1736613715000,28489.3
1736613720000,29941.5
1736613725000,29941.5
1736613730000,29607.11666666
1736613735000,33115.18333333
1736613740000,30865.61666666
1736613745000,28577.25
1736613750000,28002.95
1736613755000,29095.03333333
1736613760000,23853.566666659997
1736613765000,24908.85
1736613770000,24964.11666666
1736613775000,23514.9
1736613780000,27385.45
1736613785000,32504.633333330003
1736613790000,34773.08333333
1736613795000,32168.7
1736613800000,31221.333333330003
1736613805000,35764.05
1736613810000,32471.85
1736613815000,30078.2
1736613820000,34616.1
1736613825000,33560.81666666
1736613830000,31852.8
1736613835000,26936.25
1736613840000,
1736613940000,0.0
1736613945000,1261.7833333333
1736613950000,2152.1333333333
1736613955000,2220.35
1736613960000,5406.5
1736613965000,10609.33333333
1736613970000,10609.33333333
1736613975000,12620.41666666
1736613980000,19519.516666659998
1736613985000,19869.9
1736613990000,19869.9
1736613995000,19869.9
1736614000000,22018.13333333
1736614005000,25072.55
1736614010000,24182.2
1736614015000,24113.98333333
1736614020000,26450.23333333
1736614025000,22811.516666659998
1736614030000,23017.91666666
1736614035000,25722.383333330003
1736614040000,18823.28333333
1736614045000,19718.43333333
1736614050000,24581.583333330003
1736614055000,24805.98333333
1736614060000,27470.4
1736614065000,23814.78333333
1736614070000,24144.75
1736614075000,29326.95
1736614080000,23804.55
1736614085000,23857.21666666
1736614090000,27520.316666659997
1736614095000,22804.766666659998
1736614100000,27963.78333333
1736614105000,26718.25
1736614110000,24913.86666666
1736614115000,30705.816666659997
1736614120000,
1736614215000,0.0
1736614220000,724.6666666666
1736614225000,1970.0833333332998
1736614230000,3222.8
1736614235000,8404.383333329999
1736614240000,12904.466666659999
1736614245000,16226.9
1736614250000,17937.066666659997
1736614255000,22373.33333333
1736614260000,22373.33333333
