,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1736615665000,391.0
1736615670000,370.0
1736615675000,258.0
1736615680000,432.0
1736615685000,546.0
1736615690000,622.0
1736615695000,676.0
1736615700000,716.0
1736615705000,748.0
1736615710000,773.0
1736615715000,794.0
1736615720000,811.0
1736615725000,862.0
1736615730000,916.0
1736615735000,997.0
1736615740000,1000.0
1736615745000,1000.0
1736615750000,1000.0
1736615755000,1000.0
1736615760000,1000.0
1736615765000,1000.0
1736615770000,1000.0
1736615775000,1000.0
1736615780000,1000.0
1736615785000,1000.0
1736615790000,1000.0
1736615795000,1000.0
1736615800000,1000.0
1736615805000,1000.0
1736615810000,1000.0
1736615815000,1000.0
1736615820000,1000.0
1736615825000,1000.0
1736615830000,1000.0
1736615835000,1000.0
1736615840000,
1736615940000,345.0
1736615945000,363.0
1736615950000,232.0
1736615955000,355.0
1736615960000,483.0
1736615965000,570.0
1736615970000,631.0
1736615975000,677.0
1736615980000,713.0
1736615985000,742.0
1736615990000,765.0
1736615995000,785.0
1736616000000,840.0
1736616005000,891.0
1736616010000,977.0
1736616015000,1000.0
1736616020000,1000.0
1736616025000,1000.0
1736616030000,1000.0
1736616035000,1000.0
1736616040000,1000.0
1736616045000,1000.0
1736616050000,1000.0
1736616055000,1000.0
1736616060000,1000.0
1736616065000,1000.0
1736616070000,1000.0
1736616075000,1000.0
1736616080000,1000.0
1736616085000,1000.0
1736616090000,1000.0
1736616095000,1000.0
1736616100000,1000.0
1736616105000,1000.0
1736616110000,1000.0
1736616115000,1000.0
1736616120000,
1736616550000,1000.0
1736616555000,418.0
1736616560000,352.0
1736616565000,234.0
1736616570000,377.0
1736616575000,502.0
1736616580000,585.0
1736616585000,641.0
1736616590000,686.0
1736616595000,721.0
1736616600000,749.0
1736616605000,772.0
1736616610000,791.0
1736616615000,839.0
1736616620000,899.0
1736616625000,982.0
1736616630000,999.0
1736616635000,999.0
1736616640000,999.0
