Timestamp,flink_jobmanager_job_lastCheckpointSize
0,-1.0
5,456475.0
10,2783533.0
15,10083932.0
20,10083932.0
25,24016598.0
30,6563919.0
35,16932795.0
40,13985315.0
45,19362367.0
50,17424009.0
55,26637698.0
60,26637698.0
65,15266704.0
70,15266704.0
75,15266704.0
80,20365871.0
85,14568596.0
90,14568596.0
95,14568596.0
100,24974478.0
105,7539572.0
110,14368074.0
115,10476328.0
120,24630615.0
125,23798956.0
130,34322417.0
135,34173334.0
140,39005615.0
145,41144417.0
150,37667883.0
155,46985478.0
160,46985478.0
165,53304581.0
170,45878588.0
175,45878588.0
180,45878588.0
185,45878588.0
190,
278,-1.0
283,-1.0
288,698263.0
293,6267969.0
298,13558928.0
303,15081030.0
308,22385860.0
313,37442298.0
318,15593715.0
323,15593715.0
328,24300155.0
333,24300155.0
338,24300155.0
343,9039066.0
348,13096166.0
353,13096166.0
358,14643933.0
363,20184132.0
368,20184132.0
373,15391250.0
378,15391250.0
383,5658374.0
388,21766402.0
393,29102604.0
398,17840449.0
403,28046389.0
408,35958077.0
413,35958077.0
418,34805662.0
423,21651413.0
428,21651413.0
433,29536579.0
438,25488718.0
443,25488718.0
448,30790961.0
453,25480502.0
458,20655560.0
463,11139717.0
468,
555,-1.0
560,22637.0
565,3293491.0
570,5713260.0
575,5713260.0
580,6272225.0
585,13512106.0
590,12112696.0
595,16542894.0
600,16542894.0
605,14863851.0
610,20737204.0
615,20737204.0
620,20737204.0
625,23322844.0
630,21715437.0
635,21715437.0
640,19836361.0
645,20344083.0
650,20344083.0
655,19975460.0
660,19975460.0
665,8424145.0
670,14340791.0
675,22938250.0
680,21037709.0
685,36863710.0
690,36863710.0
695,35247773.0
700,22179875.0
705,22179875.0
710,25316107.0
715,18563161.0
720,18563161.0
725,25879926.0
730,30262769.0
735,10656358.0
740,10656358.0
745,
830,-1.0
835,-1.0
840,1419443.0
845,5454438.0
850,5454438.0
855,7350294.0
860,7133262.0
865,7133262.0
870,18617690.0
875,9729689.0
880,9729689.0
885,9729689.0
890,9729689.0
895,20372139.0
900,13411444.0
905,13411444.0
910,19165779.0
915,8574487.0
920,8574487.0
925,12857356.0
930,12636988.0
935,12636988.0
940,6650179.0
945,21846057.0
950,21846057.0
955,6012983.0
960,6012983.0
965,15603547.0
970,9700537.0
975,9700537.0
980,20770948.0
985,20770948.0
990,20770948.0
995,15316125.0
1000,15316125.0
1005,8118156.0
1010,20321388.0
1015,20321388.0
1020,
1104,-1.0
1109,-1.0
1114,1654748.0
1119,5502135.0
1124,5502135.0
1129,10462282.0
1134,19110383.0
1139,19110383.0
1144,22471279.0
1149,24953144.0
1154,24953144.0
1159,20544417.0
1164,14850938.0
1169,14850938.0
1174,14850938.0
1179,21012809.0
1184,10241137.0
1189,10241137.0
1194,13238605.0
1199,11178418.0
1204,11178418.0
1209,13557008.0
1214,8543643.0
1219,13364361.0
1224,18646754.0
1229,18646754.0
1234,29328602.0
1239,29328602.0
1244,29328602.0
1249,22122158.0
1254,22122158.0
1259,22122158.0
1264,22214050.0
1269,22214050.0
1274,22214050.0
1279,23769635.0
1284,25999192.0
1289,19284959.0
1294,
1452,-1.0
1457,-1.0
1462,-1.0
1467,-1.0
1472,-1.0
1477,-1.0
1482,-1.0
1487,-1.0
1492,-1.0
1497,-1.0
1502,-1.0
1507,-1.0
1512,-1.0
1517,-1.0
1522,-1.0
1527,-1.0
1532,-1.0
1537,-1.0
1542,-1.0
1547,-1.0
1552,-1.0
1557,-1.0
1562,-1.0
1567,-1.0
1572,-1.0
1577,-1.0
1582,-1.0
1587,-1.0
1592,-1.0
1597,-1.0
1602,-1.0
1607,-1.0
1612,-1.0
1617,-1.0
1622,-1.0
1627,-1.0
1632,-1.0
1637,
1723,-1.0
1728,1899130.0
1733,4710098.0
1738,9627138.0
1743,9627138.0
1748,12799273.0
1753,23723020.0
1758,7656041.0
1763,27739887.0
1768,27739887.0
1773,35226880.0
1778,35226880.0
1783,35226880.0
1788,35649804.0
1793,35649804.0
1798,35649804.0
1803,32526166.0
1808,32526166.0
1813,31509000.0
1818,31509000.0
1823,31816685.0
1828,31816685.0
1833,26674011.0
1838,9231941.0
1843,25749264.0
1848,37019701.0
1853,37019701.0
1858,32542376.0
1863,36580492.0
1868,24998188.0
1873,37930259.0
1878,37930259.0
1883,28104958.0
1888,28104958.0
1893,9341835.0
1898,15630717.0
1903,32594376.0
1908,32594376.0
1913,
2001,-1.0
2006,22637.0
2011,2187391.0
2016,4081860.0
2021,7954377.0
2026,7954377.0
2031,11201243.0
