,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737493995000,1000.0
1737494000000,1000.0
1737494005000,0.0
1737494010000,0.0
1737494015000,0.0
1737494020000,0.0
1737494025000,2.0
1737494030000,167.0
1737494035000,
1737494055000,1000.0
1737494060000,885.0
1737494065000,943.0
1737494070000,962.0
1737494075000,
1737494095000,1000.0
1737494100000,860.0
1737494105000,930.0
1737494110000,954.0
1737494115000,965.0
1737494120000,
1737494155000,1000.0
1737494160000,1000.0
1737494165000,876.0
1737494170000,938.0
1737494175000,959.0
1737494180000,969.0
1737494185000,976.0
1737494190000,
