Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 7)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,1
5,0.0,,,,,,,,757.0,,,,,,,,0.0,0.0,,,1
10,0.0,,,,,,,,378.0,,,,,,,,0.0,0.0,,,1
15,0.0,,,,,,,,240.0,,,,,,,,0.0,0.0,,,1
20,0.0,,,,,,,,173.0,,,,,,,,0.0,0.0,,,1
25,0.0,,,,,,,,141.0,,,,,,,,0.0,0.0,,,1
30,1278.6,,,,,,,,193.0,,,,,,,,0.0,93.0,,,1
35,2372.7666666666,,,,,,,,297.0,,,,,,,,113.0,207.0,,,1
40,7006.83333333,,,,,,,,360.0,,,,,,,,207.0,247.0,,,1
45,9648.75,,,,,,,,431.0,,,,,,,,287.0,301.0,,,1
50,16947.483333329998,,,,,,,,486.0,,,,,,,,336.0,320.0,,,1
55,18816.46666666,,,,,,,,533.0,,,,,,,,392.0,379.0,,,1
60,24427.21666666,,,,,,,,572.0,,,,,,,,435.0,418.0,,,1
65,25773.5,,,,,,,,592.0,,,,,,,,516.0,499.0,,,1
70,28325.21666666,,,,,,,,675.0,,,,,,,,647.0,628.0,,,1
75,32063.833333330003,,,,,,,,762.0,,,,,,,,716.0,697.0,,,1
80,33775.03333333,,,,,,,,848.0,,,,,,,,824.0,809.0,,,1
85,39408.15,,,,,,,,930.0,,,,,,,,900.0,881.0,,,1
90,38219.8,,,,,,,,975.0,,,,,,,,1000.0,943.0,,,1
95,40299.1,,,,,,,,982.0,,,,,,,,1000.0,939.0,,,1
100,38906.85,,,,,,,,999.0,,,,,,,,1000.0,967.0,,,1
105,36264.93333333,,,,,,,,999.0,,,,,,,,1000.0,990.0,,,1
110,29377.71666666,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
115,27675.71666666,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
120,22064.96666666,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
125,21050.85,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
130,19676.016666659998,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
135,21650.316666659997,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
140,20518.75,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
145,18995.08333333,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
150,18995.08333333,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
155,21403.066666659997,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
160,21403.066666659997,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
165,22096.65,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
170,23385.86666666,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
175,22974.35,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
180,24171.333333330003,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
185,24171.333333330003,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
190,26585.61666666,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
195,30503.78333333,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
200,26785.66666666,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
205,32713.833333330003,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
210,28905.066666659997,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
215,32177.71666666,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
220,30060.383333330003,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
225,31980.03333333,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
230,30690.816666659997,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
235,30690.816666659997,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
240,30690.816666659997,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
245,30461.05,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
250,28341.9,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
255,30127.0,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
260,28696.25,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
265,28279.95,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
270,30377.25,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
275,28839.9,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
280,30067.833333330003,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
285,25126.45,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
290,25126.45,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
295,25126.45,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
300,27039.633333330003,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
305,30902.833333330003,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
310,32010.41666666,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
315,30000.6,,,,,,,,1000.0,,,,,,,,1000.0,1000.0,,,1
