Parallelism,Mean,StdErr,Predictions
0,0.0,0.0,
1,23796.813080165906,1176.7290624555847,
2,45468.03012819842,1405.8455412174235,52394.0
3,59050.99423075957,1832.5681659286029,76335.0
4,69576.41395832245,2678.3913893152794,78959.0
5,77543.08396622958,2747.7159215537845,95505.0
6,93435.6731110928,3164.584334164911,97249.0
7,101227.85177775656,3871.9641861356536,119143.0
8,110248.65022520165,4023.5957109205906,131204.0
