,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1701950745000,1000.0,,,,,,
1701950750000,361.0,,,,,,
1701950755000,179.0,,,,,,
1701950760000,206.0,,,,,,
1701950765000,380.0,,,,,,
1701950770000,487.0,,,,,,
1701950775000,568.0,,,,,,
1701950780000,630.0,,,,,,
1701950785000,676.0,,,,,,
1701950790000,712.0,,,,,,
1701950795000,741.0,,,,,,
1701950800000,765.0,,,,,,
1701950805000,784.0,,,,,,
1701950810000,838.0,,,,,,
1701950815000,921.0,,,,,,
1701950820000,983.0,,,,,,
1701950825000,991.0,,,,,,
1701950830000,998.0,,,,,,
1701950835000,1000.0,,,,,,
1701950840000,1000.0,,,,,,
1701950845000,1000.0,,,,,,
1701950850000,1000.0,,,,,,
1701950855000,1000.0,,,,,,
1701950860000,1000.0,,,,,,
1701950865000,1000.0,,,,,,
1701950870000,1000.0,,,,,,
1701950875000,1000.0,,,,,,
1701950880000,1000.0,,,,,,
1701950885000,1000.0,,,,,,
1701950890000,1000.0,,,,,,
1701950895000,1000.0,,,,,,
1701950900000,1000.0,,,,,,
1701950905000,1000.0,,,,,,
1701950910000,1000.0,,,,,,
1701950915000,1000.0,,,,,,
1701950920000,1000.0,,,,,,
1701950925000,1000.0,,,,,,
1701950930000,1000.0,,,,,,
1701950935000,1000.0,,,,,,
1701950940000,1000.0,,,,,,
1701950945000,1000.0,,,,,,
1701950950000,1000.0,,,,,,
1701950955000,1000.0,,,,,,
1701950960000,1000.0,,,,,,
1701950965000,1000.0,,,,,,
1701950970000,1000.0,,,,,,
1701950975000,1000.0,,,,,,
1701950980000,1000.0,,,,,,
1701950985000,1000.0,,,,,,
1701950990000,1000.0,,,,,,
1701950995000,1000.0,,,,,,
1701951000000,1000.0,,,,,,
1701951005000,1000.0,,,,,,
1701951010000,1000.0,,,,,,
1701951015000,1000.0,,,,,,
1701951020000,1000.0,,,,,,
1701951025000,1000.0,,,,,,
1701951030000,1000.0,,,,,,
1701951035000,1000.0,,,,,,
1701951040000,1000.0,,,,,,
1701951045000,1000.0,,,,,,
1701951050000,1000.0,,,,,,
1701951055000,1000.0,,,,,,
1701951060000,1000.0,,,,,,
1701951065000,1000.0,,,,,,
1701951070000,1000.0,,,,,,
1701951075000,1000.0,,,,,,
1701951080000,1000.0,,,,,,
1701951085000,1000.0,,,,,,
1701951090000,1000.0,,,,,,
1701951095000,1000.0,,,,,,
1701951100000,1000.0,,,,,,
1701951105000,1000.0,,,,,,
1701951110000,1000.0,,,,,,
1701951115000,1000.0,,,,,,
1701951120000,1000.0,,,,,,
1701951125000,1000.0,,,,,,
1701951130000,1000.0,,,,,,
1701951135000,1000.0,,,,,,
1701951140000,1000.0,,,,,,
1701951145000,1000.0,,,,,,
1701951150000,1000.0,,,,,,
1701951155000,1000.0,,,,,,
1701951160000,1000.0,,,,,,
1701951165000,1000.0,,,,,,
1701951170000,1000.0,,,,,,
1701951175000,1000.0,,,,,,
1701951180000,,,,,,,
1701951230000,1000.0,1000.0,,,,,
1701951235000,1000.0,821.0,,,,,
1701951240000,881.0,431.0,,,,,
1701951245000,921.0,440.0,,,,,
1701951250000,941.0,510.0,,,,,
1701951255000,953.0,537.0,,,,,
1701951260000,961.0,559.0,,,,,
1701951265000,966.0,534.0,,,,,
1701951270000,971.0,535.0,,,,,
1701951275000,974.0,559.0,,,,,
1701951280000,977.0,582.0,,,,,
1701951285000,979.0,582.0,,,,,
1701951290000,981.0,586.0,,,,,
1701951295000,981.0,578.0,,,,,
1701951300000,1000.0,645.0,,,,,
1701951305000,1000.0,663.0,,,,,
1701951310000,1000.0,667.0,,,,,
1701951315000,1000.0,672.0,,,,,
1701951320000,1000.0,681.0,,,,,
1701951325000,1000.0,712.0,,,,,
1701951330000,1000.0,726.0,,,,,
1701951335000,1000.0,719.0,,,,,
1701951340000,1000.0,722.0,,,,,
1701951345000,1000.0,729.0,,,,,
1701951350000,1000.0,744.0,,,,,
1701951355000,1000.0,755.0,,,,,
1701951360000,1000.0,758.0,,,,,
1701951365000,1000.0,770.0,,,,,
1701951370000,1000.0,767.0,,,,,
1701951375000,1000.0,780.0,,,,,
1701951380000,1000.0,783.0,,,,,
1701951385000,1000.0,786.0,,,,,
1701951390000,1000.0,795.0,,,,,
1701951395000,1000.0,807.0,,,,,
1701951400000,1000.0,799.0,,,,,
1701951405000,1000.0,821.0,,,,,
1701951410000,1000.0,829.0,,,,,
1701951415000,1000.0,821.0,,,,,
1701951420000,1000.0,815.0,,,,,
1701951425000,1000.0,814.0,,,,,
1701951430000,1000.0,822.0,,,,,
1701951435000,1000.0,811.0,,,,,
1701951440000,1000.0,806.0,,,,,
1701951445000,1000.0,813.0,,,,,
1701951450000,1000.0,807.0,,,,,
1701951455000,1000.0,812.0,,,,,
1701951460000,1000.0,819.0,,,,,
1701951465000,1000.0,817.0,,,,,
1701951470000,1000.0,807.0,,,,,
1701951475000,1000.0,817.0,,,,,
1701951480000,1000.0,807.0,,,,,
1701951485000,1000.0,803.0,,,,,
1701951490000,1000.0,801.0,,,,,
1701951495000,1000.0,804.0,,,,,
1701951500000,1000.0,803.0,,,,,
1701951505000,1000.0,801.0,,,,,
1701951510000,1000.0,802.0,,,,,
1701951515000,1000.0,790.0,,,,,
1701951520000,1000.0,784.0,,,,,
1701951525000,1000.0,772.0,,,,,
1701951530000,1000.0,773.0,,,,,
1701951535000,1000.0,766.0,,,,,
1701951540000,1000.0,772.0,,,,,
1701951545000,1000.0,775.0,,,,,
1701951550000,1000.0,777.0,,,,,
1701951555000,1000.0,779.0,,,,,
1701951560000,1000.0,788.0,,,,,
1701951565000,1000.0,776.0,,,,,
1701951570000,1000.0,774.0,,,,,
1701951575000,1000.0,772.0,,,,,
1701951580000,1000.0,777.0,,,,,
1701951585000,1000.0,778.0,,,,,
1701951590000,1000.0,784.0,,,,,
1701951595000,1000.0,789.0,,,,,
1701951600000,1000.0,798.0,,,,,
1701951605000,1000.0,800.0,,,,,
1701951610000,1000.0,800.0,,,,,
1701951615000,1000.0,795.0,,,,,
1701951620000,1000.0,799.0,,,,,
1701951625000,1000.0,812.0,,,,,
1701951630000,1000.0,813.0,,,,,
1701951635000,1000.0,824.0,,,,,
1701951640000,1000.0,830.0,,,,,
1701951645000,1000.0,827.0,,,,,
1701951650000,1000.0,829.0,,,,,
1701951655000,1000.0,828.0,,,,,
1701951660000,1000.0,827.0,,,,,
1701951665000,1000.0,826.0,,,,,
1701951670000,1000.0,826.0,,,,,
1701951675000,1000.0,829.0,,,,,
1701951680000,1000.0,835.0,,,,,
1701951685000,,,,,,,
1701951730000,1000.0,,1000.0,,,,
1701951735000,780.0,594.0,589.0,,,,
1701951740000,890.0,797.0,776.0,,,,
1701951745000,927.0,731.0,622.0,,,,
1701951750000,945.0,564.0,492.0,,,,
1701951755000,956.0,485.0,423.0,,,,
1701951760000,964.0,436.0,382.0,,,,
1701951765000,969.0,477.0,429.0,,,,
1701951770000,973.0,482.0,439.0,,,,
1701951775000,976.0,511.0,482.0,,,,
1701951780000,978.0,528.0,506.0,,,,
1701951785000,980.0,538.0,522.0,,,,
1701951790000,982.0,538.0,527.0,,,,
1701951795000,1000.0,542.0,537.0,,,,
1701951800000,1000.0,517.0,516.0,,,,
1701951805000,1000.0,521.0,546.0,,,,
1701951810000,1000.0,571.0,592.0,,,,
1701951815000,1000.0,614.0,633.0,,,,
