,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1706532020000,1000.0,,,,,,
1706532025000,501.0,,,,,,
1706532030000,751.0,,,,,,
1706532035000,712.0,,,,,,
1706532040000,784.0,,,,,,
1706532045000,827.0,,,,,,
1706532050000,856.0,,,,,,
1706532055000,877.0,,,,,,
1706532060000,892.0,,,,,,
1706532065000,904.0,,,,,,
1706532070000,914.0,,,,,,
1706532075000,922.0,,,,,,
1706532080000,928.0,,,,,,
1706532085000,970.0,,,,,,
1706532090000,970.0,,,,,,
1706532095000,1000.0,,,,,,
1706532100000,1000.0,,,,,,
1706532105000,1000.0,,,,,,
1706532110000,1000.0,,,,,,
1706532115000,1000.0,,,,,,
1706532120000,1000.0,,,,,,
1706532125000,1000.0,,,,,,
1706532130000,1000.0,,,,,,
1706532135000,1000.0,,,,,,
1706532140000,1000.0,,,,,,
1706532145000,1000.0,,,,,,
1706532150000,1000.0,,,,,,
1706532155000,1000.0,,,,,,
1706532160000,1000.0,,,,,,
1706532165000,1000.0,,,,,,
1706532170000,1000.0,,,,,,
1706532175000,1000.0,,,,,,
1706532180000,1000.0,,,,,,
1706532185000,1000.0,,,,,,
1706532190000,1000.0,,,,,,
1706532195000,1000.0,,,,,,
1706532200000,1000.0,,,,,,
1706532205000,,,,,,,
1706532250000,,1000.0,,,,,
1706532255000,1000.0,495.0,,,,,
1706532260000,735.0,327.0,,,,,
1706532265000,829.0,517.0,,,,,
1706532270000,886.0,520.0,,,,,
1706532275000,915.0,539.0,,,,,
1706532280000,932.0,553.0,,,,,
1706532285000,943.0,605.0,,,,,
1706532290000,951.0,620.0,,,,,
1706532295000,958.0,616.0,,,,,
1706532300000,962.0,627.0,,,,,
1706532305000,966.0,656.0,,,,,
1706532310000,969.0,667.0,,,,,
1706532315000,972.0,691.0,,,,,
1706532320000,994.0,751.0,,,,,
1706532325000,1000.0,731.0,,,,,
1706532330000,1000.0,739.0,,,,,
1706532335000,1000.0,756.0,,,,,
1706532340000,1000.0,766.0,,,,,
1706532345000,1000.0,744.0,,,,,
1706532350000,1000.0,741.0,,,,,
1706532355000,1000.0,771.0,,,,,
1706532360000,1000.0,762.0,,,,,
1706532365000,1000.0,743.0,,,,,
1706532370000,1000.0,740.0,,,,,
1706532375000,1000.0,743.0,,,,,
1706532380000,1000.0,741.0,,,,,
1706532385000,1000.0,753.0,,,,,
1706532390000,1000.0,758.0,,,,,
1706532395000,1000.0,763.0,,,,,
1706532400000,1000.0,762.0,,,,,
1706532405000,1000.0,770.0,,,,,
1706532410000,1000.0,784.0,,,,,
1706532415000,1000.0,768.0,,,,,
1706532420000,1000.0,787.0,,,,,
1706532425000,1000.0,794.0,,,,,
1706532430000,1000.0,789.0,,,,,
1706532435000,1000.0,794.0,,,,,
1706532440000,1000.0,776.0,,,,,
1706532445000,1000.0,769.0,,,,,
1706532450000,1000.0,781.0,,,,,
1706532455000,1000.0,771.0,,,,,
1706532460000,1000.0,777.0,,,,,
1706532465000,1000.0,,,,,,
1706532470000,,,,,,,
1706532515000,1000.0,1000.0,1000.0,,,,
1706532520000,720.0,506.0,519.0,,,,
1706532525000,860.0,605.0,632.0,,,,
1706532530000,907.0,497.0,486.0,,,,
1706532535000,930.0,518.0,513.0,,,,
1706532540000,944.0,528.0,512.0,,,,
1706532545000,954.0,568.0,538.0,,,,
1706532550000,960.0,581.0,549.0,,,,
1706532555000,965.0,616.0,583.0,,,,
1706532560000,969.0,621.0,594.0,,,,
1706532565000,972.0,636.0,606.0,,,,
1706532570000,975.0,634.0,603.0,,,,
1706532575000,977.0,645.0,609.0,,,,
1706532580000,1000.0,669.0,627.0,,,,
1706532585000,1000.0,662.0,618.0,,,,
1706532590000,1000.0,697.0,658.0,,,,
1706532595000,1000.0,710.0,669.0,,,,
1706532600000,1000.0,724.0,687.0,,,,
1706532605000,1000.0,723.0,690.0,,,,
1706532610000,1000.0,725.0,701.0,,,,
1706532615000,1000.0,719.0,694.0,,,,
1706532620000,1000.0,730.0,689.0,,,,
1706532625000,1000.0,720.0,687.0,,,,
1706532630000,1000.0,724.0,694.0,,,,
1706532635000,1000.0,729.0,703.0,,,,
1706532640000,1000.0,719.0,707.0,,,,
1706532645000,1000.0,726.0,718.0,,,,
1706532650000,1000.0,735.0,717.0,,,,
1706532655000,1000.0,731.0,714.0,,,,
1706532660000,1000.0,727.0,708.0,,,,
1706532665000,1000.0,727.0,713.0,,,,
1706532670000,1000.0,731.0,707.0,,,,
1706532675000,1000.0,731.0,707.0,,,,
1706532680000,1000.0,733.0,717.0,,,,
1706532685000,1000.0,737.0,715.0,,,,
1706532690000,1000.0,736.0,717.0,,,,
1706532695000,1000.0,729.0,712.0,,,,
1706532700000,1000.0,736.0,716.0,,,,
1706532705000,1000.0,727.0,702.0,,,,
1706532710000,1000.0,712.0,699.0,,,,
1706532715000,1000.0,723.0,712.0,,,,
1706532720000,1000.0,727.0,718.0,,,,
1706532725000,1000.0,721.0,711.0,,,,
1706532730000,,,,,,,
1706532780000,1000.0,1000.0,497.0,1000.0,,,
1706532785000,887.0,604.0,569.0,684.0,,,
1706532790000,821.0,620.0,445.0,721.0,,,
1706532795000,881.0,501.0,449.0,578.0,,,
1706532800000,901.0,513.0,451.0,553.0,,,
1706532805000,921.0,512.0,462.0,546.0,,,
1706532810000,934.0,510.0,482.0,528.0,,,
1706532815000,944.0,520.0,499.0,545.0,,,
1706532820000,951.0,525.0,525.0,547.0,,,
1706532825000,956.0,546.0,549.0,558.0,,,
1706532830000,961.0,567.0,557.0,577.0,,,
1706532835000,964.0,571.0,576.0,578.0,,,
1706532840000,967.0,586.0,584.0,584.0,,,
1706532845000,977.0,581.0,588.0,579.0,,,
1706532850000,997.0,581.0,633.0,576.0,,,
1706532855000,997.0,606.0,652.0,606.0,,,
1706532860000,1000.0,611.0,676.0,611.0,,,
1706532865000,1000.0,629.0,703.0,626.0,,,
1706532870000,1000.0,649.0,709.0,643.0,,,
1706532875000,1000.0,652.0,724.0,643.0,,,
1706532880000,1000.0,669.0,724.0,648.0,,,
1706532885000,1000.0,673.0,722.0,653.0,,,
1706532890000,1000.0,669.0,736.0,661.0,,,
1706532895000,1000.0,683.0,722.0,667.0,,,
1706532900000,1000.0,671.0,741.0,669.0,,,
1706532905000,1000.0,690.0,747.0,671.0,,,
1706532910000,1000.0,699.0,745.0,671.0,,,
1706532915000,1000.0,709.0,748.0,680.0,,,
1706532920000,1000.0,714.0,745.0,690.0,,,
1706532925000,1000.0,710.0,742.0,687.0,,,
1706532930000,1000.0,714.0,743.0,693.0,,,
1706532935000,1000.0,714.0,739.0,688.0,,,
1706532940000,1000.0,706.0,755.0,695.0,,,
1706532945000,1000.0,710.0,763.0,698.0,,,
1706532950000,1000.0,714.0,757.0,685.0,,,
1706532955000,1000.0,708.0,769.0,689.0,,,
1706532960000,1000.0,718.0,764.0,691.0,,,
1706532965000,1000.0,715.0,765.0,696.0,,,
1706532970000,1000.0,714.0,769.0,700.0,,,
1706532975000,1000.0,715.0,770.0,687.0,,,
1706532980000,1000.0,716.0,780.0,687.0,,,
1706532985000,1000.0,723.0,781.0,694.0,,,
1706532990000,1000.0,715.0,778.0,692.0,,,
1706532995000,,,,,,,
1706533040000,,1000.0,1000.0,,1000.0,,
1706533045000,736.0,530.0,621.0,649.0,537.0,,
1706533050000,845.0,478.0,457.0,423.0,449.0,,
