,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737510125000,0.0
1737510130000,0.0
1737510135000,0.0
1737510140000,39.1
1737510145000,513.7166666666
1737510150000,513.7166666666
1737510155000,5005.68333333
1737510160000,13285.8
1737510165000,13285.8
1737510170000,20972.03333333
1737510175000,20972.03333333
1737510180000,25481.266666659998
1737510185000,38052.45
1737510190000,38052.45
1737510195000,38052.45
1737510200000,47610.81666666
1737510205000,47136.2
1737510210000,47136.2
1737510215000,48517.18333333
1737510220000,40237.06666666
1737510225000,45627.2
1737510230000,37940.966666659995
1737510235000,44242.85
1737510240000,39733.61666666
1737510245000,27862.28333333
1737510250000,27862.28333333
1737510255000,33951.8
1737510260000,31437.5
1737510265000,32124.766666659998
1737510270000,37558.28333333
1737510275000,31685.333333330003
1737510280000,37292.466666659995
1737510285000,31902.333333330003
1737510290000,37879.65
1737510295000,31577.766666659998
1737510300000,37238.78333333
1737510305000,36538.93333333
1737510310000,37684.7
1737510315000,37903.08333333
1737510320000,37340.15
1737510325000,36652.88333333
1737510330000,36996.18333333
1737510335000,36996.18333333
1737510340000,37488.25
1737510345000,37488.25
1737510350000,37360.85
1737510355000,37360.85
1737510360000,36091.25
1737510365000,
