,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737505175000,0.0
1737505180000,0.0
1737505185000,0.0
1737505190000,191.55
1737505195000,498.0
1737505200000,630.8833333333
1737505205000,9495.51666666
1737505210000,9495.51666666
1737505215000,14366.283333329999
1737505220000,14366.283333329999
1737505225000,14366.283333329999
1737505230000,14366.283333329999
1737505235000,
1737505250000,0.0
1737505255000,6103.5
1737505260000,9158.41666666
1737505265000,
1737505280000,0.0
1737505285000,0.0
1737505290000,6723.4
1737505295000,13710.9
1737505300000,
1737505330000,0.0
1737505335000,0.0
1737505340000,6538.55
1737505345000,12305.55
1737505350000,14152.85
1737505355000,14152.85
1737505360000,
1737505410000,0.0
1737505415000,
