,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737806410000,0.0
1737806415000,1244.3166666666
1737806420000,2349.9666666666
1737806425000,7621.633333329999
1737806430000,11140.71666666
1737806435000,16808.35
1737806440000,17684.38333333
1737806445000,23889.53333333
1737806450000,23889.53333333
1737806455000,29711.6
1737806460000,29711.6
1737806465000,29711.6
1737806470000,36912.983333330005
1737806475000,35668.66666666
1737806480000,34563.01666666
1737806485000,36650.61666666
1737806490000,33131.53333333
1737806495000,27463.9
1737806500000,33764.95
1737806505000,27559.8
1737806510000,27559.8
1737806515000,22690.91666666
1737806520000,29603.21666666
1737806525000,34940.3
1737806530000,34936.7
1737806535000,36725.76666666
1737806540000,41412.56666666
1737806545000,34053.3
1737806550000,40462.716666659995
1737806555000,40536.233333330005
1737806560000,33724.58333333
1737806565000,39231.88333333
1737806570000,39231.88333333
1737806575000,38910.18333333
1737806580000,31997.883333330003
1737806585000,30116.65
1737806590000,30414.25
1737806595000,35875.966666659995
1737806600000,34219.466666659995
1737806605000,40080.9
1737806610000,33671.483333330005
1737806615000,35240.36666666
1737806620000,38486.5
1737806625000,32979.2
1737806630000,37920.68333333
1737806635000,38701.66666666
1737806640000,38701.66666666
1737806645000,36111.18333333
1737806650000,
