Parallelism,Throughput_min,Throughput_max,Throughput_mean
1,17290.91666666,17290.91666666,17290.91666666
3,21562.25833333,21562.25833333,21562.25833333
8,112380.07739128188,135328.62388886468,128145.252784542
15,126989.69999996,126989.69999996,126989.69999996
16,182976.85154057055,214546.45202014572,205448.4712795515
24,207850.53742931332,249604.19141405908,233431.7601815064
32,231119.7347406592,270390.9688171042,259931.06890862295
