cpu,mem,throughput,occurrences
2.0,2.0,11932.036199922592,5
4.0,4.0,12098.089022107,5
2.0,8.0,11261.148779996303,5
4.0,2.0,11849.43704955398,5
4.0,8.0,12181.135180411022,5
2.0,4.0,11786.742700907042,5
2.0,1.0,9506.293849913276,5
8.0,2.0,11895.062431734646,5
2.0,16.0,11645.476154162347,5
1.0,1.0,9316.378580875044,5
8.0,16.0,11274.497377171308,5
1.0,16.0,9411.680853409063,5
4.0,1.0,11993.101967826828,5
8.0,8.0,11178.831932159828,5
4.0,16.0,11728.937467874095,5
1.0,2.0,9566.40255519222,5
1.0,4.0,9690.432812260437,5
8.0,4.0,12076.587990361,5
1.0,8.0,9879.951719427747,5
8.0,1.0,11247.548391202115,5
