,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,Map,Map,Map,Map,Map,Map,Map,Map
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1722236140000,21975.75,21898.78333333,21904.71666666,,,,,
1722236145000,22023.6,21964.61666666,21962.2,,,,,
1722236150000,22027.16666666,22016.71666666,22012.93333333,,,,,
1722236155000,21987.03333333,22013.36666666,22025.03333333,,,,,
1722236160000,21972.03333333,21982.36666666,21991.75,,,,,
1722236165000,21940.566666659997,21988.8,21969.733333329998,,,,,
1722236170000,21972.16666666,21928.11666666,21940.93333333,,,,,
1722236175000,22004.483333329998,21983.983333329998,21977.66666666,,,,,
1722236180000,22015.066666659997,22013.5,22024.983333329998,,,,,
1722236185000,22016.766666659998,22022.16666666,22013.15,,,,,
1722236190000,22046.3,21996.566666659997,21994.7,,,,,
1722236195000,22003.46666666,22036.58333333,22031.53333333,,,,,
1722236200000,21933.05,21976.516666659998,22057.93333333,,,,,
1722236205000,21933.61666666,21899.516666659998,21968.1,,,,,
1722236210000,21938.316666659997,21898.36666666,21927.58333333,,,,,
1722236215000,21978.816666659997,21952.28333333,21940.233333329998,,,,,
1722236220000,22003.2,21980.1,21967.233333329998,,,,,
1722236225000,22013.35,22012.3,22000.78333333,,,,,
1722236230000,22034.36666666,22047.2,22026.55,,,,,
1722236235000,22045.1,22054.21666666,22022.53333333,,,,,
1722236240000,22034.53333333,22045.316666659997,22046.03333333,,,,,
1722236245000,,,22073.46666666,,,,,
1722236250000,,,,,,,,
1722236265000,,,0.0,,,,,
1722236270000,0.0,0.0,0.0,0.0,,,,
1722236275000,1133.45,2243.5166666666,2209.0333333332997,0.0,,,,
1722236280000,2798.7666666666,3985.05,3992.78333333,1952.4333333332997,,,,
1722236285000,4551.41666667,5709.56666667,5670.38333333,3713.6,,,,
1722236290000,6280.983333329999,7508.41666666,7425.9,5398.4,,,,
1722236295000,8057.78333333,9362.93333333,9237.26666666,7181.56666666,,,,
1722236300000,9869.93333333,11161.883333329999,11054.51666666,9029.73333333,,,,
1722236305000,11686.16666666,12940.6,12881.616666659998,10850.36666666,,,,
1722236310000,13518.266666659998,14749.633333329999,14705.266666659998,12612.883333329999,,,,
1722236315000,15356.68333333,16556.33333333,16515.63333333,14424.16666666,,,,
1722236320000,17096.55,18365.483333329998,18289.43333333,16236.73333333,,,,
1722236325000,18927.816666659997,20155.65,20123.13333333,18038.0,,,,
1722236330000,20768.0,21905.53333333,21880.816666659997,19843.45,,,,
1722236335000,21366.016666659998,21391.03333333,21433.43333333,21606.88333333,,,,
1722236340000,21388.816666659997,21414.71666666,21408.66666666,21399.316666659997,,,,
1722236345000,21427.61666666,21419.7,21438.4,21414.6,,,,
1722236350000,21429.766666659998,21373.766666659998,21452.15,21434.483333329998,,,,
1722236355000,21457.95,21274.566666659997,21411.6,21407.96666666,,,,
1722236360000,21310.08333333,21225.83333333,21346.46666666,21321.016666659998,,,,
1722236365000,21266.16666666,21154.28333333,21180.85,21261.8,,,,
1722236370000,21173.41666666,21101.63333333,21111.83333333,21184.566666659997,,,,
1722236375000,21107.95,21034.16666666,21087.6,21130.03333333,,,,
1722236380000,21028.13333333,20977.53333333,21051.28333333,21078.266666659998,,,,
1722236385000,20984.75,20926.38333333,20919.03333333,21036.65,,,,
1722236390000,20916.61666666,20912.566666659997,20939.7,20925.71666666,,,,
1722236395000,20951.55,20927.6,20929.4,20923.11666666,,,,
1722236400000,20927.266666659998,20920.566666659997,20917.21666666,20927.35,,,,
1722236405000,20920.25,20945.9,20937.75,20919.91666666,,,,
1722236410000,20935.9,20943.983333329998,20929.516666659998,20936.03333333,,,,
1722236415000,20942.766666659998,20932.16666666,20933.96666666,20936.0,,,,
1722236420000,20935.55,20944.233333329998,20933.53333333,20926.5,,,,
1722236425000,20933.83333333,20985.46666666,20964.33333333,20949.83333333,,,,
1722236430000,20977.45,20978.86666666,21004.21666666,20966.78333333,,,,
1722236435000,20988.516666659998,20983.6,20985.6,20981.75,,,,
1722236440000,20985.483333329998,20966.96666666,20993.38333333,20985.95,,,,
1722236445000,20977.13333333,20969.16666666,20971.25,20958.85,,,,
1722236450000,20959.016666659998,20966.88333333,20960.2,20969.95,,,,
1722236455000,20944.38333333,20956.266666659998,20977.95,20964.63333333,,,,
1722236460000,20951.733333329998,20962.95,20968.6,20959.33333333,,,,
1722236465000,20963.3,20950.91666666,20949.766666659998,20961.08333333,,,,
1722236470000,20980.11666666,20949.91666666,20955.91666666,20944.1,,,,
1722236475000,20854.66666666,20964.266666659998,20959.36666666,20944.38333333,,,,
1722236480000,20973.95,20953.983333329998,20971.316666659997,20968.61666666,,,,
1722236485000,20950.11666666,20924.61666666,20942.266666659998,20947.63333333,,,,
1722236490000,,,,,,,,
1722236510000,0.0,0.0,0.0,,,,,
1722236515000,0.0,1124.2333333333,1003.1333333333,0.0,0.0,,,
1722236520000,1542.1,2803.3333333333,2688.8,2069.25,0.0,,,
1722236525000,3241.8833333333,4513.53333333,4421.71666667,3858.2,2472.8833333333,,,
1722236530000,4926.63333333,6233.1,6093.85,5524.96666667,4168.85,,,
1722236535000,6685.33333333,8007.183333329999,7854.56666666,7298.0,5851.25,,,
1722236540000,8403.36666666,9679.06666666,9583.36666666,9016.06666666,7596.85,,,
1722236545000,10094.01666666,11398.533333329999,11283.73333333,10726.96666666,9364.83333333,,,
1722236550000,11891.33333333,13139.516666659998,13019.25,12468.033333329999,11028.5,,,
1722236555000,13604.9,14876.5,14786.9,14197.25,12768.466666659999,,,
1722236560000,15247.2,16536.78333333,16437.05,15890.366666659998,14496.31666666,,,
1722236565000,16970.18333333,18276.66666666,18181.21666666,17595.28333333,16203.93333333,,,
1722236570000,18697.7,20032.61666666,19887.2,19300.08333333,17900.95,,,
1722236575000,20404.71666666,20542.266666659998,20579.75,21038.43333333,19666.8,,,
1722236580000,20504.65,20485.21666666,20487.266666659998,20587.2,21351.25,,,
1722236585000,20421.766666659998,20417.83333333,20399.83333333,20421.983333329998,20500.13333333,,,
1722236590000,20376.46666666,20359.33333333,20373.016666659998,20363.16666666,20407.85,,,
1722236595000,20393.5,20335.43333333,20350.6,20380.4,20380.816666659997,,,
1722236600000,20454.71666666,20406.2,20344.61666666,20427.05,20408.566666659997,,,
1722236605000,20474.3,20419.93333333,20402.483333329998,20440.3,20387.65,,,
1722236610000,20420.71666666,20443.233333329998,20465.45,20463.483333329998,20448.91666666,,,
1722236615000,20425.1,20433.63333333,20458.21666666,20471.46666666,20489.21666666,,,
1722236620000,20487.43333333,20484.233333329998,20492.18333333,20461.483333329998,20477.03333333,,,
1722236625000,20475.71666666,20470.5,20471.6,20471.233333329998,20501.9,,,
1722236630000,20465.9,20462.766666659998,20484.05,20469.2,20489.86666666,,,
1722236635000,20512.41666666,20573.28333333,20561.53333333,20502.18333333,20464.66666666,,,
1722236640000,20589.83333333,20657.11666666,20641.95,20604.2,20533.33333333,,,
1722236645000,20708.83333333,20769.53333333,20744.53333333,20719.65,20643.85,,,
1722236650000,20788.7,20838.25,20830.7,20815.68333333,20751.016666659998,,,
1722236655000,20735.1,20756.75,20821.65,20742.233333329998,20823.7,,,
1722236660000,20681.6,20740.38333333,20773.35,20728.2,20741.9,,,
1722236665000,20718.816666659997,20783.816666659997,20760.483333329998,20737.516666659998,20725.86666666,,,
1722236670000,20726.91666666,20749.08333333,20735.75,20725.63333333,20747.7,,,
1722236675000,20715.75,20758.13333333,20738.233333329998,20699.03333333,20717.233333329998,,,
1722236680000,20747.6,20762.9,20739.816666659997,20767.33333333,20734.516666659998,,,
1722236685000,20771.53333333,20775.95,20785.1,20779.66666666,20711.766666659998,,,
1722236690000,20785.4,20778.766666659998,20815.65,20801.066666659997,20765.1,,,
1722236695000,20757.25,20751.75,20763.7,20764.566666659997,20765.88333333,,,
1722236700000,20750.816666659997,20747.733333329998,20774.25,20756.66666666,20755.8,,,
1722236705000,20760.95,20747.58333333,20768.21666666,20765.18333333,20749.43333333,,,
1722236710000,20795.28333333,20779.95,20822.266666659998,20801.21666666,20748.86666666,,,
1722236715000,20826.33333333,20855.7,20844.733333329998,20837.63333333,20783.816666659997,,,
1722236720000,20847.78333333,20847.55,20865.233333329998,20841.66666666,20854.766666659998,,,
1722236725000,20820.566666659997,20777.266666659998,20877.11666666,20842.58333333,20885.46666666,,,
1722236730000,20796.233333329998,20807.55,20805.266666659998,20811.61666666,20817.6,,,
1722236735000,20897.38333333,20884.066666659997,20783.55,20874.233333329998,20818.55,,,
1722236740000,20880.25,20890.96666666,20847.88333333,20876.58333333,20887.5,,,
1722236745000,,,,,,,,
1722236765000,0.0,,,0.0,0.0,0.0,,
1722236770000,748.4833333333,0.0,0.0,666.0166666666,0.0,0.0,,
1722236775000,2470.2166666666,1702.2166666666,0.0,2359.3166666666,1956.3666666666,1229.7666666666,,
1722236780000,4187.8,3456.03333333,2120.55,4043.93333333,3689.76666667,2954.9833333333,,
1722236785000,5827.91666667,5213.43333333,3837.7,5679.16666667,5402.6,4649.6,,
1722236790000,7539.08333333,6878.53333333,5545.83333333,7362.18333333,7057.13333333,6310.13333333,,
1722236795000,9226.01666666,8527.08333333,7180.13333333,9051.2,8745.13333333,8030.41666666,,
1722236800000,10903.66666666,10218.03333333,8847.26666666,10709.61666666,10429.33333333,9666.01666666,,
1722236805000,12574.4,11916.83333333,10538.36666666,12418.46666666,12130.21666666,11352.38333333,,
1722236810000,14265.75,13644.55,12244.91666666,14110.98333333,13802.25,13070.25,,
1722236815000,15981.7,15281.98333333,13919.63333333,15806.61666666,15492.8,14751.63333333,,
