Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,0.0,0.0,-1.0,-1.0,1
5,0.0,,1000.0,,0.0,0.0,-1.0,-1.0,1
10,1336.8666666666,,881.0,,484.0,567.0,4512906.0,1231.0,1
15,3615.65,,941.0,,408.0,533.0,16216399.0,1294.0,1
20,6778.91666666,,961.0,,558.0,528.0,14733151.0,1525.0,1
25,10908.1,,971.0,,781.0,763.0,23425432.0,1592.0,1
30,18280.85,,977.0,,793.0,792.0,30671076.0,1347.0,1
35,23358.583333330003,,981.0,,825.0,821.0,30671076.0,1347.0,1
40,25738.28333333,,983.0,,847.0,839.0,16455139.0,1612.0,1
45,30106.316666659997,,986.0,,852.0,857.0,22977233.0,1345.0,1
50,32203.583333330003,,987.0,,860.0,870.0,30852635.0,6390.0,1
55,33884.61666666,,989.0,,943.0,957.0,30856412.0,1449.0,1
60,40006.86666666,,990.0,,924.0,953.0,30856412.0,1449.0,1
65,40006.86666666,,991.0,,931.0,957.0,30856412.0,1449.0,1
70,38670.0,,1000.0,,974.0,993.0,32128520.0,1647.0,1
75,40371.16666666,,1000.0,,1000.0,1000.0,35209069.0,1704.0,1
80,39047.9,,1000.0,,1000.0,1000.0,35209069.0,1704.0,1
85,34918.716666659995,,1000.0,,1000.0,1000.0,31873069.0,11795.0,1
90,29544.016666659998,,1000.0,,1000.0,1000.0,35445562.0,1451.0,1
95,27687.516666659998,,1000.0,,1000.0,1000.0,35445562.0,1451.0,1
100,25307.816666659997,,1000.0,,1000.0,1000.0,35445562.0,1451.0,1
105,20939.78333333,,1000.0,,1000.0,1000.0,35445562.0,1451.0,1
110,18880.733333329998,,1000.0,,1000.0,1000.0,6146086.0,498.0,1
115,20217.15,,1000.0,,1000.0,1000.0,7983811.0,755.0,1
120,20236.63333333,,1000.0,,1000.0,1000.0,16963660.0,2193.0,1
125,25146.86666666,,1000.0,,1000.0,1000.0,28932361.0,1617.0,1
130,27760.066666659997,,1000.0,,1000.0,1000.0,27054677.0,3092.0,1
135,28590.4,,1000.0,,1000.0,1000.0,34357517.0,1423.0,1
140,32268.316666659997,,1000.0,,1000.0,1000.0,42762962.0,2489.0,1
145,37900.966666659995,,1000.0,,1000.0,1000.0,42800082.0,1747.0,1
150,35904.8,,1000.0,,1000.0,1000.0,39039758.0,1340.0,1
155,36310.4,,1000.0,,1000.0,1000.0,39039758.0,1340.0,1
160,38734.9,,1000.0,,1000.0,1000.0,39039758.0,1340.0,1
165,38734.9,,1000.0,,1000.0,1000.0,48909731.0,11889.0,1
170,39228.733333330005,,1000.0,,1000.0,1000.0,48909731.0,11889.0,1
175,36211.28333333,,1000.0,,1000.0,1000.0,48909731.0,11889.0,1
180,30069.55,,1000.0,,1000.0,1000.0,33419720.0,1347.0,1
185,28073.1,,1000.0,,1000.0,1000.0,11691849.0,872.0,1
190,28488.98333333,,1000.0,,1000.0,1000.0,16396267.0,1218.0,1
195,29280.66666666,,1000.0,,1000.0,1000.0,23830764.0,1337.0,1
200,29723.766666659998,,1000.0,,1000.0,1000.0,30654419.0,1191.0,1
205,27536.683333330002,,1000.0,,1000.0,1000.0,27798607.0,1821.0,1
210,31122.066666659997,,1000.0,,1000.0,1000.0,27798607.0,1821.0,1
215,33033.7,,1000.0,,1000.0,1000.0,34947694.0,1149.0,1
220,35639.216666659995,,1000.0,,1000.0,1000.0,34947694.0,1149.0,1
225,36143.0,,1000.0,,1000.0,1000.0,35917487.0,1579.0,1
230,39270.41666666,,1000.0,,1000.0,1000.0,35917487.0,1579.0,1
235,41109.03333333,,1000.0,,1000.0,1000.0,35917487.0,1579.0,1
240,41109.03333333,,1000.0,,1000.0,1000.0,38061896.0,9806.0,1
245,39100.08333333,,1000.0,,1000.0,1000.0,38061896.0,9806.0,1
250,36071.0,,1000.0,,1000.0,1000.0,38061896.0,9806.0,1
255,30720.3,,1000.0,,1000.0,1000.0,,,1
260,,,,,,,,,0
280,0.0,,1000.0,,0.0,0.0,,,1
285,0.0,0.0,1000.0,1000.0,0.0,0.0,5544070.0,2001.0,2
290,4311.21666667,1686.2166666666,641.0,998.0,980.0,1000.0,28303863.0,1328.0,2
295,7910.81666666,6121.733333329999,728.0,972.0,900.0,947.0,28303863.0,1328.0,2
300,10261.05,10164.76666666,819.0,930.0,884.0,911.0,11139078.0,1362.0,2
305,13987.266666659998,10648.46666666,864.0,946.0,1000.0,1000.0,23761230.0,1546.0,2
310,15613.866666659998,14505.0,891.0,903.0,984.0,1000.0,32675121.0,1036.0,2
315,19590.66666666,18210.16666666,910.0,881.0,950.0,967.0,26507851.0,1054.0,2
320,24401.766666659998,21837.65,923.0,872.0,919.0,946.0,44128079.0,1193.0,2
325,27163.316666659997,26513.21666666,932.0,858.0,926.0,953.0,53202224.0,1263.0,2
330,30264.35,29055.61666666,940.0,858.0,962.0,988.0,53202224.0,1263.0,2
335,30264.35,30127.65,946.0,866.0,966.0,990.0,47952624.0,9969.0,2
340,31925.266666659998,30127.65,935.0,878.0,1000.0,1000.0,34396697.0,763.0,2
345,33051.05,32898.466666659995,939.0,888.0,1000.0,1000.0,34396697.0,763.0,2
350,28739.833333330003,31212.25,969.0,888.0,1000.0,1000.0,30559144.0,729.0,2
355,28144.55,28173.21666666,970.0,892.0,1000.0,1000.0,30559144.0,729.0,2
360,25794.316666659997,25749.21666666,970.0,904.0,1000.0,1000.0,32904459.0,807.0,2
365,23222.683333330002,25265.516666659998,970.0,905.0,1000.0,1000.0,31917773.0,1097.0,2
370,23511.16666666,24452.48333333,970.0,911.0,1000.0,1000.0,31917773.0,1097.0,2
375,19534.36666666,20747.316666659997,970.0,930.0,1000.0,1000.0,34962425.0,7435.0,2
380,15225.766666659998,17638.0,970.0,944.0,1000.0,1000.0,52697766.0,7653.0,2
385,13309.616666659998,12962.43333333,970.0,964.0,1000.0,1000.0,21269293.0,942.0,2
390,14938.883333329999,13439.23333333,970.0,968.0,1000.0,1000.0,21269293.0,942.0,2
395,19196.68333333,16654.03333333,970.0,963.0,1000.0,1000.0,34054232.0,1528.0,2
400,22525.983333329998,21843.266666659998,985.0,944.0,1000.0,1000.0,46923803.0,1075.0,2
405,24838.65,22954.75,987.0,930.0,1000.0,1000.0,56617154.0,3637.0,2
410,27108.566666659997,24754.566666659997,985.0,925.0,1000.0,1000.0,47506639.0,979.0,2
415,24734.016666659998,26230.8,998.0,924.0,1000.0,1000.0,47506639.0,979.0,2
420,25111.5,24611.766666659998,998.0,925.0,1000.0,1000.0,49571306.0,1274.0,2
425,26806.933333330002,27033.85,990.0,925.0,1000.0,1000.0,49571306.0,1274.0,2
430,24891.85,24783.183333330002,990.0,937.0,1000.0,1000.0,39056516.0,810.0,2
435,26954.36666666,25031.133333330003,990.0,936.0,1000.0,1000.0,39056516.0,810.0,2
440,27426.7,27277.85,990.0,929.0,1000.0,1000.0,39056516.0,810.0,2
445,26581.3,27277.85,990.0,929.0,1000.0,1000.0,47039903.0,8862.0,2
450,22260.36666666,24684.21666666,990.0,929.0,1000.0,1000.0,47039903.0,8862.0,2
455,18172.6,20397.38333333,990.0,941.0,1000.0,1000.0,15293062.0,1508.0,2
460,15864.25,16790.53333333,990.0,928.0,1000.0,1000.0,20408581.0,1534.0,2
465,18050.25,16833.28333333,990.0,929.0,1000.0,1000.0,33995875.0,1195.0,2
470,20605.35,20389.53333333,992.0,919.0,1000.0,1000.0,40765098.0,1232.0,2
475,24102.883333330003,21590.5,992.0,907.0,1000.0,1000.0,57741935.0,2469.0,2
480,26432.133333330003,26167.85,992.0,892.0,1000.0,1000.0,57741935.0,2469.0,2
485,23912.78333333,24277.05,994.0,890.0,1000.0,1000.0,41589419.0,1060.0,2
490,26457.316666659997,25420.333333330003,987.0,894.0,1000.0,1000.0,41589419.0,1060.0,2
495,24394.8,26095.516666659998,987.0,895.0,1000.0,1000.0,52919766.0,1063.0,2
500,25217.816666659997,23330.633333330003,987.0,903.0,1000.0,1000.0,39980800.0,968.0,2
505,26418.98333333,26326.516666659998,987.0,891.0,1000.0,1000.0,39980800.0,968.0,2
510,26009.61666666,25900.95,987.0,899.0,1000.0,1000.0,41618636.0,10175.0,2
515,26439.3,26503.766666659998,987.0,899.0,1000.0,1000.0,41618636.0,10175.0,2
520,23757.433333330002,24921.383333330003,987.0,930.0,1000.0,1000.0,13683677.0,502.0,2
525,21231.566666659997,21890.25,987.0,943.0,1000.0,1000.0,14846938.0,626.0,2
530,,,,,,,,,0
