,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1
Timestamp,,
1736794295000,0.0,
1736794300000,0.0,
1736794305000,1521.1833333332997,
1736794310000,2726.6833333332997,
1736794315000,6145.266666670001,
1736794320000,11042.91666666,
1736794325000,11945.91666666,
1736794330000,17408.33333333,
1736794335000,17408.33333333,
1736794340000,18811.65,
1736794345000,24289.133333330003,
1736794350000,24289.133333330003,
1736794355000,24355.083333330003,
1736794360000,29098.933333330002,
1736794365000,30229.316666659997,
1736794370000,29023.816666659997,
1736794375000,26314.35,
1736794380000,27797.25,
1736794385000,26894.25,
1736794390000,21431.83333333,
1736794395000,22617.93333333,
1736794400000,23735.73333333,
1736794405000,21197.55,
1736794410000,21197.55,
1736794415000,27082.566666659997,
1736794420000,22338.71666666,
1736794425000,21772.35,
1736794430000,25768.383333330003,
1736794435000,25059.266666659998,
1736794440000,23881.6,
1736794445000,24119.16666666,
1736794450000,24750.5,
1736794455000,29100.86666666,
1736794460000,26579.75,
1736794465000,25559.566666659997,
1736794470000,31819.266666659998,
1736794475000,25868.3,
1736794480000,31899.15,
1736794485000,29813.95,
1736794490000,27736.316666659997,
1736794495000,31763.816666659997,
1736794500000,26560.933333330002,
1736794505000,30138.0,
1736794510000,31686.15,
1736794515000,26149.683333330002,
1736794520000,31836.61666666,
1736794525000,29917.5,
1736794530000,24902.766666659998,
1736794535000,27062.73333333,
1736794540000,28086.75,
1736794545000,28376.9,
1736794550000,,
1736794570000,0.0,
1736794575000,0.0,0.0
1736794580000,1368.2166666666,299.8666666666
1736794585000,3125.5166666665996,2574.3833333333
1736794590000,5638.1,5484.4
1736794595000,6652.46666667,5843.3
1736794600000,6962.883333329999,6620.2
1736794605000,11445.66666666,9242.6
1736794610000,15482.81666666,12864.533333329999
1736794615000,15482.81666666,15404.91666666
1736794620000,17189.68333333,15404.91666666
1736794625000,18356.11666666,18330.58333333
1736794630000,18356.11666666,18330.58333333
1736794635000,21137.5,19489.45
1736794640000,19769.28333333,20744.983333329998
1736794645000,19873.4,18470.46666666
1736794650000,18344.93333333,18397.95
1736794655000,17844.55,18039.05
1736794660000,19942.28333333,19577.316666659997
1736794665000,15459.5,17545.21666666
1736794670000,11924.08333333,14360.55
1736794675000,15903.25,12993.216666659999
1736794680000,18536.55,17695.5
1736794685000,18573.983333329998,18433.38333333
1736794690000,21235.5,19549.733333329998
1736794695000,18454.11666666,19930.733333329998
1736794700000,21270.05,18375.33333333
1736794705000,19408.63333333,21189.63333333
1736794710000,19437.25,18352.13333333
1736794715000,20934.45,21351.03333333
1736794720000,18526.3,19035.86666666
1736794725000,21581.05,19586.08333333
1736794730000,21079.316666659997,21063.63333333
1736794735000,17694.36666666,19890.58333333
1736794740000,14280.48333333,15800.31666666
1736794745000,18689.766666659998,15497.766666659998
1736794750000,20258.233333329998,18957.63333333
1736794755000,22874.03333333,20426.9
1736794760000,20058.1,22761.71666666
1736794765000,22412.71666666,19947.41666666
1736794770000,22161.36666666,22992.58333333
1736794775000,20788.63333333,19993.68333333
1736794780000,22722.85,22299.91666666
1736794785000,19668.1,21536.66666666
1736794790000,22875.36666666,20924.516666659998
1736794795000,22281.15,22748.71666666
1736794800000,23638.78333333,22380.88333333
1736794805000,18025.63333333,21048.28333333
1736794810000,13795.65,16472.066666659997
1736794815000,14222.55,14520.15
1736794820000,,
