,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1
Timestamp,,
1736794300000,1000.0,
1736794305000,860.0,
1736794310000,930.0,
1736794315000,954.0,
1736794320000,965.0,
1736794325000,972.0,
1736794330000,977.0,
1736794335000,980.0,
1736794340000,983.0,
1736794345000,985.0,
1736794350000,986.0,
1736794355000,988.0,
1736794360000,989.0,
1736794365000,1000.0,
1736794370000,1000.0,
1736794375000,1000.0,
1736794380000,1000.0,
1736794385000,1000.0,
1736794390000,1000.0,
1736794395000,1000.0,
1736794400000,1000.0,
1736794405000,1000.0,
1736794410000,1000.0,
1736794415000,1000.0,
1736794420000,1000.0,
1736794425000,1000.0,
1736794430000,1000.0,
1736794435000,1000.0,
1736794440000,1000.0,
1736794445000,1000.0,
1736794450000,1000.0,
1736794455000,1000.0,
1736794460000,1000.0,
1736794465000,1000.0,
1736794470000,1000.0,
1736794475000,1000.0,
1736794480000,1000.0,
1736794485000,1000.0,
1736794490000,1000.0,
1736794495000,1000.0,
1736794500000,1000.0,
1736794505000,1000.0,
1736794510000,1000.0,
1736794515000,1000.0,
1736794520000,1000.0,
1736794525000,1000.0,
1736794530000,1000.0,
1736794535000,1000.0,
1736794540000,1000.0,
1736794545000,1000.0,
1736794550000,,
1736794575000,1000.0,1000.0
1736794580000,737.0,209.0
1736794585000,869.0,283.0
1736794590000,913.0,341.0
1736794595000,935.0,506.0
1736794600000,948.0,539.0
1736794605000,957.0,565.0
1736794610000,963.0,597.0
1736794615000,968.0,631.0
1736794620000,971.0,672.0
1736794625000,974.0,696.0
1736794630000,977.0,724.0
1736794635000,979.0,730.0
1736794640000,1000.0,781.0
1736794645000,1000.0,834.0
1736794650000,1000.0,867.0
1736794655000,1000.0,867.0
1736794660000,1000.0,886.0
1736794665000,1000.0,908.0
1736794670000,994.0,925.0
1736794675000,994.0,929.0
1736794680000,994.0,905.0
1736794685000,994.0,899.0
1736794690000,992.0,899.0
1736794695000,992.0,914.0
1736794700000,992.0,929.0
1736794705000,992.0,915.0
1736794710000,992.0,928.0
1736794715000,992.0,902.0
1736794720000,992.0,911.0
1736794725000,992.0,906.0
1736794730000,998.0,891.0
1736794735000,998.0,898.0
1736794740000,998.0,920.0
1736794745000,998.0,922.0
1736794750000,1000.0,910.0
1736794755000,1000.0,906.0
1736794760000,1000.0,901.0
1736794765000,1000.0,915.0
1736794770000,1000.0,909.0
1736794775000,1000.0,935.0
1736794780000,1000.0,912.0
1736794785000,1000.0,919.0
1736794790000,1000.0,932.0
1736794795000,1000.0,920.0
1736794800000,1000.0,916.0
1736794805000,1000.0,917.0
1736794810000,1000.0,929.0
1736794815000,1000.0,930.0
1736794820000,,
