Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 7)","('flink_taskmanager_job_task_numRecordsInPerSecond', 8)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 8)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,-1.0,1
5,0.0,,,,,,,,,1000.0,,,,,,,,,0.0,0.0,-1.0,-1.0,1
10,0.0,,,,,,,,,412.0,,,,,,,,,0.0,0.0,22464.0,1465.0,1
15,496.15,,,,,,,,,578.0,,,,,,,,,140.0,61.0,1710157.0,780.0,1
20,1447.55,,,,,,,,,593.0,,,,,,,,,98.0,131.0,1710157.0,780.0,1
25,3146.4666666666,,,,,,,,,695.0,,,,,,,,,250.0,277.0,3954347.0,3193.0,1
30,5932.6,,,,,,,,,756.0,,,,,,,,,359.0,427.0,3954347.0,3193.0,1
35,6956.86666666,,,,,,,,,797.0,,,,,,,,,457.0,522.0,6832161.0,1342.0,1
40,9541.93333333,,,,,,,,,826.0,,,,,,,,,506.0,581.0,6832161.0,1342.0,1
45,10412.21666666,,,,,,,,,848.0,,,,,,,,,632.0,697.0,15316756.0,2305.0,1
50,11983.58333333,,,,,,,,,865.0,,,,,,,,,651.0,711.0,15316756.0,2305.0,1
55,11983.58333333,,,,,,,,,878.0,,,,,,,,,686.0,740.0,11535770.0,1685.0,1
60,14301.3,,,,,,,,,889.0,,,,,,,,,839.0,880.0,11535770.0,1685.0,1
65,14357.65,,,,,,,,,899.0,,,,,,,,,876.0,913.0,14216787.0,8234.0,1
70,16037.91666666,,,,,,,,,948.0,,,,,,,,,948.0,986.0,17267230.0,2415.0,1
75,17147.53333333,,,,,,,,,969.0,,,,,,,,,1000.0,1000.0,11617346.0,1988.0,1
80,16450.63333333,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,13606995.0,5881.0,1
85,16502.35,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,16571855.0,2159.0,1
90,14565.616666659998,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,11291878.0,1624.0,1
95,14276.383333329999,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,13273450.0,5742.0,1
100,13630.73333333,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,17074494.0,2217.0,1
105,13255.05,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,11667183.0,1576.0,1
110,12803.966666659999,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,13868284.0,5219.0,1
115,14445.633333329999,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,16656087.0,2101.0,1
120,13714.75,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,12087961.0,1826.0,1
125,13805.91666666,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,14145163.0,5292.0,1
130,13696.05,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,14145163.0,5292.0,1
135,13754.41666666,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,16927887.0,8051.0,1
140,14213.2,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,10842955.0,1588.0,1
145,13517.15,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,13372583.0,5993.0,1
150,14222.6,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,16250939.0,2376.0,1
155,14682.7,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,12201675.0,1664.0,1
160,13256.43333333,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,16757017.0,2060.0,1
165,14443.616666659998,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,16757017.0,2060.0,1
170,15039.383333329999,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,8881330.0,5386.0,1
175,13874.216666659999,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,14806488.0,1941.0,1
180,13540.68333333,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,17126765.0,5555.0,1
185,15214.23333333,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,8660205.0,1385.0,1
190,14947.05,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,13503829.0,1656.0,1
195,13783.283333329999,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,8468141.0,1319.0,1
200,14524.91666666,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,10555266.0,5291.0,1
205,15215.15,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,13155893.0,1493.0,1
210,14079.466666659999,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,8779408.0,1380.0,1
215,14215.58333333,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,10950629.0,5488.0,1
220,15359.766666659998,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,13743556.0,1502.0,1
225,14164.08333333,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,8569769.0,1182.0,1
230,13652.9,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,10768359.0,5747.0,1
235,14877.8,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,12782708.0,1587.0,1
240,13870.266666659998,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,8759967.0,1326.0,1
245,13458.68333333,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,10851542.0,5200.0,1
250,13915.883333329999,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,13929030.0,1613.0,1
255,14154.8,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,8776833.0,1347.0,1
260,13572.85,,,,,,,,,1000.0,,,,,,,,,1000.0,1000.0,27107952.0,2262.0,1
265,,,,,,,,,,,,,,,,,,,,,,,0
305,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,1
310,0.0,0.0,,,,,,,,1000.0,1000.0,,,,,,,,0.0,0.0,-1.0,-1.0,2
315,7.316666666666,0.0,,,,,,,,776.0,873.0,,,,,,,,109.0,109.0,-1.0,-1.0,2
320,119.7333333333,8.083333333333,,,,,,,,888.0,694.0,,,,,,,,444.0,462.0,-1.0,-1.0,2
325,678.4666666666,225.6166666666,,,,,,,,926.0,699.0,,,,,,,,423.0,471.0,5356894.0,9621.0,2
330,1429.7833333333,841.3333333333,,,,,,,,944.0,587.0,,,,,,,,390.0,443.0,7427154.0,3278.0,2
335,2125.15,1701.2833333332999,,,,,,,,956.0,518.0,,,,,,,,422.0,478.0,9897420.0,3292.0,2
340,2878.9833333333,2403.05,,,,,,,,963.0,528.0,,,,,,,,455.0,504.0,12875816.0,5344.0,2
345,4188.08333333,3226.4666666666,,,,,,,,968.0,527.0,,,,,,,,498.0,546.0,5266520.0,4746.0,2
350,4903.95,4201.28333333,,,,,,,,972.0,556.0,,,,,,,,550.0,597.0,9590287.0,4433.0,2
355,5844.05,4928.53333333,,,,,,,,976.0,577.0,,,,,,,,608.0,648.0,13793514.0,3694.0,2
360,7076.483333329999,6130.116666670001,,,,,,,,978.0,593.0,,,,,,,,670.0,709.0,6159547.0,3598.0,2
365,8213.98333333,7421.26666666,,,,,,,,980.0,600.0,,,,,,,,682.0,724.0,9808662.0,4137.0,2
370,9067.383333329999,8256.55,,,,,,,,982.0,610.0,,,,,,,,763.0,806.0,12982665.0,3940.0,2
375,9999.1,9125.55,,,,,,,,1000.0,597.0,,,,,,,,834.0,879.0,5697673.0,3087.0,2
380,10993.2,10289.56666666,,,,,,,,1000.0,616.0,,,,,,,,823.0,862.0,9598616.0,4261.0,2
385,11515.21666666,11257.68333333,,,,,,,,1000.0,604.0,,,,,,,,867.0,894.0,12853065.0,3801.0,2
390,11843.516666659998,11636.6,,,,,,,,1000.0,640.0,,,,,,,,920.0,941.0,5805632.0,3294.0,2
395,12142.48333333,11636.48333333,,,,,,,,1000.0,684.0,,,,,,,,961.0,977.0,9374943.0,3990.0,2
400,12788.08333333,11941.35,,,,,,,,1000.0,703.0,,,,,,,,982.0,1000.0,12729148.0,3277.0,2
405,12306.866666659998,12518.783333329999,,,,,,,,1000.0,727.0,,,,,,,,992.0,1000.0,5524821.0,3168.0,2
410,12470.133333329999,12376.08333333,,,,,,,,1000.0,731.0,,,,,,,,1000.0,1000.0,8652153.0,3582.0,2
415,12809.633333329999,12790.23333333,,,,,,,,1000.0,730.0,,,,,,,,988.0,1000.0,11531806.0,4244.0,2
420,12763.06666666,12946.05,,,,,,,,1000.0,721.0,,,,,,,,954.0,980.0,12982177.0,4456.0,2
425,12498.98333333,12531.133333329999,,,,,,,,1000.0,726.0,,,,,,,,975.0,996.0,9034947.0,3921.0,2
430,12657.55,12802.616666659998,,,,,,,,1000.0,729.0,,,,,,,,998.0,1000.0,12669692.0,4136.0,2
435,13035.65,12818.366666659998,,,,,,,,1000.0,727.0,,,,,,,,985.0,1000.0,15977648.0,4183.0,2
440,12859.9,13037.05,,,,,,,,1000.0,723.0,,,,,,,,980.0,1000.0,9237737.0,3734.0,2
445,12710.466666659999,12625.533333329999,,,,,,,,1000.0,742.0,,,,,,,,1000.0,1000.0,12564231.0,3937.0,2
450,13184.83333333,12662.68333333,,,,,,,,1000.0,745.0,,,,,,,,997.0,1000.0,13426564.0,3743.0,2
455,13105.716666659999,13357.9,,,,,,,,1000.0,737.0,,,,,,,,985.0,1000.0,9365910.0,3616.0,2
