,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1706107135000,0.0,,,,,,,
1706107140000,0.0,,,,,,,
1706107145000,2.666666666666,,,,,,,
1706107150000,621.9833333333,,,,,,,
1706107155000,1943.1,,,,,,,
1706107160000,3795.3,,,,,,,
1706107165000,5239.31666667,,,,,,,
1706107170000,7232.48333333,,,,,,,
1706107175000,8166.3,,,,,,,
1706107180000,8731.45,,,,,,,
1706107185000,10555.8,,,,,,,
1706107190000,10555.8,,,,,,,
1706107195000,12745.0,,,,,,,
1706107200000,13221.16666666,,,,,,,
1706107205000,14730.75,,,,,,,
1706107210000,15824.966666659999,,,,,,,
1706107215000,14936.95,,,,,,,
1706107220000,14429.7,,,,,,,
1706107225000,14810.18333333,,,,,,,
1706107230000,14536.85,,,,,,,
1706107235000,13851.116666659998,,,,,,,
1706107240000,15410.55,,,,,,,
1706107245000,14161.116666659998,,,,,,,
1706107250000,15624.3,,,,,,,
1706107255000,15104.98333333,,,,,,,
1706107260000,15878.08333333,,,,,,,
1706107265000,15051.95,,,,,,,
1706107270000,14756.56666666,,,,,,,
1706107275000,15975.283333329999,,,,,,,
1706107280000,16110.75,,,,,,,
1706107285000,14868.43333333,,,,,,,
1706107290000,14551.31666666,,,,,,,
1706107295000,15759.15,,,,,,,
1706107300000,15265.75,,,,,,,
1706107305000,16293.05,,,,,,,
1706107310000,15133.91666666,,,,,,,
1706107315000,14948.81666666,,,,,,,
1706107320000,15507.033333329999,,,,,,,
1706107325000,16323.533333329999,,,,,,,
1706107330000,15546.9,,,,,,,
1706107335000,15025.35,,,,,,,
1706107340000,15097.516666659998,,,,,,,
1706107345000,16296.4,,,,,,,
1706107350000,16384.58333333,,,,,,,
