Parallelism,Mean,StdErr,Predictions
0,0.0,0.0,
1,14167.654166663748,499.82273931261864,
2,25249.268297095787,842.773503039805,31286.0
3,38857.609925084456,1129.6226120119172,46252.0
4,45995.99014335701,1666.7640228082348,52840.0
5,54426.04351850285,1731.9555800894666,69106.0
6,61631.47840907309,2027.52885587578,71578.0
7,68767.22088120703,2192.1673922170517,83921.0
8,74921.54531832924,2532.1164502037254,87504.0
9,83691.1627272454,2152.5764109496886,96815.0
