,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737513435000,1000.0
1737513440000,1000.0
1737513445000,0.0
1737513450000,0.0
1737513455000,0.0
1737513460000,0.0
1737513465000,15.0
1737513470000,178.0
1737513475000,295.0
1737513480000,383.0
1737513485000,452.0
1737513490000,507.0
1737513495000,551.0
1737513500000,589.0
1737513505000,734.0
1737513510000,816.0
1737513515000,894.0
1737513520000,977.0
1737513525000,999.0
1737513530000,999.0
1737513535000,999.0
1737513540000,1000.0
1737513545000,1000.0
1737513550000,1000.0
1737513555000,1000.0
1737513560000,1000.0
1737513565000,1000.0
1737513570000,1000.0
1737513575000,1000.0
1737513580000,1000.0
1737513585000,1000.0
1737513590000,1000.0
1737513595000,1000.0
1737513600000,1000.0
1737513605000,1000.0
1737513610000,1000.0
1737513615000,1000.0
1737513620000,1000.0
1737513625000,1000.0
1737513630000,1000.0
1737513635000,1000.0
1737513640000,1000.0
1737513645000,1000.0
1737513650000,1000.0
1737513655000,1000.0
1737513660000,1000.0
1737513665000,1000.0
1737513670000,1000.0
1737513675000,
