,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1708025260000,1000.0,,,,,,,
1708025265000,229.0,,,,,,,
1708025270000,191.0,,,,,,,
1708025275000,199.0,,,,,,,
1708025280000,248.0,,,,,,,
1708025285000,193.0,,,,,,,
1708025290000,158.0,,,,,,,
1708025295000,133.0,,,,,,,
1708025300000,202.0,,,,,,,
1708025305000,280.0,,,,,,,
1708025310000,352.0,,,,,,,
1708025315000,411.0,,,,,,,
1708025320000,460.0,,,,,,,
1708025325000,525.0,,,,,,,
1708025330000,595.0,,,,,,,
1708025335000,661.0,,,,,,,
1708025340000,711.0,,,,,,,
1708025345000,797.0,,,,,,,
1708025350000,882.0,,,,,,,
1708025355000,966.0,,,,,,,
1708025360000,993.0,,,,,,,
1708025365000,1000.0,,,,,,,
1708025370000,1000.0,,,,,,,
1708025375000,1000.0,,,,,,,
1708025380000,1000.0,,,,,,,
1708025385000,1000.0,,,,,,,
1708025390000,1000.0,,,,,,,
1708025395000,1000.0,,,,,,,
1708025400000,1000.0,,,,,,,
1708025405000,1000.0,,,,,,,
1708025410000,1000.0,,,,,,,
1708025415000,1000.0,,,,,,,
1708025420000,1000.0,,,,,,,
1708025425000,1000.0,,,,,,,
1708025430000,1000.0,,,,,,,
1708025435000,1000.0,,,,,,,
1708025440000,1000.0,,,,,,,
1708025445000,1000.0,,,,,,,
1708025450000,1000.0,,,,,,,
1708025455000,1000.0,,,,,,,
1708025460000,1000.0,,,,,,,
1708025465000,1000.0,,,,,,,
1708025470000,1000.0,,,,,,,
1708025475000,1000.0,,,,,,,
1708025480000,1000.0,,,,,,,
1708025485000,1000.0,,,,,,,
1708025490000,1000.0,,,,,,,
