Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
5,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
10,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
15,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
20,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
25,0.0,,,,,,0.0,0.0,-1.0,-1.0,1
30,0.0,,,1000.0,,,0.0,0.0,-1.0,-1.0,1
35,0.0,,,1000.0,,,0.0,0.0,-1.0,-1.0,1
40,0.0,,,939.0,,,0.0,0.0,-1.0,-1.0,1
45,0.0,,,853.0,,,0.0,0.0,-1.0,-1.0,1
50,8.816666666666,,,834.0,,,3.0,0.0,48185.0,2738.0,1
55,101.4333333333,,,848.0,,,57.0,53.0,48185.0,2738.0,1
60,189.8666666666,,,848.0,,,133.0,132.0,284018.0,9394.0,1
65,385.2833333333,,,848.0,,,261.0,256.0,284018.0,9394.0,1
70,479.68333333329997,,,848.0,,,334.0,336.0,284018.0,9394.0,1
75,689.4166666665999,,,848.0,,,389.0,395.0,1079446.0,12343.0,1
80,829.8666666665999,,,848.0,,,468.0,472.0,1079446.0,12343.0,1
85,1219.3166666666,,,848.0,,,583.0,590.0,1204914.0,11344.0,1
90,1745.1166666666,,,848.0,,,643.0,655.0,2355960.0,4319.0,1
95,2395.5666666665998,,,848.0,,,708.0,721.0,3830291.0,4412.0,1
100,2894.6166666666,,,894.0,,,782.0,785.0,3830291.0,4412.0,1
105,3329.5333333333,,,971.0,,,848.0,857.0,5182413.0,5633.0,1
110,3999.03333333,,,1000.0,,,902.0,917.0,6492444.0,4480.0,1
115,3916.25,,,1000.0,,,931.0,947.0,6492444.0,4480.0,1
120,3827.81666667,,,1000.0,,,938.0,951.0,6492444.0,4480.0,1
125,4269.58333333,,,1000.0,,,1000.0,1000.0,9683200.0,14047.0,1
130,4913.61666667,,,1000.0,,,1000.0,1000.0,9683200.0,14047.0,1
135,5038.71666667,,,1000.0,,,1000.0,1000.0,11754137.0,6076.0,1
140,4898.26666667,,,1000.0,,,1000.0,1000.0,11754137.0,6076.0,1
145,4508.81666667,,,1000.0,,,1000.0,1000.0,11754137.0,6076.0,1
150,4320.66666667,,,1000.0,,,1000.0,1000.0,9960381.0,18056.0,1
155,4429.08333333,,,1000.0,,,1000.0,1000.0,11065198.0,3318.0,1
160,4568.16666667,,,1000.0,,,1000.0,1000.0,12367932.0,4278.0,1
165,4363.1,,,1000.0,,,1000.0,1000.0,13856795.0,6020.0,1
170,3893.4166666700003,,,1000.0,,,1000.0,1000.0,13856795.0,6020.0,1
175,4654.58333333,,,1000.0,,,1000.0,1000.0,6752369.0,3808.0,1
180,5548.76666667,,,1000.0,,,1000.0,1000.0,8295949.0,3379.0,1
185,5504.15,,,1000.0,,,1000.0,1000.0,9897036.0,4512.0,1
190,5341.83333333,,,1000.0,,,1000.0,1000.0,9515475.0,5867.0,1
195,5791.03333333,,,1000.0,,,1000.0,1000.0,8763889.0,4433.0,1
200,6842.1666666599995,,,1000.0,,,1000.0,1000.0,10554582.0,4065.0,1
205,7060.65,,,1000.0,,,1000.0,994.0,12436311.0,5020.0,1
210,6723.0,,,1000.0,,,843.0,794.0,12436311.0,5020.0,1
215,5964.13333333,,,1000.0,,,869.0,811.0,12436311.0,5020.0,1
220,5326.0,,,1000.0,,,888.0,832.0,12436311.0,5020.0,1
225,5096.15,,,1000.0,,,890.0,849.0,12436311.0,5020.0,1
230,4915.28333333,,,1000.0,,,1000.0,1000.0,12436311.0,5020.0,1
235,4144.28333333,,,1000.0,,,1000.0,1000.0,12436311.0,5020.0,1
240,3250.1,,,1000.0,,,1000.0,1000.0,12436311.0,5020.0,1
245,,,,,,,,,,,0
275,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
280,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
285,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
290,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
295,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
300,0.0,0.0,,,,,0.0,0.0,-1.0,-1.0,2
305,0.0,0.0,,,1000.0,,0.0,0.0,-1.0,-1.0,2
310,0.0,0.0,,,930.0,,0.0,0.0,-1.0,-1.0,2
315,0.0,0.0,,1000.0,813.0,,0.0,0.0,-1.0,-1.0,2
320,0.0,0.0,,1000.0,722.0,,0.0,0.0,-1.0,-1.0,2
325,0.0,0.0,,932.0,646.0,,0.0,0.0,-1.0,-1.0,2
330,0.0,3.733333333333,,839.0,590.0,,0.0,0.0,44943.0,2014.0,2
335,7.216666666666,29.95,,848.0,548.0,,22.0,22.0,44943.0,2014.0,2
340,68.8833333333,153.5666666666,,848.0,475.0,,22.0,22.0,44943.0,2014.0,2
345,184.9333333333,291.55,,848.0,400.0,,61.0,52.0,138597.0,10230.0,2
350,318.4166666666,453.8,,848.0,333.0,,92.0,79.0,1611250.0,6125.0,2
355,459.6166666666,469.7666666666,,848.0,288.0,,138.0,125.0,1611250.0,6125.0,2
360,459.6166666666,537.9833333332999,,848.0,220.0,,222.0,208.0,1611250.0,6125.0,2
365,611.6333333333,799.4666666666,,848.0,167.0,,404.0,378.0,3274743.0,4221.0,2
370,881.7,1101.1333333333,,848.0,146.0,,460.0,432.0,2853974.0,4698.0,2
375,1135.9833333333,1356.6333333333,,848.0,166.0,,521.0,485.0,4062450.0,4341.0,2
380,1479.0166666666,1577.85,,848.0,193.0,,572.0,533.0,5414752.0,5802.0,2
385,1596.1166666666,1640.2666666666,,900.0,243.0,,636.0,610.0,5414752.0,5802.0,2
390,1769.0666666666,2052.8,,983.0,288.0,,735.0,692.0,7102332.0,7358.0,2
395,2130.85,2443.9,,1000.0,316.0,,798.0,747.0,6074627.0,4271.0,2
400,2502.4166666666,2789.3833333333,,1000.0,348.0,,836.0,773.0,7865698.0,3981.0,2
405,2822.7333333333004,3014.45,,1000.0,367.0,,863.0,789.0,9921855.0,5598.0,2
410,3170.3666666666,3401.0833333299997,,1000.0,415.0,,889.0,807.0,10429435.0,3281.0,2
415,3415.43333333,3385.11666667,,1000.0,460.0,,898.0,807.0,10429435.0,3281.0,2
420,3415.43333333,3316.9,,1000.0,528.0,,898.0,807.0,10429435.0,3281.0,2
