,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737503880000,1000.0
1737503885000,1000.0
1737503890000,0.0
1737503895000,0.0
1737503900000,0.0
1737503905000,0.0
1737503910000,0.0
1737503915000,
1737503935000,1000.0
1737503940000,919.0
1737503945000,960.0
1737503950000,973.0
1737503955000,980.0
1737503960000,984.0
1737503965000,987.0
1737503970000,
1737503990000,1000.0
1737503995000,1000.0
1737504000000,869.0
1737504005000,935.0
1737504010000,
1737504040000,1000.0
1737504045000,882.0
1737504050000,941.0
1737504055000,
1737504110000,1000.0
1737504115000,863.0
1737504120000,
