,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737210455000,0.0
1737210460000,787.3666666666
1737210465000,2373.2
1737210470000,2395.35
1737210475000,9255.1
1737210480000,14820.81666666
1737210485000,23049.7
1737210490000,23049.7
1737210495000,23049.7
1737210500000,25961.46666666
1737210505000,31945.16666666
1737210510000,31945.16666666
1737210515000,31945.16666666
1737210520000,32163.816666659997
1737210525000,35565.233333330005
1737210530000,35543.08333333
1737210535000,33275.63333333
1737210540000,28928.583333330003
1737210545000,21030.08333333
1737210550000,26552.583333330003
1737210555000,26552.583333330003
1737210560000,23878.016666659998
1737210565000,19850.88333333
1737210570000,26026.66666666
1737210575000,32001.066666659997
1737210580000,30995.05
1737210585000,29470.61666666
1737210590000,31479.766666659998
1737210595000,28769.73333333
1737210600000,31403.816666659997
1737210605000,31360.016666659998
1737210610000,31386.333333330003
1737210615000,31386.333333330003
1737210620000,32475.96666666
1737210625000,35557.2
1737210630000,35304.03333333
1737210635000,34166.716666659995
1737210640000,39433.41666666
1737210645000,35970.6
1737210650000,35881.85
1737210655000,38150.85
1737210660000,34298.1
1737210665000,40210.7
1737210670000,34661.88333333
1737210675000,40328.26666666
1737210680000,39001.43333333
1737210685000,34968.56666666
1737210690000,29288.5
1737210695000,
