,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3
Timestamp,,,,
1708180695000,0.0,,,
1708180700000,0.0,,,
1708180705000,0.0,,,
1708180710000,524.7166666666,,,
1708180715000,851.3333333333,,,
1708180720000,851.3333333333,,,
1708180725000,851.3333333333,,,
1708180730000,3867.3,,,
1708180735000,5044.21666667,,,
1708180740000,9786.06666666,,,
1708180745000,14963.85,,,
1708180750000,19456.516666659998,,,
1708180755000,23846.183333330002,,,
1708180760000,27671.433333330002,,,
1708180765000,27671.433333330002,,,
1708180770000,31646.15,,,
1708180775000,33758.03333333,,,
1708180780000,33758.03333333,,,
1708180785000,33758.03333333,,,
1708180790000,30742.066666659997,,,
1708180795000,32042.25,,,
1708180800000,31241.23333333,,,
1708180805000,26063.45,,,
1708180810000,21570.78333333,,,
1708180815000,17181.11666666,,,
1708180820000,13355.866666659998,,,
1708180825000,16720.15,,,
1708180830000,17674.83333333,,,
1708180835000,21039.05,,,
1708180840000,26024.4,,,
1708180845000,32366.083333330003,,,
1708180850000,37697.58333333,,,
1708180855000,37020.01666666,,,
1708180860000,34351.716666659995,,,
1708180865000,34351.716666659995,,,
1708180870000,39145.83333333,,,
1708180875000,45842.33333333,,,
1708180880000,51535.3,,,
1708180885000,53273.63333333,,,
1708180890000,54362.81666666,,,
1708180895000,53767.91666666001,,,
1708180900000,52860.0,,,
1708180905000,48922.06666666,,,
1708180910000,47990.05,,,
1708180915000,46190.516666660005,,,
1708180920000,44917.983333330005,,,
1708180925000,45408.86666666,,,
1708180930000,41445.56666666,,,
1708180935000,36417.466666659995,,,
1708180940000,36184.61666666,,,
1708180945000,37527.4,,,
1708180950000,36146.3,,,
1708180955000,36254.93333333,,,
1708180960000,38647.36666666,,,
1708180965000,40699.8,,,
1708180970000,41739.6,,,
1708180975000,45248.45,,,
1708180980000,45603.716666659995,,,
1708180985000,46950.66666666001,,,
1708180990000,46119.85,,,
1708180995000,45746.35,,,
1708181000000,45385.91666666,,,
1708181005000,43866.91666666,,,
1708181010000,43615.43333333,,,
1708181015000,44069.03333333,,,
1708181020000,42659.466666659995,,,
1708181025000,43923.9,,,
1708181030000,44101.61666666,,,
1708181035000,45461.25,,,
1708181040000,51400.483333330005,,,
1708181045000,49562.65,,,
1708181050000,49740.1,,,
1708181055000,49339.21666666,,,
1708181060000,44239.53333333,,,
1708181065000,43010.05,,,
1708181070000,43819.15,,,
1708181075000,44296.35,,,
1708181080000,,,,
1708181130000,0.0,,,
1708181135000,0.0,0.0,,
1708181140000,2.483333333333,2.7,,
1708181145000,252.9166666666,328.15,,
1708181150000,2530.6833333332997,2627.0833333333,,
1708181155000,6171.683333329999,6292.233333329999,,
1708181160000,10517.21666666,10814.0,,
1708181165000,15070.75,15143.9,,
1708181170000,15943.93333333,16144.23333333,,
1708181175000,18239.85,18332.066666659997,,
1708181180000,22778.66666666,22858.95,,
1708181185000,27068.433333330002,27106.016666659998,,
1708181190000,30958.25,31153.9,,
1708181195000,34980.65,35155.733333330005,,
1708181200000,40180.03333333,40404.76666666,,
1708181205000,44799.3,44940.78333333,,
1708181210000,43874.466666659995,44004.61666666,,
1708181215000,42424.75,42551.983333330005,,
1708181220000,38079.216666659995,38030.216666659995,,
1708181225000,36061.61666666,36242.16666666,,
1708181230000,35188.43333333,35241.83333333,,
1708181235000,33139.1,33548.716666659995,,
1708181240000,31829.633333330003,31985.683333330002,,
1708181245000,33157.31666666,33463.86666666,,
1708181250000,32876.26666666,33236.53333333,,
1708181255000,34281.5,34393.983333330005,,
