,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3
Timestamp,,,,
1708180700000,1000.0,,,
1708180705000,435.0,,,
1708180710000,453.0,,,
1708180715000,355.0,,,
1708180720000,267.0,,,
1708180725000,207.0,,,
1708180730000,252.0,,,
1708180735000,355.0,,,
1708180740000,434.0,,,
1708180745000,497.0,,,
1708180750000,547.0,,,
1708180755000,588.0,,,
1708180760000,623.0,,,
1708180765000,670.0,,,
1708180770000,714.0,,,
1708180775000,784.0,,,
1708180780000,867.0,,,
1708180785000,953.0,,,
1708180790000,997.0,,,
1708180795000,999.0,,,
1708180800000,1000.0,,,
1708180805000,1000.0,,,
1708180810000,1000.0,,,
1708180815000,1000.0,,,
1708180820000,1000.0,,,
1708180825000,1000.0,,,
1708180830000,1000.0,,,
1708180835000,1000.0,,,
1708180840000,1000.0,,,
1708180845000,1000.0,,,
1708180850000,1000.0,,,
1708180855000,1000.0,,,
1708180860000,1000.0,,,
1708180865000,1000.0,,,
1708180870000,1000.0,,,
1708180875000,1000.0,,,
1708180880000,1000.0,,,
1708180885000,1000.0,,,
1708180890000,1000.0,,,
1708180895000,1000.0,,,
1708180900000,1000.0,,,
1708180905000,1000.0,,,
1708180910000,1000.0,,,
1708180915000,1000.0,,,
1708180920000,1000.0,,,
1708180925000,1000.0,,,
1708180930000,1000.0,,,
1708180935000,1000.0,,,
1708180940000,1000.0,,,
1708180945000,1000.0,,,
1708180950000,1000.0,,,
1708180955000,1000.0,,,
1708180960000,1000.0,,,
1708180965000,1000.0,,,
1708180970000,1000.0,,,
1708180975000,1000.0,,,
1708180980000,1000.0,,,
1708180985000,1000.0,,,
1708180990000,1000.0,,,
1708180995000,1000.0,,,
1708181000000,1000.0,,,
1708181005000,1000.0,,,
1708181010000,1000.0,,,
1708181015000,1000.0,,,
1708181020000,1000.0,,,
1708181025000,1000.0,,,
1708181030000,1000.0,,,
1708181035000,1000.0,,,
1708181040000,1000.0,,,
1708181045000,1000.0,,,
1708181050000,1000.0,,,
1708181055000,1000.0,,,
1708181060000,1000.0,,,
1708181065000,1000.0,,,
1708181070000,1000.0,,,
1708181075000,1000.0,,,
1708181080000,,,,
1708181130000,1000.0,,,
1708181135000,1000.0,1000.0,,
1708181140000,817.0,385.0,,
1708181145000,909.0,553.0,,
1708181150000,939.0,457.0,,
1708181155000,955.0,436.0,,
1708181160000,964.0,449.0,,
1708181165000,970.0,475.0,,
1708181170000,974.0,522.0,,
1708181175000,978.0,527.0,,
1708181180000,980.0,524.0,,
1708181185000,982.0,535.0,,
1708181190000,984.0,528.0,,
1708181195000,985.0,521.0,,
1708181200000,1000.0,537.0,,
1708181205000,1000.0,537.0,,
1708181210000,1000.0,564.0,,
1708181215000,1000.0,597.0,,
1708181220000,1000.0,639.0,,
1708181225000,1000.0,642.0,,
1708181230000,1000.0,658.0,,
1708181235000,1000.0,684.0,,
1708181240000,1000.0,692.0,,
1708181245000,1000.0,697.0,,
1708181250000,1000.0,720.0,,
1708181255000,1000.0,723.0,,
1708181260000,1000.0,729.0,,
1708181265000,1000.0,716.0,,
1708181270000,1000.0,732.0,,
1708181275000,1000.0,718.0,,
1708181280000,1000.0,718.0,,
1708181285000,1000.0,727.0,,
1708181290000,1000.0,727.0,,
1708181295000,1000.0,729.0,,
1708181300000,1000.0,734.0,,
1708181305000,1000.0,736.0,,
1708181310000,1000.0,728.0,,
1708181315000,1000.0,753.0,,
1708181320000,1000.0,753.0,,
1708181325000,1000.0,748.0,,
1708181330000,1000.0,733.0,,
1708181335000,1000.0,746.0,,
