,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737220185000,1000.0
1737220190000,399.0
1737220195000,302.0
1737220200000,200.0
1737220205000,354.0
1737220210000,484.0
1737220215000,570.0
1737220220000,631.0
1737220225000,677.0
1737220230000,713.0
1737220235000,742.0
1737220240000,766.0
1737220245000,785.0
1737220250000,835.0
1737220255000,902.0
1737220260000,985.0
1737220265000,1000.0
1737220270000,1000.0
1737220275000,1000.0
1737220280000,1000.0
1737220285000,1000.0
1737220290000,1000.0
1737220295000,1000.0
1737220300000,1000.0
1737220305000,1000.0
1737220310000,1000.0
1737220315000,1000.0
1737220320000,1000.0
1737220325000,1000.0
1737220330000,1000.0
1737220335000,1000.0
1737220340000,1000.0
1737220345000,1000.0
1737220350000,1000.0
1737220355000,1000.0
1737220360000,1000.0
1737220365000,1000.0
1737220370000,1000.0
1737220375000,1000.0
1737220380000,1000.0
1737220385000,1000.0
1737220390000,1000.0
1737220395000,1000.0
1737220400000,1000.0
1737220405000,1000.0
1737220410000,1000.0
1737220415000,1000.0
1737220420000,1000.0
1737220425000,
