,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1707951085000,25479.48333333,25433.883333330003,,,,,,
1707951090000,25447.766666659998,25565.016666659998,,,,,,
1707951095000,25069.46666666,25029.05,,,,,,
1707951100000,25354.16666666,25370.35,,,,,,
1707951105000,24494.65,24443.48333333,,,,,,
1707951110000,23726.96666666,23686.433333330002,,,,,,
1707951115000,23064.266666659998,23031.88333333,,,,,,
1707951120000,23644.083333330003,23592.61666666,,,,,,
1707951125000,23801.53333333,23752.41666666,,,,,,
1707951130000,23801.53333333,23752.41666666,,,,,,
1707951135000,24390.78333333,24351.383333330003,,,,,,
1707951140000,25422.95,25407.11666666,,,,,,
1707951145000,26112.16666666,26074.53333333,,,,,,
1707951150000,26910.78333333,26821.516666659998,,,,,,
1707951155000,26825.133333330003,26771.41666666,,,,,,
1707951160000,25847.066666659997,25854.7,,,,,,
1707951165000,25533.35,25474.25,,,,,,
1707951170000,25043.433333330002,25065.9,,,,,,
1707951175000,25287.383333330003,25227.3,,,,,,
1707951180000,25733.75,25693.45,,,,,,
1707951185000,24943.383333330003,24899.86666666,,,,,,
1707951190000,24943.383333330003,24899.86666666,,,,,,
1707951195000,,,,,,,,
1707951240000,0.0,,0.0,,,,,
1707951245000,0.0,0.0,0.0,,,,,
1707951250000,3.4,135.3666666666,130.6333333333,,,,,
1707951255000,660.6666666666,778.65,824.2333333333,,,,,
1707951260000,2406.9833333333,2480.0333333332997,2450.6333333333,,,,,
1707951265000,2766.9833333333,2984.1166666665995,2904.35,,,,,
1707951270000,5153.18333333,5178.06666667,5034.11666667,,,,,
1707951275000,7634.26666666,7718.9,7499.45,,,,,
1707951280000,10346.95,10609.86666666,10440.21666666,,,,,
1707951285000,12088.116666659998,12269.25,11944.33333333,,,,,
1707951290000,12234.016666659998,12510.15,12164.05,,,,,
1707951295000,14704.18333333,14870.533333329999,14448.93333333,,,,,
1707951300000,15555.716666659999,15615.266666659998,15185.866666659998,,,,,
1707951305000,15555.716666659999,15852.58333333,15185.866666659998,,,,,
1707951310000,16496.46666666,16538.86666666,16221.783333329999,,,,,
1707951315000,17884.2,17975.55,17570.91666666,,,,,
1707951320000,19462.43333333,19554.65,19167.43333333,,,,,
1707951325000,20506.36666666,20543.58333333,20105.11666666,,,,,
1707951330000,21745.41666666,21829.85,21228.43333333,,,,,
1707951335000,20569.11666666,20625.93333333,20279.78333333,,,,,
1707951340000,19382.38333333,19410.66666666,18943.15,,,,,
1707951345000,19453.8,19403.2,18856.41666666,,,,,
1707951350000,21469.7,21343.21666666,20759.16666666,,,,,
1707951355000,20131.5,20168.28333333,19827.1,,,,,
1707951360000,20909.61666666,21061.36666666,20473.8,,,,,
1707951365000,20977.08333333,20927.5,20473.8,,,,,
1707951370000,21154.11666666,21210.25,20630.03333333,,,,,
1707951375000,21617.816666659997,21563.68333333,20807.266666659998,,,,,
1707951380000,22129.28333333,22203.316666659997,21512.16666666,,,,,
1707951385000,22893.0,23008.6,22385.36666666,,,,,
1707951390000,22011.86666666,22146.316666659997,21743.983333329998,,,,,
1707951395000,21769.15,21824.733333329998,20999.43333333,,,,,
1707951400000,22832.516666659998,22747.58333333,21922.88333333,,,,,
1707951405000,22397.36666666,22627.61666666,22107.53333333,,,,,
1707951410000,21951.15,22137.733333329998,21654.33333333,,,,,
1707951415000,22284.83333333,22292.16666666,21707.1,,,,,
1707951420000,22790.68333333,22805.65,22179.55,,,,,
1707951425000,22723.21666666,22702.2,22393.05,,,,,
1707951430000,23534.383333330003,23541.4,22875.516666659998,,,,,
