Timestamp,flink_jobmanager_job_lastCheckpointSize
0,-1.0
5,-1.0
10,-1.0
15,-1.0
20,-1.0
25,2331751.0
30,2331751.0
35,13008814.0
40,20770825.0
45,18429573.0
50,31769431.0
55,57824815.0
60,34740975.0
65,58564864.0
70,98887058.0
75,59232412.0
80,83378983.0
85,107562127.0
90,74177166.0
95,103722693.0
100,132397686.0
105,161769424.0
110,129756585.0
115,203927360.0
120,219611874.0
125,22651696.0
130,50467943.0
135,105974207.0
140,55913225.0
145,88002720.0
150,144646080.0
155,81682369.0
160,115436576.0
165,146716042.0
170,100659448.0
175,132326887.0
180,164491991.0
185,187782367.0
190,48902305.0
195,108243524.0
200,134465489.0
205,67364631.0
210,131883936.0
215,161622520.0
220,86365194.0
225,121577010.0
230,185329982.0
235,108321194.0
240,144331831.0
245,178294047.0
250,207110378.0
255,
275,-1.0
280,-1.0
285,-1.0
290,11928319.0
295,26862314.0
300,40422681.0
305,47929404.0
310,36599653.0
315,51621968.0
320,63308889.0
325,58373696.0
330,85679500.0
335,111056066.0
340,53053223.0
345,109871061.0
350,140310581.0
355,80772067.0
360,116092215.0
365,183819538.0
370,115003362.0
375,150002145.0
380,181658909.0
385,196268826.0
390,48190158.0
395,77934398.0
400,101512976.0
405,96880210.0
410,128861316.0
415,164510115.0
420,87429458.0
425,157797495.0
430,189280836.0
435,111164106.0
440,147030690.0
445,180025399.0
450,136325389.0
455,237116130.0
460,270611337.0
465,62556713.0
470,99340921.0
475,134248134.0
480,169627129.0
485,127546290.0
490,163280073.0
495,196417424.0
500,116777350.0
505,184866634.0
510,219654603.0
515,144847434.0
520,243949315.0
525,282267157.0
530,46274629.0
535,
555,-1.0
560,-1.0
565,-1.0
570,17951695.0
575,37263001.0
580,55505912.0
585,48344424.0
590,80180645.0
595,105517058.0
600,125756469.0
605,97069374.0
610,138356810.0
615,79671794.0
620,109263332.0
625,138204611.0
630,107116098.0
635,137976612.0
640,166086793.0
645,194846248.0
650,130158960.0
655,253076664.0
660,279839757.0
665,63881431.0
670,95113561.0
675,152780109.0
680,76929057.0
685,108191904.0
690,141188322.0
695,111412099.0
700,142646748.0
705,175299481.0
710,139318156.0
715,173814386.0
720,205854004.0
725,228529281.0
730,81224428.0
735,114556202.0
740,146946581.0
745,78878750.0
750,113948026.0
755,177315585.0
760,100120788.0
765,129941838.0
770,194155505.0
775,131908762.0
780,163529450.0
785,197925264.0
790,206524549.0
795,82930167.0
800,114613974.0
805,139653495.0
810,68724040.0
815,
845,-1.0
850,7326089.0
855,17282946.0
860,37977742.0
865,35647795.0
870,57480634.0
875,84999494.0
880,53102477.0
885,82991140.0
890,114032806.0
895,141270722.0
900,93034870.0
905,124660204.0
910,150598552.0
915,76661539.0
920,165228707.0
925,182902538.0
930,32532147.0
935,52527788.0
940,90165081.0
945,42123032.0
950,70599830.0
955,101723574.0
960,53297062.0
965,86777640.0
970,115561341.0
975,143460601.0
980,91481598.0
985,123108511.0
990,139944802.0
995,42041170.0
1000,84092408.0
1005,101208168.0
1010,45238188.0
1015,75455799.0
1020,137313617.0
1025,58113296.0
1030,86227898.0
1035,115934451.0
1040,71312191.0
1045,104309622.0
1050,136031279.0
1055,152060296.0
1060,51296942.0
1065,73851295.0
1070,85045558.0
1075,48468860.0
1080,110680635.0
1085,134441705.0
1090,134441705.0
1095,134441705.0
1100,
