,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1737079950000,-9.223372036854776e+18
1737079955000,-9.223372036854776e+18
1737079960000,-9.223372036854776e+18
1737079965000,-9.223372036854776e+18
1737079970000,-9.223372036854776e+18
1737079975000,-9.223372036854776e+18
1737079980000,-9.223372036854776e+18
1737079985000,-9.223372036854776e+18
1737079990000,-9.223372036854776e+18
1737079995000,-9.223372036854776e+18
1737080000000,-9.223372036854776e+18
1737080005000,-9.223372036854776e+18
1737080010000,-9.223372036854776e+18
1737080015000,-9.223372036854776e+18
1737080020000,-9.223372036854776e+18
1737080025000,-9.223372036854776e+18
1737080030000,-9.223372036854776e+18
1737080035000,-9.223372036854776e+18
1737080040000,-9.223372036854776e+18
1737080045000,-9.223372036854776e+18
1737080050000,-9.223372036854776e+18
1737080055000,-9.223372036854776e+18
1737080060000,-9.223372036854776e+18
1737080065000,-9.223372036854776e+18
1737080070000,-9.223372036854776e+18
1737080075000,-9.223372036854776e+18
1737080080000,-9.223372036854776e+18
1737080085000,-9.223372036854776e+18
1737080090000,-9.223372036854776e+18
1737080095000,-9.223372036854776e+18
1737080100000,-9.223372036854776e+18
1737080105000,-9.223372036854776e+18
1737080110000,-9.223372036854775e+18
1737080115000,-9.223372036854775e+18
1737080120000,-9.223372036854775e+18
1737080125000,-9.223372036854775e+18
1737080130000,
1737080185000,-9.223372036854776e+18
1737080190000,-9.223372036854776e+18
1737080195000,-9.223372036854776e+18
1737080200000,-9.223372036854776e+18
1737080205000,-9.223372036854776e+18
1737080210000,-9.223372036854776e+18
1737080215000,-9.223372036854776e+18
1737080220000,-9.223372036854776e+18
1737080225000,-9.223372036854776e+18
1737080230000,-9.223372036854776e+18
1737080235000,-9.223372036854776e+18
1737080240000,-9.223372036854776e+18
1737080245000,-9.223372036854776e+18
1737080250000,-9.223372036854776e+18
1737080255000,-9.223372036854776e+18
1737080260000,-9.223372036854776e+18
1737080265000,-9.223372036854776e+18
1737080270000,-9.223372036854776e+18
1737080275000,-9.223372036854776e+18
1737080280000,-9.223372036854776e+18
1737080285000,-9.223372036854776e+18
1737080290000,-9.223372036854776e+18
1737080295000,-9.223372036854776e+18
1737080300000,-9.223372036854776e+18
1737080305000,-9.223372036854776e+18
1737080310000,-9.223372036854776e+18
1737080315000,-9.223372036854776e+18
1737080320000,-9.223372036854776e+18
1737080325000,-9.223372036854776e+18
1737080330000,-9.223372036854775e+18
1737080335000,-9.223372036854775e+18
1737080340000,-9.223372036854775e+18
1737080345000,-9.223372036854775e+18
1737080350000,-9.223372036854775e+18
1737080355000,-9.223372036854775e+18
1737080360000,-9.223372036854775e+18
1737080365000,-9.223372036854775e+18
1737080370000,-9.223372036854775e+18
1737080375000,-9.223372036854775e+18
1737080380000,-9.223372036854775e+18
1737080385000,-9.223372036854775e+18
1737080390000,-9.223372036854775e+18
1737080395000,-9.223372036854775e+18
1737080400000,-9.223372036854775e+18
1737080405000,-9.223372036854775e+18
1737080410000,-9.223372036854775e+18
1737080415000,-9.223372036854775e+18
1737080420000,-9.223372036854775e+18
1737080425000,-9.223372036854775e+18
1737080430000,-9.223372036854775e+18
